No.,CompanyName,Company Name (CN),Country,Sector,Industrygroup,Industry,Total number of EN report,Total number of CN report,ESG or CSR report homepage,2020_EN Report,2020_CN Report,2021_EN Report,2021_CN Report,2022_EN Report,2022_CN Report,2023_EN Report,2023_CN Report,2024_EN Report,2024_CN Report,Person in charge,
1,Lenovo,联想,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",5,5,环境、社会及管治报告 | 联想 (lenovo.com),FY2020-lenovo-sustainability-report.pdf,1-4章 (lenovo.com),FY2021-lenovo-sustainability-report.pdf,FY2021-lenovo-sustainability-report.pdf,FY2022-lenovo-sustainability-report.pdf,FY2022-lenovo-sustainability-report.pdf,FY2023-lenovo-sustainability-report.pdf,FY2023-lenovo-sustainability-report.pdf,Lenovo FY 2023/24 ESG Report,FY2024-lenovo-sustainability-report.pdf,Cai Chenhao,
2,Xiaomi,小米,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",4,4,可持续发展 (mi.com),412216ea-c5b5-4f22-ad1a-8e464a7478c6 (mi.com),Annual_Reoprt_2020_CHN_Online (mi.com),2021 ESG Report ENG.pdf (gcs-web.com),2021 ESG Report CHN.pdf (gcs-web.com),Xiaomi Corp 2022 ESG Report.pdf (mi-img.com),2022年度小米集团ESG报告简体中文版.pdf (mi-img.com),"Xiaomi 2023 Environmental, Social, and Governance Report.pdf (mi-img.com)",小米集团2023年环境、社会及管治报告.pdf (mi-img.com),,,Cai Chenhao,
3,Samsung,三星电子,Korea,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",5,0,Sustainability Reports │ Financial Information │ Investor Relations │ Samsung Global |,sustainability_report_2020_en.pdf (samsung.com),,sustainability_report_2021_en.pdf (samsung.com),,sustainability_report_2022_en.pdf (samsung.com),,sustainability_report_2023_en-1.pdf (samsung.com),,Samsung_Electronics_Sustainability_Report_2024_ENG.pdf,,Cai Chenhao,
4,ZTE,中兴,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",0,1,CSR报告 (zte.com.cn),,zte.com.cn/content/dam/zte-site/res-www-zte-com-cn/mediares/zte/files/pdf/csr/cn/202105191132CN.pdf,,中兴通讯股份有限公司 2021年可持续发展报告 (zte.com.cn),,,,zte.com.cn/content/dam/zte-site/res-www-zte-com-cn/white_paper/CSR_2023_CN.pdf,,,Cai Chenhao,22和20年的只有链接，但是暂时打不开
5,ASUS,华硕,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",2,0,"Sustainability Report | Resource | ASUS ESG website, ASUS ESG goal",,,,,ASUS_Detailed_2022_EN.pdf,,ASUS_Detailed_2023_EN.pdf,,,,Cai Chenhao,
6,Acer,宏碁,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",4,4,報告書及證書下載-ACER ESG,2020_Acer_CR_Report.pdf,2020_Acer_CR_Report_zh.pdf,2021_Acer_Sustainability_Report.pdf,2021_Acer_Sustainability_Report_zh.pdf,2022_Acer_Sustainability_Report.pdf,2022_Acer_Sustainability_Report_zh.pdf,2023_Acer_Sustainability_Report.pdf,2023_Acer_Sustainability_Report_zh.pdf,,,Cai Chenhao,
7,HP,惠普,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",4,1,Sustainable Impact Reports (hp.com),HP 2020 Sustainability Impact Report,,2021 HP Sustainable Impact Report,,c08636600.pdf (hp.com),,Sustainable Impact Report 2023 (hp.com),可持续发展报告 执行 2023 (hp.com),,,Cai Chenhao,
8,Dell,戴尔,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",5,3,ESG Reports | Dell USA,delltechnologies-fy20-progress-made-real-report.pdf,,Striving to create a positive and lasting impact on humankind and the planet (delltechnologies.com),努力为人类和地球带来 积极和持久的影响 (delltechnologies.com),"FY22 Environmental, Social and Governance Report (delltechnologies.com)",2022 财年环境、社会和治理报告 (delltechnologies.com),"FY23 Environmental, Social and Governance Report (delltechnologies.com)",时不我待 (delltechnologies.com),delltechnologies-fy24-esg-report.pdf,,Cai Chenhao,
9,Nokia,诺基亚,Finland,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",4,0,Sustainability downloads | Nokia,Nokia_People_and_Planet_Report_2020.pdf,,nokia-people-and-planet-2021-sustainability-report.pdf,,nokia-people-and-planet-2022-sustainability-report.pdf,,nokia_people_and_planet-2023.pdf,,,,Cai Chenhao,
10,Western Digital,西部数据,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",4,0,Resource Center | Western Digital,Sustainability Report 2020 (westerndigital.com),,western-digital-FY2021-sustainability-report.pdf (westerndigital.com),,Western Digital Sustainability Report FY2022,,western-digital-FY2023-sustainability-report.pdf (westerndigital.com),,,,Cai Chenhao,
11,Cisco,思科,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",2,0,Cisco ESG Reporting Hub,,,,,2022 Cisco Purpose Report,,Cisco FY23 Purpose Report,,,,Cai Chenhao,
12,Accton,智邦,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",4,0,Sustainability Reports and Documents – Accton Technology,Accton_2020_CSR_Eng.pdf,,AcctonCSR2021.pdf,,AcctonESG2022.pdf,,Accton-2023ESG-EN_resize.pdf,,,,Cai Chenhao,
13,Ericsson,爱立信,Sweden,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",4,0,SCR Reports and related and publications archive - Ericsson,https://www.ericsson.com/492da5/assets/local/about-ericsson/sustainability-and-corporate-responsibility/documents/2021/ericsson-sustainability-and-corporate-responsibility-report-2020_eng.pdf,,https://www.ericsson.com/492fee/assets/local/about-ericsson/sustainability-and-corporate-responsibility/documents/2022/ericsson-sustainability-and-corporate-responsibility-report-2021_eng.pdf,,https://www.ericsson.com/49587c/assets/local/investors/documents/2022/sustainability-and-corporate-responsibility-report-2022-en.pdf,,sustainability-and-corporate-responsibility-report-2023-en.pdf (ericsson.com),,,,Cai Chenhao,
14,Wistron,伟创,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",4,0,Sustainability Reports and Documents-Wistron ESG,2020SustainabilityReportEN.pdf (wistron.com),,2021SustainabilityReportEN.pdf (wistron.com),,2022SustainabilityReportEN.pdf (wistron.com),,2023SustainabilityReportEN.pdf (wistron.com),,,,Cai Chenhao,
15,Pegatron,和硕,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",4,3,Stakeholder Communications & Sustainability Report - Sustainability - PEGATRON 和碩聯合科技 (pegatroncorp.com),2020CSR0819coverEN (pegatroncorp.com),2020CSR0721編輯原則總經理SC (pegatroncorp.com),2021CSR0801關於報告書CEO的話ENcover (pegatroncorp.com),2021CSR0425關於報告書CEO的話TC (pegatroncorp.com),741d2c2fcfe4922ed1d5175efefc69ed.pdf (pegatroncorp.com),a02b1977b7c2e1c753917388f40b36a6.pdf (pegatroncorp.com),PowerPoint 簡報 (pegatroncorp.com),,,,Cai Chenhao,
16,BOE,京东方,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,4,4,社会责任-京东方官网 (boe.com),BOE2020-social-responsibility-report-en.pdf,2020年度京东方企业社会责任报告.pdf (boe.com.cn),BOE2021-social-responsibility-report-en.pdf,2021年度京东方企业社会责任报告.pdf (boe.com.cn),BOE2022-sustainability-report-en.pdf,2022年度京东方可持续发展报告.pdf (boe.com.cn),BOE2023-sustainability-report-en.pdf,2023年度京东方可持续发展报告.pdf (boe.com.cn),,,Cai Chenhao,
17,LGD,LG显示,Korea,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,5,3,LG????? (lgdisplay.com),downloadTest (lgdisplay.com),downloadTest (lgdisplay.com),downloadTest (lgdisplay.com),downloadTest (lgdisplay.com),LGD_CSR_report_2022_eng.pdf (lgdisplay.com),LGD_CSR_report_2022_chn.pdf (lgdisplay.com),LGD_ESG_report_2023_eng.pdf (lgdisplay.com),,LGD_ESG_report_2024_eng (lgdisplay.com),,Cai Chenhao,
18,AUO,友达,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,4,3,下載中心 - 友達光電企業永續責任 (auo.com),2020-auo-csr-report,2020-auo-csr-report,2021-esg-report (auo.com),,2022-esg-report (auo.com),2022-esg-report (auo.com),2023-esg-report (auo.com),2023-esg-report (auo.com),,,Cai Chenhao,
19,Innolux,群创,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,4,3,CSR Report Download｜Innolux Corporation,2020_INX_CSR-en06f_0390ab.pdf (innolux.com),2020_INX_CSR-cn06f_0357ec.pdf (innolux.com),Innolux 2021ESG Report-EN_f_189497.pdf,Innolux 2021ESG Report-CN_f1_5454f2.pdf,2022_INX ESG REPORT_ EN（修正版）_41235c.pdf (innolux.com),2022_INX ESG REPORT_CN(修正版)_404566.pdf (innolux.com),INNOLUX 2023 ESG Report e-book EN_793909.pdf,,,,Cai Chenhao,
20,TCL,华星,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,3,3,社会责任 (tcl.com),,,https://www.tcl.com/content/dam/brandsite/region/china/pdf/tclcsr2021en.pdf,https://www.tcl.com/content/dam/brandsite/region/china/pdf/tclcn0523.pdf,https://www.tcl.com/content/dam/brandsite/region/china/pdf/2022tcl0628eng.pdf,https://www.tcl.com/content/dam/brandsite/region/china/pdf/2022tcl0628cn.pdf,https://www.tcl.com/content/dam/brandsite/region/china/pdf/2024/tcl-csr-en-2023.pdf,https://www.tcl.com/content/dam/brandsite/region/china/pdf/2024/tcl-csr-cn-2023.pdf,,,Cai Chenhao,
21,Jabil,捷普,USA,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,3,0,Jabil's 2023 Sustainability Report | Jabil,,,jabil.com/dam/jcr:2c5159fc-c5cf-4362-bd88-61ed8ae26c7f/Jabil FY21 Sustainability Report_Updated.pdf,,jabil-fy22-sustainability-report.pdf,,jabil-fiscal-year-2023-sustainability-report.pdf,,,,Cai Chenhao,
22,Amphenol,安费诺,USA,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,4,0,"Environmental, Social and Governance | Amphenol",2020-sustainability-report (amphenol.com),,Amphenol 2021 Sustainability Report,,Amphenol 2022 Sustainability Report,,sustainability-report (amphenol.com),,,,Cai Chenhao,
23,TEC,泰科,Switzerland,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,3,0,Disclosures | Corporate Responsibility | TE Connectivity,,,TEConnectivityCorporateResponsibilityReport2021.pdf,,TEConnectivityCorporateResponsibilityReport2022.pdf,,TEConnectivityCorporateResponsibilityReport2023.pdf,,,,Cai Chenhao,
24,Murata,村田制作所,Japan,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,4,4,"Murata Value Report (Integrated report) Archives | Murata value report (Integrated report) | IR Library | Murata Manufacturing Co., Ltd.",murata-value-report-2020.ashx,muratavaluereport2020.ashx,murata-value-report2021-e.ashx,murata-value-report2021-c.ashx,Murata value report 2022 Full version A4 e,Murata value report 2022 Full version A4 c,Murata value report 2023 Full version A4 e (PDF: 9.83MB),Murata value report 2023 Full version A4 c,,,Cai Chenhao,
25,Corning,康宁,USA,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,2,0,Sustainability | Sustainable Goals and Innovation | Corning,,,,,Corning Sustainability Report 2022,,Corning Sustainability Report 2023,,,,Cai Chenhao,
26,Microsoft,微软,USA,Information Technology,Software & Services,System Software,4,1,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report,https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RWyG1q,,https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RE4RwfV,,https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RW15mgm,https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RW15OJP,,,https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RW1lMjE#page=1,,Dai Yifan,24年的报告包含了23年，只有22年有中文版
27,IBM,国际商业机器,USA,Information Technology,Software & Services,System Software,4,0,https://www.ibm.com/impact/reports-and-policies,https://www.ibm.com/downloads/cas/JNZRAYDK,,https://www.ibm.com/downloads/cas/5VR4LRDQ,,https://www.ibm.com/downloads/cas/BOPNXX18,,https://www.ibm.com/downloads/cas/QVXD7VDO,,,,Dai Yifan,
28,Oracle,甲骨文,USA,Information Technology,Software & Services,System Software,2,0,https://www.oracle.com/social-impact/data-hub/,https://www.oracle.com/a/ocom/docs/corporate/citizenship/ccr2020-report.pdf,,,,https://www.oracle.com/a/ocom/docs/social-impact-report-2022.pdf,,,,,,Dai Yifan,
29,SAP,思爱普,Germany,Information Technology,Software & Services,System Software,4,0,https://www.sap.com/investors/en/reports.html?sort=latest_desc&tab=reports&tag=investor-relations:financial-reports/integrated-report,https://www.sap.com/investors/en/reports.html?sort=latest_desc&tab=reports&tag=investor-relations%3Afinancial-reports%2Fintegrated-report&pdf-asset=82fad7fb-d17d-0010-87a3-c30de2ffd8ff&page=1,,https://www.sap.com/investors/en/reports.html?sort=latest_desc&tab=reports&tag=investor-relations%3Afinancial-reports%2Fintegrated-report&pdf-asset=903be721-1b7e-0010-bca6-c68f7e60039b&page=1,,https://www.sap.com/investors/en/reports.html?sort=latest_desc&tab=reports&tag=investor-relations%3Afinancial-reports%2Fintegrated-report&pdf-asset=8230868e-647e-0010-bca6-c68f7e60039b&page=1,,https://www.sap.com/investors/en/reports.html?sort=latest_desc&tab=reports&tag=investor-relations%3Afinancial-reports%2Fintegrated-report&pdf-asset=5234b263-ad7e-0010-bca6-c68f7e60039b&page=1,,,,Dai Yifan,
30,Salesforce,赛富时,USA,Information Technology,Software & Services,System Software,5,0,https://www.salesforce.com/company/esg-and-impact/reports-policies/,https://www.salesforce.com/content/dam/web/en_us/www/documents/white-papers/FY20-stakeholder-impact-report.pdf,,https://www.salesforce.com/content/dam/web/en_us/www/documents/white-papers/FY21-stakeholder-impact-report.pdf,,https://www.salesforce.com/content/dam/web/en_us/www/documents/white-papers/fy22-stakeholder-impact-report.pdf,,https://www.salesforce.com/content/dam/web/en_us/www/documents/white-papers/fy23-stakeholder-impact-report.pdf,,https://a.sfdcstatic.com/assets/prod/documents/white-papers/salesforce-fy24-stakeholder-impact-report.pdf,,Dai Yifan,
31,HUAWEI,华为,China,Information Technology,Software & Services,System Software,0,4,https://consumer.huawei.com/cn/sustainability/sustainability-report/,,https://consumer.huawei.com/content/dam/huawei-cbg-site/greate-china/cn/mkt/campaign/ceo-letter/new/imgs/repo/pdf/%E5%8D%8E%E4%B8%BA%E6%B6%88%E8%B4%B9%E8%80%85-%E5%8F%AF%E6%8C%81%E7%BB%AD%E5%8F%91%E5%B1%95%E8%BF%9B%E5%B1%95%E6%8A%A5%E5%91%8A2020.pdf,,https://consumer.huawei.com/content/dam/huawei-cbg-site/greate-china/cn/mkt/campaign/ceo-letter/new/imgs/repo/pdf/%E5%8D%8E%E4%B8%BA%E6%B6%88%E8%B4%B9%E8%80%85%E4%B8%9A%E5%8A%A1%E5%8F%AF%E6%8C%81%E7%BB%AD%E5%8F%91%E5%B1%95%E6%8A%A5%E5%91%8A%EF%BC%882020-2021%EF%BC%89.pdf,,https://consumer.huawei.com/content/dam/huawei-cbg-site/greate-china/cn/mkt/campaign/ceo-letter/new/imgs/repo/pdf/%E5%8D%8E%E4%B8%BA%E7%BB%88%E7%AB%AF%E5%8F%AF%E6%8C%81%E7%BB%AD%E5%8F%91%E5%B1%95%E6%8A%A5%E5%91%8A%EF%BC%882021-2022%EF%BC%89.pdf,,https://consumer.huawei.com/content/dam/huawei-cbg-site/greate-china/cn/mkt/campaign/ceo-letter/new/imgs/repo/pdf/%E5%8D%8E%E4%B8%BA%E7%BB%88%E7%AB%AF%E5%8F%AF%E6%8C%81%E7%BB%AD%E5%8F%91%E5%B1%95%E6%8A%A5%E5%91%8A%EF%BC%882022-2023%EF%BC%89.pdf,,,Dai Yifan,
32,BAIDU,百度,China,Information Technology,Software & Services,Internet Services & Infrastructure,0,4,https://esg.baidu.com/pubinformation.html#lnbg,,"https://esg.baidu.com/Uploads/File/2023/12/21/Baidu_2020_Environmental,_Social_and_Governance_Report.20231221113836.pdf",,,,https://esg.baidu.com/Uploads/File/2023/12/21/%E7%99%BE%E5%BA%A62022%E5%B9%B4%E7%8E%AF%E5%A2%83%E3%80%81%E7%A4%BE%E4%BC%9A%E5%8F%8A%E7%AE%A1%E6%B2%BB%EF%BC%88ESG%EF%BC%89%E6%8A%A5%E5%91%8A.20231221114044.pdf,,https://esg.baidu.com/Uploads/File/2024/05/17/%E7%99%BE%E5%BA%A62023%E5%B9%B4%E7%8E%AF%E5%A2%83%E3%80%81%E7%A4%BE%E4%BC%9A%E5%8F%8A%E7%AE%A1%E6%B2%BB%EF%BC%88ESG%EF%BC%89%E6%8A%A5%E5%91%8A.20240517150419.pdf,,,Dai Yifan,
33,Adobe,奥多比,USA,Information Technology,Software & Services,Application Software,4,0,https://www.adobe.com/corporate-responsibility/corporate-responsibility-reports.html,https://www.adobe.com/content/dam/cc/en/corporate-responsibility/pdfs/Adobe-CSR-Report-2020.pdf,,https://www.adobe.com/content/dam/cc/en/corporate-responsibility/pdfs/Adobe-CSR-Report-2021.pdf,,https://www.adobe.com/content/dam/cc/en/corporate-responsibility/pdfs/Adobe-CSR-Report-2022.pdf,,https://www.adobe.com/content/dam/cc/en/corporate-responsibility/pdfs/Adobe-CSR-Report-2023.pdf,,,,Dai Yifan,
34,ServiceNow,ServiceNow,USA,Information Technology,Software & Services,System Software,4,0,https://www.servicenow.com/company/global-impact.html#esgsolutions,,,https://www.servicenow.com/content/dam/servicenow-assets/public/en-us/doc-type/other-document/servicenow-global-impact-report-2021.pdf,,https://www.servicenow.com/standard/other-documents/servicenow-global-impact-report-2022.html,,https://www.servicenow.com/standard/other-documents/servicenow-global-impact-report-2023.html,,https://www.servicenow.com/standard/other-documents/servicenow-global-impact-report-2024.html,,Dai Yifan,
35,Kingdee International Software Group,金蝶国际软件集团,China,Information Technology,Software & Services,Application Software,4,4,https://www.kingdee.com/esg,https://kingdeecms-1323668410.cos.ap-guangzhou.myqcloud.com/u/cms/www/202307/31191819kqse.pdf,https://kingdeecms-1323668410.cos.ap-guangzhou.myqcloud.com/u/cms/www/202307/31191819kqse.pdf,https://kingdeecms-1323668410.cos.ap-guangzhou.myqcloud.com/u/cms/www/202307/31191859orb9.pdf,https://kingdeecms-1323668410.cos.ap-guangzhou.myqcloud.com/u/cms/www/202307/31191859orb9.pdf,https://kingdeecms-1323668410.cos.ap-guangzhou.myqcloud.com/u/cms/www/202307/31192026wm3m.pdf,https://kingdeecms-1323668410.cos.ap-guangzhou.myqcloud.com/u/cms/www/202307/31192026wm3m.pdf,https://kingdeecms-1323668410.cos.ap-guangzhou.myqcloud.com/u/cms/www/202307/31192026wm3m.pdf,https://kingdeecms-1323668410.cos.ap-guangzhou.myqcloud.com/u/cms/www/202407/18190945g8pm.pdf,,,Dai Yifan,
36,Tencent,腾讯,China,Information Technology,Software & Services,Internet Services & Infrastructure,4,4,https://www.tencent.com/en-us/esg/esg-reports.html,https://static.www.tencent.com/uploads/2022/02/11/8145567c7560456eec481d512d4429c8.pdf,https://static.www.tencent.com/uploads/2022/02/11/4b55f4dc9f0a349f8d01fd8026721715.pdf,https://static.www.tencent.com/uploads/2022/04/19/e4114e693e75636c18e8170735ed50c6.pdf,https://static.www.tencent.com/uploads/2022/04/16/56e61654efa69f7503f997520a8f2766.pdf,https://static.www.tencent.com/uploads/2023/04/06/2efdae398c746523320cbb7660e5fafa.pdf,https://static.www.tencent.com/uploads/2023/04/06/0ca1d679732b1d0a1ca971521da66311.pdf,https://www.tencent.com/en-us/esg/esg-reports.html,https://static.www.tencent.com/uploads/2024/05/29/64c2c411b5694a79bbd8ef4db73d6e57.pdf,,,Dai Yifan,
37,Yonyou Network Technology,用友,China,Information Technology,Software & Services,System Software,3,4,https://www.yonyou.com/esg/,,https://mkfs.yybip.com/static/file/yonyou/esg/%E7%94%A8%E5%8F%8B%E7%BD%91%E7%BB%9C2020%E5%B9%B4%E5%BA%A6%E7%A4%BE%E4%BC%9A%E8%B4%A3%E4%BB%BB%E6%8A%A5%E5%91%8A.pdf,https://mkfs.yybip.com/static/file/yonyou/esg/yonyou%202021%20Sustainability%20(ESG)%20report.pdf,https://mkfs.yybip.com/static/file/yonyou/esg/%E7%94%A8%E5%8F%8B%E7%BD%91%E7%BB%9C%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B82021%E5%B9%B4%E5%8F%AF%E6%8C%81%E7%BB%AD%E5%8F%91%E5%B1%95%EF%BC%88ESG%EF%BC%89%E6%8A%A5%E5%91%8A-%E4%B8%AD%E6%96%87.pdf,https://mkfs.yybip.com/static/file/yonyou/esg/yonyou%202022%20Sustainability%20(ESG)%20report.pdf,https://mkfs.yybip.com/static/file/yonyou/esg/%E7%94%A8%E5%8F%8B%E7%BD%91%E7%BB%9C%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B82022%E5%B9%B4%E5%8F%AF%E6%8C%81%E7%BB%AD%E5%8F%91%E5%B1%95%EF%BC%88ESG%EF%BC%89%E6%8A%A5%E5%91%8A.pdf,https://mkfs.yybip.com/static/file/yonyou/esg/yonyou%202023%20Sustainability(ESG)%20report.pdf,https://mkfs.yybip.com/static/file/yonyou/esg/%E7%94%A8%E5%8F%8B%E7%BD%91%E7%BB%9C%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B82023%E5%B9%B4%E5%8F%AF%E6%8C%81%E7%BB%AD%E5%8F%91%E5%B1%95%EF%BC%88ESG%EF%BC%89%E6%8A%A5%E5%91%8A.pdf,,,Dai Yifan,
38,Capgemini,凯捷,France,Information Technology,Software & Services,IT Consulting & Other Services,2,0,https://investors.capgemini.com/en/esg-policy/,,,https://investors.capgemini.com/wp-content/uploads/sites/2/2019/05/ESG-policy2021.pdf,,https://investors.capgemini.com/en/wp-content/uploads/sites/2/2019/05/Capgemini-Environment-Report-22-23-2.pdf,,,,,,Dai Yifan,
