No.,Keywords,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,年份,年,year,Year,财年,FY,,,,,,,,,,,,,,,,,,,,,
F-01,Revenues,net income,销售收入,Revenue by segment,Total revenue (IFRS),营业收入,Net revenue,Operating income,收入,Revenue,台達營收,净营业收入,revenue,Net Income,归属于本公司股东的本期净利,Revenues by Reportable Segment ,營收,收入总计,美元,,,,,,,,
F-02,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-01,范围一温室气体排放量,Scope 1 emissions,Greenhouse gas (Scope 1),Category 1,Scope 1 GHG emissions,Scope 1 GHG Emissions,Total direct emissions (Scope 1),范围一,Total Scope 1 — Direct GHG emissions by weight,carbon emission,Scope 1 (direct),scope 1,范围一排放量,范围 1,范围1,範疇一,溫室氣體範圍一,直接排放总量（范围1）,Scope 1,Scope1,,,,,,,
E-02,Total Scope 2 — Indirect GHG emissions by weight,Scope2,Scope 2,范围二排放量,范围2,Scope 2 emissions,範疇二- 市場別,Scope 2 ,范围2(按市场计,范围二,Scope 2 (market-based),carbon emission,Total indirect emissions (Scope 2),Category 2,Scope 2 Market-based,Scope 2 GHG emissions,范围二温室气体排放量,间接排放总量（范围2）,"Scope 2 (indirect, market-based)",范围 2,scope 2,Greenhouse gas (Scope 2),溫室氣體範圍二,Scope 2 GHG3 Emissions,,,
E-03,Scope 3 emissions,范围三排放量,carbon emission,Scope3,Scope 3 Emissions,范围3,溫室氣體範疇三,Scope 3 Total,Category 3,Scope 3 ,Scope 3,GHG Emissions Scope 3,Total Scope 3 — Other indirect GHG emissions by weight,scope 3,,,,,,,,,,,,,
E-04,电力消耗总量,Electricity (purchased),Total electricity consumption,外購電網用電量,Purchased grid electricity consumption,Electricity (Photovoltaic involved),电力,electricity consumption,Electricity consumption,間接能源總計,总用电量,electricity,Electricity,Total indirect energy,电能源使用(含光伏),Energy Consumption,Total purchased electricity,Total electricity,外购电力总量,energy intensity,總電力,,,,,,
E-05,Water use,Total Water Consumption,耗水量,Global Water Usage,水资源消耗总量,Water Consumption,耗水总量,Water consumption,water consumption,消耗的水资源总量,用水量,water usage,Water consumed,Total water consumption,Annual Water Consumption,Total water consumption-India,Water withdrawal,,,,,,,,,,
E-06,Total Waste Generation,Waste Generated in Operations,waste generated,废弃物产生情况,废弃物,Total waste generated,Total waste generation,Waste Generation,Waste generated,Waste Generated,Waste,废弃物产生量,總處置廢棄物量,Waste by category,按类别划分的废弃物,,,,,,,,,,,,
E-07,renewable energy,再生電力,Purchase renewable energy and renewable energy certificate,Renewable electricity,Renewable energy,Solar power generation for self-use k,可再生能源,Renewable (Gen),綠色電力,Green Electricity,Renewable Electricity,Renewable Energy,renewable source,自用太阳能发电量,,,,,,,,,,,,,
S-01,总流失率,Voluntary turnover rate,rate of leavers,Employee involuntary turnover rate,Total turnover rate,Undesired Turnover Global Overall,turnover rate,Employee turnover rate for the year,Employee voluntary turnover,Total turnover rate of employees,Turnover rate,员工离职率,本年度員工流失率,整體月平均離職率,,,,,,,,,,,,,
S-02,employees,Workforce by region,员工数量,僱員總數,New Hires,全球員工人數（人）,the total number of employees,Employees at year end,员工总人数,Total number of employees,年底员工人数,本年度入職人數,Number of employees,Total employees,"Employee size
(dispatched labor included)",员工总数,Number of Canon Group Employees,total number of employees,Number of Employees,Number of entrants during the year,,,,,,,
