CompanyName,Year,ESG_score,Return_Deviation,Deviation_Percentile,Deviation_Label,Comm1,Comm2,Comm3,Comm4,Comm5,Comm6,Comm7
Lenovo,2020,83.4,0,0,,"The ESG score of Lenovo in 2023 is 87.72, is higher than the average score of it the industry.
This company has beaten 13 companies in this year, at the excellent level in the industry, and keep.","The risk level Lenovo in 2023 is Moderate with the 66.67, is higher than the average level of it the industry.",The return deviation level of Lenovo in 2023 is 4.50 which means this company has a better ESG performance compared to its financial performance.,"The ESG score of Lenovo from 2020 to 2023 is stable.
In 2020, we get the min ESG score is 83.40. and in 2023, we get the max ESG score is 87.72, extreme difference is 4.32.","1. Scope 3 Carbon Emissions: Promote the use of sustainable transportation options in the supply chain.
2. Waste Generation: Minimize packaging waste by using reusable or biodegradable materials.
3. Scope 2 Carbon Emissions: Improve energy management systems to monitor and reduce consumption.
4. Environmental Policy & Management: Regularly update and review environmental policies to keep them relevant.
5. Water Consumption: Educate employees and stakeholders on water conservation practices.","1. Training (Average Hours): Provide training in both technical and soft skills to ensure holistic growth.
2. Turnover Rate: Implement exit interviews to understand reasons for turnover and address issues.
3. Employee Fatalities: Use safety technology and equipment to minimize risks in hazardous environments.
4. Communities and Philanthropy: Measure and report on the impact of philanthropic initiatives to ensure transparency.
5. Total Employees: Offer employee recognition programs to improve morale and retention.","1. Consumer Privacy Protection: Invest in data breach response plans to quickly address any potential privacy violations.
2. Policy Influence: Engage with policymakers to advocate for sustainable business practices and regulations.
3. Alignment with Frameworks: Conduct periodic assessments to ensure all ESG efforts align with industry standards.
4. Partnerships and Collaborations: Develop strategic partnerships with organizations that share similar values and goals.
5. Assurance: Conduct internal audits to ensure adherence to established policies and standards."
Lenovo,2021,85.9,-10.667975,2.222222222,Low,"The ESG score of Lenovo in 2023 is 87.72, is higher than the average score of it the industry.
This company has beaten 13 companies in this year, at the excellent level in the industry, and keep.","The risk level Lenovo in 2023 is Moderate with the 66.67, is higher than the average level of it the industry.",The return deviation level of Lenovo in 2023 is 4.50 which means this company has a better ESG performance compared to its financial performance.,"The ESG score of Lenovo from 2020 to 2023 is stable.
In 2020, we get the min ESG score is 83.40. and in 2023, we get the max ESG score is 87.72, extreme difference is 4.32.","1. Scope 1 Carbon Emissions: Implement energy-efficient technologies in production processes.
2. Scope 3 Carbon Emissions: Develop programs to reduce the carbon footprint of products during their use phase.
3. Environmental Policy & Management: Set clear sustainability goals and incorporate them into the corporate strategy.
4. Energy Consumption: Invest in energy-efficient machinery and appliances.
5. Water Consumption: Conduct water usage audits and implement reduction measures.","1. Training (Number of Times): Provide incentives for employees to complete training programs.
2. Total Employees: Implement a workforce planning strategy to ensure optimal staffing levels.
3. Gender Diversity: Promote equal pay for equal work and conduct regular pay equity audits.
4. Turnover Rate: Conduct regular employee engagement surveys to identify retention drivers.
5. Communities and Philanthropy: Partner with non-profits to support environmental and social causes.","1. Board Composition: Introduce term limits to encourage new perspectives and prevent stagnation.
2. Ethical Behavior: Encourage employees to report unethical behavior through anonymous channels.
3. Cyber Security: Develop a comprehensive disaster recovery plan in case of a cyber incident.
4. Risk & Crisis Management: Establish a dedicated crisis management team with specific roles and responsibilities.
5. Assurance: Establish a transparent process for addressing discrepancies or errors found during audits."
Lenovo,2022,84.425,1.68795,42.22222222,Moderate,"The ESG score of Lenovo in 2023 is 87.72, is higher than the average score of it the industry.
This company has beaten 13 companies in this year, at the excellent level in the industry, and keep.","The risk level Lenovo in 2023 is Moderate with the 66.67, is higher than the average level of it the industry.",The return deviation level of Lenovo in 2023 is 4.50 which means this company has a better ESG performance compared to its financial performance.,"The ESG score of Lenovo from 2020 to 2023 is stable.
In 2020, we get the min ESG score is 83.40. and in 2023, we get the max ESG score is 87.72, extreme difference is 4.32.","1. Scope 2 Carbon Emissions: Set targets to reduce grid electricity usage through efficiency initiatives.
2. Environmental Policy & Management: Regularly update and review environmental policies to keep them relevant.
3. Waste Generation: Encourage digital processes to reduce paper waste in the office.
4. Scope 3 Carbon Emissions: Develop programs to reduce the carbon footprint of products during their use phase.
5. Water Consumption: Conduct water usage audits and implement reduction measures.","1. Training (Number of Times): Tailor training content to meet the evolving needs of the organization.
2. Occupational Injury: Regularly review workplace safety standards and make necessary adjustments.
3. Turnover Rate: Foster a positive workplace culture that encourages employee loyalty.
4. Total Employees: Offer employee recognition programs to improve morale and retention.
5. Training (Average Hours): Track training hours and set department-specific targets for improvement.","1. Assurance: Ensure the independence of auditors to avoid conflicts of interest in the assurance process.
2. Board Composition: Set clear expectations for board members' roles and responsibilities.
3. Ethical Behavior: Encourage employees to report unethical behavior through anonymous channels.
4. Cyber Security: Invest in firewalls and intrusion detection systems to protect against cyberattacks.
5. Partnerships and Collaborations: Develop strategic partnerships with organizations that share similar values and goals."
Lenovo,2023,87.725,4.4965,66.66666667,Moderate,"The ESG score of Lenovo in 2023 is 87.72, is higher than the average score of it the industry.
This company has beaten 13 companies in this year, at the excellent level in the industry, and keep.","The risk level Lenovo in 2023 is Moderate with the 66.67, is higher than the average level of it the industry.",The return deviation level of Lenovo in 2023 is 4.50 which means this company has a better ESG performance compared to its financial performance.,"The ESG score of Lenovo from 2020 to 2023 is stable.
In 2020, we get the min ESG score is 83.40. and in 2023, we get the max ESG score is 87.72, extreme difference is 4.32.","1. Scope 2 Carbon Emissions: Encourage the use of energy-efficient appliances in offices.
2. Water Consumption: Educate employees and stakeholders on water conservation practices.
3. Energy Consumption: Conduct regular energy audits to identify areas for improvement.
4. Environmental Policy & Management: Provide training for employees to understand and implement environmental policies.
5. Waste Generation: Minimize packaging waste by using reusable or biodegradable materials.","1. Total Employees: Implement a workforce planning strategy to ensure optimal staffing levels.
2. Turnover Rate: Implement exit interviews to understand reasons for turnover and address issues.
3. Gender Diversity: Establish a gender diversity task force to drive initiatives and monitor progress.
4. Communities and Philanthropy: Invest in local community projects that promote education, health, and sustainability.
5. Training (Number of Times): Increase the frequency of training sessions to enhance employee skills.","1. Assurance: Engage third-party auditors to verify the accuracy of ESG performance reports.
2. Risk & Crisis Management: Establish a dedicated crisis management team with specific roles and responsibilities.
3. Alignment with Frameworks: Align internal reporting systems with ESG framework requirements to ensure transparency.
4. Ethical Behavior: Regularly train employees on ethical decision-making and compliance standards.
5. Policy Influence: Support policies that incentivize companies to adopt responsible environmental and social practices."
HP,2020,82.291667,0,0,,"The ESG score of HP in 2023 is 84.40, is higher than the average score of it the industry.
This company has beaten 20 companies in this year, at the excellent level in the industry, and keep.",The risk level HP in 2023 is invalid because extreme values were detected.,The return deviation level of HP in 2023 is invalid because extreme values were detected too.,"The ESG score of HP from 2020 to 2023 is stable.
In 2021, we get the min ESG score is 81.86. and in 2023, we get the max ESG score is 84.40, extreme difference is 2.54.","1. Scope 1 Carbon Emissions: Switch to renewable energy sources for on-site energy needs.
2. Energy Consumption: Implement energy management systems to track and optimize energy use.
3. Scope 3 Carbon Emissions: Promote the use of sustainable transportation options in the supply chain.
4. Environmental Policy & Management: Regularly update and review environmental policies to keep them relevant.
5. Water Consumption: Recycle and reuse water within operations to minimize wastage.","1. Gender Diversity: Create mentorship programs to support the advancement of women in leadership.
2. Occupational Injury: Introduce a wellness program focused on physical health to prevent injuries.
3. Training (Average Hours): Offer more in-depth training programs to increase employee engagement.
4. Total Employees: Provide leadership development programs to enhance managerial effectiveness.
5. Employee Fatalities: Regularly review and update emergency procedures and safety protocols.","1. Ethical Behavior: Establish a comprehensive code of ethics that outlines acceptable behavior for all employees.
2. Board Composition: Regularly evaluate the performance and effectiveness of the board as a whole.
3. Risk & Crisis Management: Regularly review and update the risk management strategy to adapt to new challenges.
4. Partnerships and Collaborations: Collaborate with industry leaders to drive collective action on pressing ESG issues.
5. Cyber Security: Invest in firewalls and intrusion detection systems to protect against cyberattacks."
HP,2021,81.858333,0,0,,"The ESG score of HP in 2023 is 84.40, is higher than the average score of it the industry.
This company has beaten 20 companies in this year, at the excellent level in the industry, and keep.",The risk level HP in 2023 is invalid because extreme values were detected.,The return deviation level of HP in 2023 is invalid because extreme values were detected too.,"The ESG score of HP from 2020 to 2023 is stable.
In 2021, we get the min ESG score is 81.86. and in 2023, we get the max ESG score is 84.40, extreme difference is 2.54.","1. Waste Generation: Recycle and compost waste generated during production and office activities.
2. Environmental Policy & Management: Set clear sustainability goals and incorporate them into the corporate strategy.
3. Scope 2 Carbon Emissions: Improve energy management systems to monitor and reduce consumption.
4. Scope 1 Carbon Emissions: Reduce the use of fossil fuels in company-owned vehicles.
5. Water Consumption: Educate employees and stakeholders on water conservation practices.","1. Occupational Injury: Encourage employees to report unsafe conditions and address issues promptly.
2. Communities and Philanthropy: Measure and report on the impact of philanthropic initiatives to ensure transparency.
3. Turnover Rate: Implement exit interviews to understand reasons for turnover and address issues.
4. Employee Fatalities: Offer comprehensive safety training for all employees, especially in high-risk roles.
5. Gender Diversity: Create mentorship programs to support the advancement of women in leadership.","1. Alignment with Frameworks: Ensure alignment with internationally recognized sustainability and ESG frameworks (e.g., GRI, SASB).
2. Board Composition: Regularly evaluate the performance and effectiveness of the board as a whole.
3. Assurance: Ensure the independence of auditors to avoid conflicts of interest in the assurance process.
4. Ethical Behavior: Regularly train employees on ethical decision-making and compliance standards.
5. Consumer Privacy Protection: Provide clear privacy policies that explain how consumer data is collected, used, and stored."
HP,2022,82.066667,0,0,,"The ESG score of HP in 2023 is 84.40, is higher than the average score of it the industry.
This company has beaten 20 companies in this year, at the excellent level in the industry, and keep.",The risk level HP in 2023 is invalid because extreme values were detected.,The return deviation level of HP in 2023 is invalid because extreme values were detected too.,"The ESG score of HP from 2020 to 2023 is stable.
In 2021, we get the min ESG score is 81.86. and in 2023, we get the max ESG score is 84.40, extreme difference is 2.54.","1. Environmental Policy & Management: Regularly update and review environmental policies to keep them relevant.
2. Scope 2 Carbon Emissions: Encourage the use of energy-efficient appliances in offices.
3. Waste Generation: Adopt a zero-waste policy to reduce waste sent to landfills.
4. Energy Consumption: Invest in energy-efficient machinery and appliances.
5. Scope 1 Carbon Emissions: Reduce the use of fossil fuels in company-owned vehicles.","1. Communities and Philanthropy: Establish a corporate social responsibility (CSR) strategy that aligns with community needs.
2. Training (Average Hours): Encourage employees to allocate time for skill development during working hours.
3. Total Employees: Introduce flexible working arrangements to improve employee satisfaction.
4. Training (Number of Times): Provide incentives for employees to complete training programs.
5. Turnover Rate: Provide clear career progression and development opportunities.","1. Risk & Crisis Management: Conduct regular scenario planning exercises to prepare for potential crises.
2. Ethical Behavior: Establish a comprehensive code of ethics that outlines acceptable behavior for all employees.
3. Partnerships and Collaborations: Engage in joint ventures that align with the company’s sustainability objectives.
4. Assurance: Conduct internal audits to ensure adherence to established policies and standards.
5. Policy Influence: Align corporate lobbying efforts with company values and the public good to avoid reputational risk."
HP,2023,84.4,0,0,,"The ESG score of HP in 2023 is 84.40, is higher than the average score of it the industry.
This company has beaten 20 companies in this year, at the excellent level in the industry, and keep.",The risk level HP in 2023 is invalid because extreme values were detected.,The return deviation level of HP in 2023 is invalid because extreme values were detected too.,"The ESG score of HP from 2020 to 2023 is stable.
In 2021, we get the min ESG score is 81.86. and in 2023, we get the max ESG score is 84.40, extreme difference is 2.54.","1. Scope 3 Carbon Emissions: Reduce business travel by encouraging virtual meetings and telecommuting.
2. Energy Consumption: Use alternative energy sources like solar or wind for electricity.
3. Environmental Policy & Management: Regularly update and review environmental policies to keep them relevant.
4. Scope 1 Carbon Emissions: Optimize heating and cooling systems to reduce emissions.
5. Waste Generation: Minimize packaging waste by using reusable or biodegradable materials.","1. Total Employees: Implement a workforce planning strategy to ensure optimal staffing levels.
2. Employee Fatalities: Use safety technology and equipment to minimize risks in hazardous environments.
3. Occupational Injury: Encourage employees to report unsafe conditions and address issues promptly.
4. Turnover Rate: Offer competitive compensation and benefits to reduce turnover.
5. Gender Diversity: Promote equal pay for equal work and conduct regular pay equity audits.","1. Risk & Crisis Management: Ensure the company has a clear crisis communication plan for swift and transparent responses.
2. Ethical Behavior: Regularly train employees on ethical decision-making and compliance standards.
3. Board Composition: Set clear expectations for board members' roles and responsibilities.
4. Assurance: Conduct internal audits to ensure adherence to established policies and standards.
5. Partnerships and Collaborations: Invest in partnerships with non-governmental organizations to address global challenges."
Pegatron,2020,56.8,5.09088,68.88888889,Moderate,"The ESG score of Pegatron in 2023 is 58.60, is lower than the average score of it the industry.
This company has beaten 79 companies in this year, at the average level in the industry, and improve.","The risk level Pegatron in 2023 is High with the 97.78, is higher than the average level of it the industry.",The return deviation level of Pegatron in 2023 is 7.83 which means this company has a better ESG performance compared to its financial performance.,"The ESG score of Pegatron from 2020 to 2023 is volatile.
In 2020, we get the min ESG score is 56.80. and in 2022, we get the max ESG score is 64.60, extreme difference is 7.80.","1. Water Consumption: Conduct water usage audits and implement reduction measures.
2. Scope 1 Carbon Emissions: Reduce the use of fossil fuels in company-owned vehicles.
3. Scope 2 Carbon Emissions: Encourage the use of energy-efficient appliances in offices.
4. Scope 3 Carbon Emissions: Reduce waste in the product lifecycle by promoting recycling and reuse.
5. Waste Generation: Recycle and compost waste generated during production and office activities.","1. Employee Fatalities: Implement a zero-tolerance policy for safety violations and promote accountability.
2. Total Employees: Create a healthy work environment that supports employee well-being.
3. Communities and Philanthropy: Partner with non-profits to support environmental and social causes.
4. Turnover Rate: Offer competitive compensation and benefits to reduce turnover.
5. Training (Average Hours): Offer more in-depth training programs to increase employee engagement.","1. Cyber Security: Implement multi-factor authentication for all sensitive systems and accounts.
2. Alignment with Frameworks: Participate in industry forums and initiatives to stay updated on best practices.
3. Policy Influence: Regularly review government regulations to ensure compliance and anticipate future changes.
4. Board Composition: Set clear expectations for board members' roles and responsibilities.
5. Assurance: Engage third-party auditors to verify the accuracy of ESG performance reports."
Pegatron,2021,56.9,7.33142,95.55555556,High,"The ESG score of Pegatron in 2023 is 58.60, is lower than the average score of it the industry.
This company has beaten 79 companies in this year, at the average level in the industry, and improve.","The risk level Pegatron in 2023 is High with the 97.78, is higher than the average level of it the industry.",The return deviation level of Pegatron in 2023 is 7.83 which means this company has a better ESG performance compared to its financial performance.,"The ESG score of Pegatron from 2020 to 2023 is volatile.
In 2020, we get the min ESG score is 56.80. and in 2022, we get the max ESG score is 64.60, extreme difference is 7.80.","1. Waste Generation: Adopt a zero-waste policy to reduce waste sent to landfills.
2. Scope 3 Carbon Emissions: Engage suppliers to adopt sustainable practices and reduce emissions.
3. Scope 2 Carbon Emissions: Set targets to reduce grid electricity usage through efficiency initiatives.
4. Energy Consumption: Conduct regular energy audits to identify areas for improvement.
5. Scope 1 Carbon Emissions: Implement energy-efficient technologies in production processes.","1. Training (Number of Times): Provide incentives for employees to complete training programs.
2. Employee Fatalities: Conduct thorough safety audits and identify high-risk areas to prevent fatalities.
3. Occupational Injury: Provide ergonomic workstations to reduce the risk of workplace injuries.
4. Turnover Rate: Implement exit interviews to understand reasons for turnover and address issues.
5. Training (Average Hours): Offer personalized training paths to match individual career development goals.","1. Policy Influence: Engage with policymakers to advocate for sustainable business practices and regulations.
2. Board Composition: Regularly evaluate the performance and effectiveness of the board as a whole.
3. Partnerships and Collaborations: Collaborate with industry leaders to drive collective action on pressing ESG issues.
4. Assurance: Establish a transparent process for addressing discrepancies or errors found during audits.
5. Risk & Crisis Management: Regularly review and update the risk management strategy to adapt to new challenges."
