Company_ID,CompanyName,ESG_score,Country,Sector,Industrygroup,Industry,Language,Year,Scope 1 Carbon Emissions,Scope 2 Carbon Emissions,Scope 3 Carbon Emissions,Energy Consumption,Water Consumption,Waste Generation,Environmental Policy & Management,Turnover Rate,Total Employees,Gender Diversity,Training (Number of Times),Training (Average Hours),Employee Fatalities,Occupational Injury,Communities and Philanthropy,Consumer Privacy Protection,Board Composition,Ethical Behavior,Cyber Security,Alignment with Frameworks,Assurance,Policy Influence,Risk & Crisis Management,Partnerships and Collaborations,Public Sentiment,Market Share,Profitability,WACC,Volatility,Liquidity,Beta Coefficient,GDP Growth,Unemployment
1,Lenovo,83.4,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2020,1.6680000000000001,1.6680000000000001,1.6680000000000001,0.8340000000000001,0.8340000000000001,0.8340000000000001,1.6680000000000001,1.6680000000000001,1.6680000000000001,1.6680000000000001,0.8340000000000001,0.8340000000000001,0.8340000000000001,0.8340000000000001,0.8340000000000001,4.170000000000001,12.51,12.51,8.340000000000002,1.6680000000000001,1.6680000000000001,3.3360000000000003,4.170000000000001,4.170000000000001,2.0850000000000004,4.170000000000001,1.6680000000000001,0.8340000000000001,0.8340000000000001,0.8340000000000001,0.41700000000000004,0.8340000000000001,0.8340000000000001
2,Lenovo,85.9,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2021,1.7180000000000002,1.7180000000000002,1.7180000000000002,0.8590000000000001,0.8590000000000001,0.8590000000000001,1.7180000000000002,1.7180000000000002,1.7180000000000002,1.7180000000000002,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.8590000000000001,4.295000000000001,12.885,12.885,8.590000000000002,1.7180000000000002,1.7180000000000002,3.4360000000000004,4.295000000000001,4.295000000000001,2.1475000000000004,4.295000000000001,1.7180000000000002,0.8590000000000001,0.8590000000000001,0.8590000000000001,0.42950000000000005,0.8590000000000001,0.8590000000000001
3,Lenovo,84.425,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2022,1.6885,1.6885,1.6885,0.84425,0.84425,0.84425,1.6885,1.6885,1.6885,1.6885,0.84425,0.84425,0.84425,0.84425,0.84425,4.22125,12.663749999999999,12.663749999999999,8.4425,1.6885,1.6885,3.377,4.22125,4.22125,2.110625,4.22125,1.6885,0.84425,0.84425,0.84425,0.422125,0.84425,0.84425
4,Lenovo,87.725,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2023,1.7545,1.7545,1.7545,0.87725,0.87725,0.87725,1.7545,1.7545,1.7545,1.7545,0.87725,0.87725,0.87725,0.87725,0.87725,4.3862499999999995,13.15875,13.15875,8.772499999999999,1.7545,1.7545,3.509,4.3862499999999995,4.3862499999999995,2.1931249999999998,4.3862499999999995,1.7545,0.87725,0.87725,0.87725,0.438625,0.87725,0.87725
5,HP,82.291667,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2020,1.64583334,1.64583334,1.64583334,0.82291667,0.82291667,0.82291667,1.64583334,1.64583334,1.64583334,1.64583334,0.82291667,0.82291667,0.82291667,0.82291667,0.82291667,4.11458335,12.34375005,12.34375005,8.2291667,1.64583334,1.64583334,3.29166668,4.11458335,4.11458335,2.057291675,4.11458335,1.64583334,0.82291667,0.82291667,0.82291667,0.411458335,0.82291667,0.82291667
6,HP,81.858333,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2021,1.63716666,1.63716666,1.63716666,0.81858333,0.81858333,0.81858333,1.63716666,1.63716666,1.63716666,1.63716666,0.81858333,0.81858333,0.81858333,0.81858333,0.81858333,4.09291665,12.27874995,12.27874995,8.1858333,1.63716666,1.63716666,3.27433332,4.09291665,4.09291665,2.046458325,4.09291665,1.63716666,0.81858333,0.81858333,0.81858333,0.409291665,0.81858333,0.81858333
7,HP,82.066667,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2022,1.6413333399999999,1.6413333399999999,1.6413333399999999,0.8206666699999999,0.8206666699999999,0.8206666699999999,1.6413333399999999,1.6413333399999999,1.6413333399999999,1.6413333399999999,0.8206666699999999,0.8206666699999999,0.8206666699999999,0.8206666699999999,0.8206666699999999,4.10333335,12.31000005,12.31000005,8.2066667,1.6413333399999999,1.6413333399999999,3.2826666799999997,4.10333335,4.10333335,2.051666675,4.10333335,1.6413333399999999,0.8206666699999999,0.8206666699999999,0.8206666699999999,0.41033333499999997,0.8206666699999999,0.8206666699999999
8,HP,84.4,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2023,1.6880000000000002,1.6880000000000002,1.6880000000000002,0.8440000000000001,0.8440000000000001,0.8440000000000001,1.6880000000000002,1.6880000000000002,1.6880000000000002,1.6880000000000002,0.8440000000000001,0.8440000000000001,0.8440000000000001,0.8440000000000001,0.8440000000000001,4.220000000000001,12.66,12.66,8.440000000000001,1.6880000000000002,1.6880000000000002,3.3760000000000003,4.220000000000001,4.220000000000001,2.1100000000000003,4.220000000000001,1.6880000000000002,0.8440000000000001,0.8440000000000001,0.8440000000000001,0.42200000000000004,0.8440000000000001,0.8440000000000001
9,Pegatron,56.8,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2020,1.136,1.136,1.136,0.568,0.568,0.568,1.136,1.136,1.136,1.136,0.568,0.568,0.568,0.568,0.568,2.84,8.52,8.52,5.68,1.136,1.136,2.272,2.84,2.84,1.42,2.84,1.136,0.568,0.568,0.568,0.284,0.568,0.568
10,Pegatron,56.9,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2021,1.138,1.138,1.138,0.569,0.569,0.569,1.138,1.138,1.138,1.138,0.569,0.569,0.569,0.569,0.569,2.845,8.535,8.535,5.69,1.138,1.138,2.276,2.845,2.845,1.4225,2.845,1.138,0.569,0.569,0.569,0.2845,0.569,0.569
