CompanyName,Year,ESG_score,Return_Deviation,Deviation_Percentile,Deviation_Label,Comm1,Comm2,Comm3,Comm4,Comm5,Comm6,Comm7
Lenovo,2021,86.215,-10.023875,2.173913043,Low,"The ESG score of Lenovo in 2023 is 88.34, is higher than the average score of it the industry.
This company has beaten 14 companies in this year, at the excellent level in the industry, and keep.","The risk level Lenovo in 2023 is Moderate with the 67.39, is higher than the average level of it the industry.",The return deviation level of Lenovo in 2023 is 3.67 which means this company has a better ESG performance compared to its financial performance.,"The ESG score of Lenovo from 2021 to 2023 is stable.
In 2022, we get the min ESG score is 84.70. and in 2023, we get the max ESG score is 88.34, extreme difference is 3.64.","1. Scope 1 Carbon Emissions: Implement energy-efficient technologies in production processes.
2. Scope 3 Carbon Emissions: Develop programs to reduce the carbon footprint of products during their use phase.
3. Environmental Policy & Management: Set clear sustainability goals and incorporate them into the corporate strategy.
4. Energy Consumption: Invest in energy-efficient machinery and appliances.
5. Water Consumption: Conduct water usage audits and implement reduction measures.","1. Training (Number of Times): Provide incentives for employees to complete training programs.
2. Total Employees: Implement a workforce planning strategy to ensure optimal staffing levels.
3. Gender Diversity: Promote equal pay for equal work and conduct regular pay equity audits.
4. Turnover Rate: Conduct regular employee engagement surveys to identify retention drivers.
5. Communities and Philanthropy: Partner with non-profits to support environmental and social causes.","1. Board Composition: Introduce term limits to encourage new perspectives and prevent stagnation.
2. Ethical Behavior: Encourage employees to report unethical behavior through anonymous channels.
3. Cyber Security: Develop a comprehensive disaster recovery plan in case of a cyber incident.
4. Risk & Crisis Management: Establish a dedicated crisis management team with specific roles and responsibilities.
5. Assurance: Establish a transparent process for addressing discrepancies or errors found during audits."
Lenovo,2022,84.7,1.25755,43.47826087,Moderate,"The ESG score of Lenovo in 2023 is 88.34, is higher than the average score of it the industry.
This company has beaten 14 companies in this year, at the excellent level in the industry, and keep.","The risk level Lenovo in 2023 is Moderate with the 67.39, is higher than the average level of it the industry.",The return deviation level of Lenovo in 2023 is 3.67 which means this company has a better ESG performance compared to its financial performance.,"The ESG score of Lenovo from 2021 to 2023 is stable.
In 2022, we get the min ESG score is 84.70. and in 2023, we get the max ESG score is 88.34, extreme difference is 3.64.","1. Scope 2 Carbon Emissions: Set targets to reduce grid electricity usage through efficiency initiatives.
2. Environmental Policy & Management: Regularly update and review environmental policies to keep them relevant.
3. Waste Generation: Encourage digital processes to reduce paper waste in the office.
4. Scope 3 Carbon Emissions: Develop programs to reduce the carbon footprint of products during their use phase.
5. Water Consumption: Conduct water usage audits and implement reduction measures.","1. Training (Number of Times): Tailor training content to meet the evolving needs of the organization.
2. Occupational Injury: Regularly review workplace safety standards and make necessary adjustments.
3. Turnover Rate: Foster a positive workplace culture that encourages employee loyalty.
4. Total Employees: Offer employee recognition programs to improve morale and retention.
5. Training (Average Hours): Track training hours and set department-specific targets for improvement.","1. Assurance: Ensure the independence of auditors to avoid conflicts of interest in the assurance process.
2. Board Composition: Set clear expectations for board members' roles and responsibilities.
3. Ethical Behavior: Encourage employees to report unethical behavior through anonymous channels.
4. Cyber Security: Invest in firewalls and intrusion detection systems to protect against cyberattacks.
5. Partnerships and Collaborations: Develop strategic partnerships with organizations that share similar values and goals."
Lenovo,2023,88.34,3.6675,67.39130435,Moderate,"The ESG score of Lenovo in 2023 is 88.34, is higher than the average score of it the industry.
This company has beaten 14 companies in this year, at the excellent level in the industry, and keep.","The risk level Lenovo in 2023 is Moderate with the 67.39, is higher than the average level of it the industry.",The return deviation level of Lenovo in 2023 is 3.67 which means this company has a better ESG performance compared to its financial performance.,"The ESG score of Lenovo from 2021 to 2023 is stable.
In 2022, we get the min ESG score is 84.70. and in 2023, we get the max ESG score is 88.34, extreme difference is 3.64.","1. Scope 2 Carbon Emissions: Encourage the use of energy-efficient appliances in offices.
2. Water Consumption: Educate employees and stakeholders on water conservation practices.
3. Energy Consumption: Conduct regular energy audits to identify areas for improvement.
4. Environmental Policy & Management: Provide training for employees to understand and implement environmental policies.
5. Waste Generation: Minimize packaging waste by using reusable or biodegradable materials.","1. Total Employees: Implement a workforce planning strategy to ensure optimal staffing levels.
2. Turnover Rate: Implement exit interviews to understand reasons for turnover and address issues.
3. Gender Diversity: Establish a gender diversity task force to drive initiatives and monitor progress.
4. Communities and Philanthropy: Invest in local community projects that promote education, health, and sustainability.
5. Training (Number of Times): Increase the frequency of training sessions to enhance employee skills.","1. Assurance: Engage third-party auditors to verify the accuracy of ESG performance reports.
2. Risk & Crisis Management: Establish a dedicated crisis management team with specific roles and responsibilities.
3. Alignment with Frameworks: Align internal reporting systems with ESG framework requirements to ensure transparency.
4. Ethical Behavior: Regularly train employees on ethical decision-making and compliance standards.
5. Policy Influence: Support policies that incentivize companies to adopt responsible environmental and social practices."
HP,2020,84.6,0,0,,"The ESG score of HP in 2023 is 84.20, is higher than the average score of it the industry.
This company has beaten 21 companies in this year, at the excellent level in the industry, and keep.",The risk level HP in 2023 is invalid because extreme values were detected.,The return deviation level of HP in 2023 is invalid because extreme values were detected too.,"The ESG score of HP from 2020 to 2023 is stable.
In 2021, we get the min ESG score is 80.70. and in 2020, we get the max ESG score is 84.60, extreme difference is 3.90.","1. Scope 1 Carbon Emissions: Switch to renewable energy sources for on-site energy needs.
2. Energy Consumption: Implement energy management systems to track and optimize energy use.
3. Scope 3 Carbon Emissions: Promote the use of sustainable transportation options in the supply chain.
4. Environmental Policy & Management: Regularly update and review environmental policies to keep them relevant.
5. Water Consumption: Recycle and reuse water within operations to minimize wastage.","1. Gender Diversity: Create mentorship programs to support the advancement of women in leadership.
2. Occupational Injury: Introduce a wellness program focused on physical health to prevent injuries.
3. Training (Average Hours): Offer more in-depth training programs to increase employee engagement.
4. Total Employees: Provide leadership development programs to enhance managerial effectiveness.
5. Employee Fatalities: Regularly review and update emergency procedures and safety protocols.","1. Ethical Behavior: Establish a comprehensive code of ethics that outlines acceptable behavior for all employees.
2. Board Composition: Regularly evaluate the performance and effectiveness of the board as a whole.
3. Risk & Crisis Management: Regularly review and update the risk management strategy to adapt to new challenges.
4. Partnerships and Collaborations: Collaborate with industry leaders to drive collective action on pressing ESG issues.
5. Cyber Security: Invest in firewalls and intrusion detection systems to protect against cyberattacks."
HP,2021,80.7,0,0,,"The ESG score of HP in 2023 is 84.20, is higher than the average score of it the industry.
This company has beaten 21 companies in this year, at the excellent level in the industry, and keep.",The risk level HP in 2023 is invalid because extreme values were detected.,The return deviation level of HP in 2023 is invalid because extreme values were detected too.,"The ESG score of HP from 2020 to 2023 is stable.
In 2021, we get the min ESG score is 80.70. and in 2020, we get the max ESG score is 84.60, extreme difference is 3.90.","1. Waste Generation: Recycle and compost waste generated during production and office activities.
2. Environmental Policy & Management: Set clear sustainability goals and incorporate them into the corporate strategy.
3. Scope 2 Carbon Emissions: Improve energy management systems to monitor and reduce consumption.
4. Scope 1 Carbon Emissions: Reduce the use of fossil fuels in company-owned vehicles.
5. Water Consumption: Educate employees and stakeholders on water conservation practices.","1. Occupational Injury: Encourage employees to report unsafe conditions and address issues promptly.
2. Communities and Philanthropy: Measure and report on the impact of philanthropic initiatives to ensure transparency.
3. Turnover Rate: Implement exit interviews to understand reasons for turnover and address issues.
4. Employee Fatalities: Offer comprehensive safety training for all employees, especially in high-risk roles.
5. Gender Diversity: Create mentorship programs to support the advancement of women in leadership.","1. Alignment with Frameworks: Ensure alignment with internationally recognized sustainability and ESG frameworks (e.g., GRI, SASB).
2. Board Composition: Regularly evaluate the performance and effectiveness of the board as a whole.
3. Assurance: Ensure the independence of auditors to avoid conflicts of interest in the assurance process.
4. Ethical Behavior: Regularly train employees on ethical decision-making and compliance standards.
5. Consumer Privacy Protection: Provide clear privacy policies that explain how consumer data is collected, used, and stored."
HP,2022,82.025,0,0,,"The ESG score of HP in 2023 is 84.20, is higher than the average score of it the industry.
This company has beaten 21 companies in this year, at the excellent level in the industry, and keep.",The risk level HP in 2023 is invalid because extreme values were detected.,The return deviation level of HP in 2023 is invalid because extreme values were detected too.,"The ESG score of HP from 2020 to 2023 is stable.
In 2021, we get the min ESG score is 80.70. and in 2020, we get the max ESG score is 84.60, extreme difference is 3.90.","1. Environmental Policy & Management: Regularly update and review environmental policies to keep them relevant.
2. Scope 2 Carbon Emissions: Encourage the use of energy-efficient appliances in offices.
3. Waste Generation: Adopt a zero-waste policy to reduce waste sent to landfills.
4. Energy Consumption: Invest in energy-efficient machinery and appliances.
5. Scope 1 Carbon Emissions: Reduce the use of fossil fuels in company-owned vehicles.","1. Communities and Philanthropy: Establish a corporate social responsibility (CSR) strategy that aligns with community needs.
2. Training (Average Hours): Encourage employees to allocate time for skill development during working hours.
3. Total Employees: Introduce flexible working arrangements to improve employee satisfaction.
4. Training (Number of Times): Provide incentives for employees to complete training programs.
5. Turnover Rate: Provide clear career progression and development opportunities.","1. Risk & Crisis Management: Conduct regular scenario planning exercises to prepare for potential crises.
2. Ethical Behavior: Establish a comprehensive code of ethics that outlines acceptable behavior for all employees.
3. Partnerships and Collaborations: Engage in joint ventures that align with the company’s sustainability objectives.
4. Assurance: Conduct internal audits to ensure adherence to established policies and standards.
5. Policy Influence: Align corporate lobbying efforts with company values and the public good to avoid reputational risk."
HP,2023,84.2,0,0,,"The ESG score of HP in 2023 is 84.20, is higher than the average score of it the industry.
This company has beaten 21 companies in this year, at the excellent level in the industry, and keep.",The risk level HP in 2023 is invalid because extreme values were detected.,The return deviation level of HP in 2023 is invalid because extreme values were detected too.,"The ESG score of HP from 2020 to 2023 is stable.
In 2021, we get the min ESG score is 80.70. and in 2020, we get the max ESG score is 84.60, extreme difference is 3.90.","1. Scope 3 Carbon Emissions: Reduce business travel by encouraging virtual meetings and telecommuting.
2. Energy Consumption: Use alternative energy sources like solar or wind for electricity.
3. Environmental Policy & Management: Regularly update and review environmental policies to keep them relevant.
4. Scope 1 Carbon Emissions: Optimize heating and cooling systems to reduce emissions.
5. Waste Generation: Minimize packaging waste by using reusable or biodegradable materials.","1. Total Employees: Implement a workforce planning strategy to ensure optimal staffing levels.
2. Employee Fatalities: Use safety technology and equipment to minimize risks in hazardous environments.
3. Occupational Injury: Encourage employees to report unsafe conditions and address issues promptly.
4. Turnover Rate: Offer competitive compensation and benefits to reduce turnover.
5. Gender Diversity: Promote equal pay for equal work and conduct regular pay equity audits.","1. Risk & Crisis Management: Ensure the company has a clear crisis communication plan for swift and transparent responses.
2. Ethical Behavior: Regularly train employees on ethical decision-making and compliance standards.
3. Board Composition: Set clear expectations for board members' roles and responsibilities.
4. Assurance: Conduct internal audits to ensure adherence to established policies and standards.
5. Partnerships and Collaborations: Invest in partnerships with non-governmental organizations to address global challenges."
Pegatron,2020,60.9,3.35628,63.04347826,Moderate,"The ESG score of Pegatron in 2023 is 63.52, is higher than the average score of it the industry.
This company has beaten 71 companies in this year, at the excellent level in the industry, and keep.","The risk level Pegatron in 2023 is High with the 100.00, is higher than the average level of it the industry.",The return deviation level of Pegatron in 2023 is 7.61 which means this company has a better ESG performance compared to its financial performance.,"The ESG score of Pegatron from 2020 to 2023 is volatile.
In 2021, we get the min ESG score is 58.12. and in 2023, we get the max ESG score is 63.52, extreme difference is 5.40.","1. Water Consumption: Conduct water usage audits and implement reduction measures.
2. Scope 1 Carbon Emissions: Reduce the use of fossil fuels in company-owned vehicles.
3. Scope 2 Carbon Emissions: Encourage the use of energy-efficient appliances in offices.
4. Scope 3 Carbon Emissions: Reduce waste in the product lifecycle by promoting recycling and reuse.
5. Waste Generation: Recycle and compost waste generated during production and office activities.","1. Employee Fatalities: Implement a zero-tolerance policy for safety violations and promote accountability.
2. Total Employees: Create a healthy work environment that supports employee well-being.
3. Communities and Philanthropy: Partner with non-profits to support environmental and social causes.
4. Turnover Rate: Offer competitive compensation and benefits to reduce turnover.
5. Training (Average Hours): Offer more in-depth training programs to increase employee engagement.","1. Cyber Security: Implement multi-factor authentication for all sensitive systems and accounts.
2. Alignment with Frameworks: Participate in industry forums and initiatives to stay updated on best practices.
3. Policy Influence: Regularly review government regulations to ensure compliance and anticipate future changes.
4. Board Composition: Set clear expectations for board members' roles and responsibilities.
5. Assurance: Engage third-party auditors to verify the accuracy of ESG performance reports."
Pegatron,2021,58.116667,7.06032,95.65217391,High,"The ESG score of Pegatron in 2023 is 63.52, is higher than the average score of it the industry.
This company has beaten 71 companies in this year, at the excellent level in the industry, and keep.","The risk level Pegatron in 2023 is High with the 100.00, is higher than the average level of it the industry.",The return deviation level of Pegatron in 2023 is 7.61 which means this company has a better ESG performance compared to its financial performance.,"The ESG score of Pegatron from 2020 to 2023 is volatile.
In 2021, we get the min ESG score is 58.12. and in 2023, we get the max ESG score is 63.52, extreme difference is 5.40.","1. Waste Generation: Adopt a zero-waste policy to reduce waste sent to landfills.
2. Scope 3 Carbon Emissions: Engage suppliers to adopt sustainable practices and reduce emissions.
3. Scope 2 Carbon Emissions: Set targets to reduce grid electricity usage through efficiency initiatives.
4. Energy Consumption: Conduct regular energy audits to identify areas for improvement.
5. Scope 1 Carbon Emissions: Implement energy-efficient technologies in production processes.","1. Training (Number of Times): Provide incentives for employees to complete training programs.
2. Employee Fatalities: Conduct thorough safety audits and identify high-risk areas to prevent fatalities.
3. Occupational Injury: Provide ergonomic workstations to reduce the risk of workplace injuries.
4. Turnover Rate: Implement exit interviews to understand reasons for turnover and address issues.
5. Training (Average Hours): Offer personalized training paths to match individual career development goals.","1. Policy Influence: Engage with policymakers to advocate for sustainable business practices and regulations.
2. Board Composition: Regularly evaluate the performance and effectiveness of the board as a whole.
3. Partnerships and Collaborations: Collaborate with industry leaders to drive collective action on pressing ESG issues.
4. Assurance: Establish a transparent process for addressing discrepancies or errors found during audits.
5. Risk & Crisis Management: Regularly review and update the risk management strategy to adapt to new challenges."
Pegatron,2022,60.2,5.84422,80.43478261,High,"The ESG score of Pegatron in 2023 is 63.52, is higher than the average score of it the industry.
This company has beaten 71 companies in this year, at the excellent level in the industry, and keep.","The risk level Pegatron in 2023 is High with the 100.00, is higher than the average level of it the industry.",The return deviation level of Pegatron in 2023 is 7.61 which means this company has a better ESG performance compared to its financial performance.,"The ESG score of Pegatron from 2020 to 2023 is volatile.
In 2021, we get the min ESG score is 58.12. and in 2023, we get the max ESG score is 63.52, extreme difference is 5.40.","1. Scope 1 Carbon Emissions: Switch to renewable energy sources for on-site energy needs.
2. Waste Generation: Minimize packaging waste by using reusable or biodegradable materials.
3. Scope 2 Carbon Emissions: Transition office spaces and facilities to energy-efficient lighting and equipment.
4. Water Consumption: Educate employees and stakeholders on water conservation practices.
5. Scope 3 Carbon Emissions: Promote the use of sustainable transportation options in the supply chain.","1. Occupational Injury: Provide ergonomic workstations to reduce the risk of workplace injuries.
2. Training (Number of Times): Encourage cross-departmental training to foster collaboration and knowledge sharing.
3. Turnover Rate: Foster a positive workplace culture that encourages employee loyalty.
4. Gender Diversity: Create mentorship programs to support the advancement of women in leadership.
5. Total Employees: Create a healthy work environment that supports employee well-being.","1. Board Composition: Regularly evaluate the performance and effectiveness of the board as a whole.
2. Assurance: Establish a transparent process for addressing discrepancies or errors found during audits.
3. Policy Influence: Engage with policymakers to advocate for sustainable business practices and regulations.
4. Consumer Privacy Protection: Implement robust data encryption measures to protect consumer data.
5. Ethical Behavior: Encourage employees to report unethical behavior through anonymous channels."
