Company_ID,CompanyName,ESG_score,Country,Sector,Industrygroup,Industry,Language,Year,Scope 1 Carbon Emissions,Scope 2 Carbon Emissions,Scope 3 Carbon Emissions,Energy Consumption,Water Consumption,Waste Generation,Environmental Policy & Management,Turnover Rate,Total Employees,Gender Diversity,Training (Number of Times),Training (Average Hours),Employee Fatalities,Occupational Injury,Communities and Philanthropy,Consumer Privacy Protection,Board Composition,Ethical Behavior,Cyber Security,Alignment with Frameworks,Assurance,Policy Influence,Risk & Crisis Management,Partnerships and Collaborations,Public Sentiment,Market Share,Profitability,WACC,Volatility,Liquidity,Beta Coefficient,GDP Growth,Unemployment
1,Lenovo,86.215,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2021,1.7243000000000002,1.7243000000000002,1.7243000000000002,0.8621500000000001,0.8621500000000001,0.8621500000000001,1.7243000000000002,1.7243000000000002,1.7243000000000002,1.7243000000000002,0.8621500000000001,0.8621500000000001,0.8621500000000001,0.8621500000000001,0.8621500000000001,4.3107500000000005,12.93225,12.93225,8.621500000000001,1.7243000000000002,1.7243000000000002,3.4486000000000003,4.3107500000000005,4.3107500000000005,2.1553750000000003,4.3107500000000005,1.7243000000000002,0.8621500000000001,0.8621500000000001,0.8621500000000001,0.43107500000000004,0.8621500000000001,0.8621500000000001
2,Lenovo,84.7,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2022,1.6940000000000002,1.6940000000000002,1.6940000000000002,0.8470000000000001,0.8470000000000001,0.8470000000000001,1.6940000000000002,1.6940000000000002,1.6940000000000002,1.6940000000000002,0.8470000000000001,0.8470000000000001,0.8470000000000001,0.8470000000000001,0.8470000000000001,4.235,12.705,12.705,8.47,1.6940000000000002,1.6940000000000002,3.3880000000000003,4.235,4.235,2.1175,4.235,1.6940000000000002,0.8470000000000001,0.8470000000000001,0.8470000000000001,0.42350000000000004,0.8470000000000001,0.8470000000000001
3,Lenovo,88.34,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2023,1.7668000000000001,1.7668000000000001,1.7668000000000001,0.8834000000000001,0.8834000000000001,0.8834000000000001,1.7668000000000001,1.7668000000000001,1.7668000000000001,1.7668000000000001,0.8834000000000001,0.8834000000000001,0.8834000000000001,0.8834000000000001,0.8834000000000001,4.417000000000001,13.251,13.251,8.834000000000001,1.7668000000000001,1.7668000000000001,3.5336000000000003,4.417000000000001,4.417000000000001,2.2085000000000004,4.417000000000001,1.7668000000000001,0.8834000000000001,0.8834000000000001,0.8834000000000001,0.44170000000000004,0.8834000000000001,0.8834000000000001
4,HP,84.6,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2020,1.692,1.692,1.692,0.846,0.846,0.846,1.692,1.692,1.692,1.692,0.846,0.846,0.846,0.846,0.846,4.2299999999999995,12.69,12.69,8.459999999999999,1.692,1.692,3.384,4.2299999999999995,4.2299999999999995,2.1149999999999998,4.2299999999999995,1.692,0.846,0.846,0.846,0.423,0.846,0.846
5,HP,80.7,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2021,1.614,1.614,1.614,0.807,0.807,0.807,1.614,1.614,1.614,1.614,0.807,0.807,0.807,0.807,0.807,4.035,12.105,12.105,8.07,1.614,1.614,3.228,4.035,4.035,2.0175,4.035,1.614,0.807,0.807,0.807,0.4035,0.807,0.807
6,HP,82.025,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2022,1.6405,1.6405,1.6405,0.82025,0.82025,0.82025,1.6405,1.6405,1.6405,1.6405,0.82025,0.82025,0.82025,0.82025,0.82025,4.10125,12.30375,12.30375,8.2025,1.6405,1.6405,3.281,4.10125,4.10125,2.050625,4.10125,1.6405,0.82025,0.82025,0.82025,0.410125,0.82025,0.82025
7,HP,84.2,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2023,1.6840000000000002,1.6840000000000002,1.6840000000000002,0.8420000000000001,0.8420000000000001,0.8420000000000001,1.6840000000000002,1.6840000000000002,1.6840000000000002,1.6840000000000002,0.8420000000000001,0.8420000000000001,0.8420000000000001,0.8420000000000001,0.8420000000000001,4.21,12.63,12.63,8.42,1.6840000000000002,1.6840000000000002,3.3680000000000003,4.21,4.21,2.105,4.21,1.6840000000000002,0.8420000000000001,0.8420000000000001,0.8420000000000001,0.42100000000000004,0.8420000000000001,0.8420000000000001
8,Pegatron,60.9,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2020,1.218,1.218,1.218,0.609,0.609,0.609,1.218,1.218,1.218,1.218,0.609,0.609,0.609,0.609,0.609,3.045,9.135,9.135,6.09,1.218,1.218,2.436,3.045,3.045,1.5225,3.045,1.218,0.609,0.609,0.609,0.3045,0.609,0.609
9,Pegatron,58.116667,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2021,1.16233334,1.16233334,1.16233334,0.58116667,0.58116667,0.58116667,1.16233334,1.16233334,1.16233334,1.16233334,0.58116667,0.58116667,0.58116667,0.58116667,0.58116667,2.90583335,8.71750005,8.71750005,5.8116667,1.16233334,1.16233334,2.32466668,2.90583335,2.90583335,1.452916675,2.90583335,1.16233334,0.58116667,0.58116667,0.58116667,0.290583335,0.58116667,0.58116667
10,Pegatron,60.2,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2022,1.2040000000000002,1.2040000000000002,1.2040000000000002,0.6020000000000001,0.6020000000000001,0.6020000000000001,1.2040000000000002,1.2040000000000002,1.2040000000000002,1.2040000000000002,0.6020000000000001,0.6020000000000001,0.6020000000000001,0.6020000000000001,0.6020000000000001,3.0100000000000002,9.03,9.03,6.0200000000000005,1.2040000000000002,1.2040000000000002,2.4080000000000004,3.0100000000000002,3.0100000000000002,1.5050000000000001,3.0100000000000002,1.2040000000000002,0.6020000000000001,0.6020000000000001,0.6020000000000001,0.30100000000000005,0.6020000000000001,0.6020000000000001
11,Pegatron,63.516667,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2023,1.27033334,1.27033334,1.27033334,0.63516667,0.63516667,0.63516667,1.27033334,1.27033334,1.27033334,1.27033334,0.63516667,0.63516667,0.63516667,0.63516667,0.63516667,3.17583335,9.527500049999999,9.527500049999999,6.3516667,1.27033334,1.27033334,2.54066668,3.17583335,3.17583335,1.587916675,3.17583335,1.27033334,0.63516667,0.63516667,0.63516667,0.317583335,0.63516667,0.63516667
12,BOE,65.375,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2020,1.3075,1.3075,1.3075,0.65375,0.65375,0.65375,1.3075,1.3075,1.3075,1.3075,0.65375,0.65375,0.65375,0.65375,0.65375,3.2687500000000003,9.80625,9.80625,6.5375000000000005,1.3075,1.3075,2.615,3.2687500000000003,3.2687500000000003,1.6343750000000001,3.2687500000000003,1.3075,0.65375,0.65375,0.65375,0.326875,0.65375,0.65375
13,BOE,73.7,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2021,1.474,1.474,1.474,0.737,0.737,0.737,1.474,1.474,1.474,1.474,0.737,0.737,0.737,0.737,0.737,3.6850000000000005,11.055,11.055,7.370000000000001,1.474,1.474,2.948,3.6850000000000005,3.6850000000000005,1.8425000000000002,3.6850000000000005,1.474,0.737,0.737,0.737,0.3685,0.737,0.737
14,BOE,66.9,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2022,1.338,1.338,1.338,0.669,0.669,0.669,1.338,1.338,1.338,1.338,0.669,0.669,0.669,0.669,0.669,3.3450000000000006,10.035,10.035,6.690000000000001,1.338,1.338,2.676,3.3450000000000006,3.3450000000000006,1.6725000000000003,3.3450000000000006,1.338,0.669,0.669,0.669,0.3345,0.669,0.669
15,BOE,60.5,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2023,1.21,1.21,1.21,0.605,0.605,0.605,1.21,1.21,1.21,1.21,0.605,0.605,0.605,0.605,0.605,3.0250000000000004,9.075,9.075,6.050000000000001,1.21,1.21,2.42,3.0250000000000004,3.0250000000000004,1.5125000000000002,3.0250000000000004,1.21,0.605,0.605,0.605,0.3025,0.605,0.605
16,TCL,73.8,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2020,1.476,1.476,1.476,0.738,0.738,0.738,1.476,1.476,1.476,1.476,0.738,0.738,0.738,0.738,0.738,3.69,11.069999999999999,11.069999999999999,7.38,1.476,1.476,2.952,3.69,3.69,1.845,3.69,1.476,0.738,0.738,0.738,0.369,0.738,0.738
17,TCL,73.6,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2021,1.472,1.472,1.472,0.736,0.736,0.736,1.472,1.472,1.472,1.472,0.736,0.736,0.736,0.736,0.736,3.6799999999999997,11.04,11.04,7.359999999999999,1.472,1.472,2.944,3.6799999999999997,3.6799999999999997,1.8399999999999999,3.6799999999999997,1.472,0.736,0.736,0.736,0.368,0.736,0.736
