Company_ID,CompanyName,ESG_score,Country,Sector,Industrygroup,Industry,Language,Year,Scope 1 Carbon Emissions,Scope 2 Carbon Emissions,Scope 3 Carbon Emissions,Energy Consumption,Water Consumption,Waste Generation,Environmental Policy & Management,Turnover Rate,Total Employees,Gender Diversity,Training (Number of Times),Training (Average Hours),Employee Fatalities,Occupational Injury,Communities and Philanthropy,Consumer Privacy Protection,Board Composition,Ethical Behavior,Cyber Security,Alignment with Frameworks,Assurance,Policy Influence,Risk & Crisis Management,Partnerships and Collaborations,Public Sentiment,Market Share,Profitability,WACC,Volatility,Liquidity,Beta Coefficient,GDP Growth,Unemployment
1,Lenovo,86.215,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2021,4.3107500000000005,4.3107500000000005,4.3107500000000005,2.58645,2.58645,2.58645,3.4486000000000003,1.7243000000000002,1.7243000000000002,1.7243000000000002,0.8621500000000001,0.8621500000000001,0.8621500000000001,0.8621500000000001,0.8621500000000001,4.3107500000000005,12.93225,12.93225,4.3107500000000005,0.8621500000000001,0.8621500000000001,1.7243000000000002,0.8621500000000001,1.7243000000000002,4.3107500000000005,2.1553750000000003,0.8621500000000001,0.8621500000000001,0.8621500000000001,0.8621500000000001,0.43107500000000004,0.8621500000000001,0.8621500000000001
2,Lenovo,84.7,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2022,4.235,4.235,4.235,2.541,2.541,2.541,3.3880000000000003,1.6940000000000002,1.6940000000000002,1.6940000000000002,0.8470000000000001,0.8470000000000001,0.8470000000000001,0.8470000000000001,0.8470000000000001,4.235,12.705,12.705,4.235,0.8470000000000001,0.8470000000000001,1.6940000000000002,0.8470000000000001,1.6940000000000002,4.235,2.1175,0.8470000000000001,0.8470000000000001,0.8470000000000001,0.8470000000000001,0.42350000000000004,0.8470000000000001,0.8470000000000001
3,Lenovo,88.34,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2023,4.417000000000001,4.417000000000001,4.417000000000001,2.6502,2.6502,2.6502,3.5336000000000003,1.7668000000000001,1.7668000000000001,1.7668000000000001,0.8834000000000001,0.8834000000000001,0.8834000000000001,0.8834000000000001,0.8834000000000001,4.417000000000001,13.251,13.251,4.417000000000001,0.8834000000000001,0.8834000000000001,1.7668000000000001,0.8834000000000001,1.7668000000000001,4.417000000000001,2.2085000000000004,0.8834000000000001,0.8834000000000001,0.8834000000000001,0.8834000000000001,0.44170000000000004,0.8834000000000001,0.8834000000000001
4,HP,84.6,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2020,4.2299999999999995,4.2299999999999995,4.2299999999999995,2.538,2.538,2.538,3.384,1.692,1.692,1.692,0.846,0.846,0.846,0.846,0.846,4.2299999999999995,12.69,12.69,4.2299999999999995,0.846,0.846,1.692,0.846,1.692,4.2299999999999995,2.1149999999999998,0.846,0.846,0.846,0.846,0.423,0.846,0.846
5,HP,80.7,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2021,4.035,4.035,4.035,2.421,2.421,2.421,3.228,1.614,1.614,1.614,0.807,0.807,0.807,0.807,0.807,4.035,12.105,12.105,4.035,0.807,0.807,1.614,0.807,1.614,4.035,2.0175,0.807,0.807,0.807,0.807,0.4035,0.807,0.807
6,HP,82.025,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2022,4.10125,4.10125,4.10125,2.46075,2.46075,2.46075,3.281,1.6405,1.6405,1.6405,0.82025,0.82025,0.82025,0.82025,0.82025,4.10125,12.30375,12.30375,4.10125,0.82025,0.82025,1.6405,0.82025,1.6405,4.10125,2.050625,0.82025,0.82025,0.82025,0.82025,0.410125,0.82025,0.82025
7,HP,84.2,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2023,4.21,4.21,4.21,2.526,2.526,2.526,3.3680000000000003,1.6840000000000002,1.6840000000000002,1.6840000000000002,0.8420000000000001,0.8420000000000001,0.8420000000000001,0.8420000000000001,0.8420000000000001,4.21,12.63,12.63,4.21,0.8420000000000001,0.8420000000000001,1.6840000000000002,0.8420000000000001,1.6840000000000002,4.21,2.105,0.8420000000000001,0.8420000000000001,0.8420000000000001,0.8420000000000001,0.42100000000000004,0.8420000000000001,0.8420000000000001
8,Pegatron,60.9,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2020,3.045,3.045,3.045,1.827,1.827,1.827,2.436,1.218,1.218,1.218,0.609,0.609,0.609,0.609,0.609,3.045,9.135,9.135,3.045,0.609,0.609,1.218,0.609,1.218,3.045,1.5225,0.609,0.609,0.609,0.609,0.3045,0.609,0.609
9,Pegatron,58.116667,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2021,2.90583335,2.90583335,2.90583335,1.74350001,1.74350001,1.74350001,2.32466668,1.16233334,1.16233334,1.16233334,0.58116667,0.58116667,0.58116667,0.58116667,0.58116667,2.90583335,8.71750005,8.71750005,2.90583335,0.58116667,0.58116667,1.16233334,0.58116667,1.16233334,2.90583335,1.452916675,0.58116667,0.58116667,0.58116667,0.58116667,0.290583335,0.58116667,0.58116667
10,Pegatron,60.2,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2022,3.0100000000000002,3.0100000000000002,3.0100000000000002,1.806,1.806,1.806,2.4080000000000004,1.2040000000000002,1.2040000000000002,1.2040000000000002,0.6020000000000001,0.6020000000000001,0.6020000000000001,0.6020000000000001,0.6020000000000001,3.0100000000000002,9.03,9.03,3.0100000000000002,0.6020000000000001,0.6020000000000001,1.2040000000000002,0.6020000000000001,1.2040000000000002,3.0100000000000002,1.5050000000000001,0.6020000000000001,0.6020000000000001,0.6020000000000001,0.6020000000000001,0.30100000000000005,0.6020000000000001,0.6020000000000001
