Company_ID,CompanyName,ESG_score,Country,Sector,Industrygroup,Industry,Language,Year,Scope 1 Carbon Emissions,Scope 2 Carbon Emissions,Scope 3 Carbon Emissions,Energy Consumption,Water Consumption,Waste Generation,Environmental Policy & Management,Turnover Rate,Total Employees,Gender Diversity,Training (Number of Times),Training (Average Hours),Employee Fatalities,Occupational Injury,Communities and Philanthropy,Consumer Privacy Protection,Board Composition,Ethical Behavior,Cyber Security,Alignment with Frameworks,Assurance,Policy Influence,Risk & Crisis Management,Partnerships and Collaborations,Public Sentiment,Market Share,Profitability,WACC,Volatility,Liquidity,Beta Coefficient,GDP Growth,Unemployment
1,Lenovo,86.215,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2021,3.4486,3.4486,3.4486,1.7243,1.7243,1.7243,3.4486,5.603975,5.603975,2.155375,1.0776875,1.0776875,1.7243,1.7243,0.86215,4.31075,8.6215,8.6215,5.1729,0.86215,0.86215,1.7243,3.4486,1.7243,4.31075,2.155375,0.86215,0.86215,0.86215,0.86215,0.431075,0.86215,0.86215
2,Lenovo,84.7,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2022,3.388,3.388,3.388,1.694,1.694,1.694,3.388,5.5055,5.5055,2.1175,1.05875,1.05875,1.694,1.694,0.847,4.235,8.47,8.47,5.082,0.847,0.847,1.694,3.388,1.694,4.235,2.1175,0.847,0.847,0.847,0.847,0.4235,0.847,0.847
3,Lenovo,88.34,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2023,3.5336,3.5336,3.5336,1.7668,1.7668,1.7668,3.5336,5.7421,5.7421,2.2085,1.10425,1.10425,1.7668,1.7668,0.8834,4.417,8.834,8.834,5.3004,0.8834,0.8834,1.7668,3.5336,1.7668,4.417,2.2085,0.8834,0.8834,0.8834,0.8834,0.4417,0.8834,0.8834
4,HP,84.6,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2020,3.384,3.384,3.384,1.692,1.692,1.692,3.384,5.499,5.499,2.115,1.0575,1.0575,1.692,1.692,0.846,4.23,8.46,8.46,5.076,0.846,0.846,1.692,3.384,1.692,4.23,2.115,0.846,0.846,0.846,0.846,0.423,0.846,0.846
5,HP,80.7,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2021,3.228,3.228,3.228,1.614,1.614,1.614,3.228,5.2455,5.2455,2.0175,1.00875,1.00875,1.614,1.614,0.807,4.035,8.07,8.07,4.842,0.807,0.807,1.614,3.228,1.614,4.035,2.0175,0.807,0.807,0.807,0.807,0.4035,0.807,0.807
6,HP,82.025,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2022,3.281,3.281,3.281,1.6405,1.6405,1.6405,3.281,5.331625,5.331625,2.050625,1.0253125,1.0253125,1.6405,1.6405,0.82025,4.10125,8.2025,8.2025,4.9215,0.82025,0.82025,1.6405,3.281,1.6405,4.10125,2.050625,0.82025,0.82025,0.82025,0.82025,0.410125,0.82025,0.82025
7,HP,84.2,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2023,3.368,3.368,3.368,1.684,1.684,1.684,3.368,5.473,5.473,2.105,1.0525,1.0525,1.684,1.684,0.842,4.21,8.42,8.42,5.052,0.842,0.842,1.684,3.368,1.684,4.21,2.105,0.842,0.842,0.842,0.842,0.421,0.842,0.842
8,Pegatron,60.9,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2020,2.436,2.436,2.436,1.218,1.218,1.218,2.436,3.9585,3.9585,1.5225,0.76125,0.76125,1.218,1.218,0.609,3.045,6.09,6.09,3.654,0.609,0.609,1.218,2.436,1.218,3.045,1.5225,0.609,0.609,0.609,0.609,0.3045,0.609,0.609
9,Pegatron,58.116667,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2021,2.32466668,2.32466668,2.32466668,1.16233334,1.16233334,1.16233334,2.32466668,3.777583355,3.777583355,1.452916675,0.726458338,0.726458338,1.16233334,1.16233334,0.58116667,2.90583335,5.8116667,5.8116667,3.48700002,0.58116667,0.58116667,1.16233334,2.32466668,1.16233334,2.90583335,1.452916675,0.58116667,0.58116667,0.58116667,0.58116667,0.290583335,0.58116667,0.58116667
10,Pegatron,60.2,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2022,2.408,2.408,2.408,1.204,1.204,1.204,2.408,3.913,3.913,1.505,0.7525,0.7525,1.204,1.204,0.602,3.01,6.02,6.02,3.612,0.602,0.602,1.204,2.408,1.204,3.01,1.505,0.602,0.602,0.602,0.602,0.301,0.602,0.602
11,Pegatron,63.516667,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2023,2.54066668,2.54066668,2.54066668,1.27033334,1.27033334,1.27033334,2.54066668,4.128583355,4.128583355,1.587916675,0.793958338,0.793958338,1.27033334,1.27033334,0.63516667,3.17583335,6.3516667,6.3516667,3.81100002,0.63516667,0.63516667,1.27033334,2.54066668,1.27033334,3.17583335,1.587916675,0.63516667,0.63516667,0.63516667,0.63516667,0.317583335,0.63516667,0.63516667
12,BOE,65.375,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2020,2.615,2.615,2.615,1.3075,1.3075,1.3075,2.615,4.249375,4.249375,1.634375,0.8171875,0.8171875,1.3075,1.3075,0.65375,3.26875,6.5375,6.5375,3.9225,0.65375,0.65375,1.3075,2.615,1.3075,3.26875,1.634375,0.65375,0.65375,0.65375,0.65375,0.326875,0.65375,0.65375
13,BOE,73.7,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2021,2.948,2.948,2.948,1.474,1.474,1.474,2.948,4.7905,4.7905,1.8425,0.92125,0.92125,1.474,1.474,0.737,3.685,7.37,7.37,4.422,0.737,0.737,1.474,2.948,1.474,3.685,1.8425,0.737,0.737,0.737,0.737,0.3685,0.737,0.737
14,BOE,66.9,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2022,2.676,2.676,2.676,1.338,1.338,1.338,2.676,4.3485,4.3485,1.6725,0.83625,0.83625,1.338,1.338,0.669,3.345,6.69,6.69,4.014,0.669,0.669,1.338,2.676,1.338,3.345,1.6725,0.669,0.669,0.669,0.669,0.3345,0.669,0.669
15,BOE,60.5,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2023,2.42,2.42,2.42,1.21,1.21,1.21,2.42,3.9325,3.9325,1.5125,0.75625,0.75625,1.21,1.21,0.605,3.025,6.05,6.05,3.63,0.605,0.605,1.21,2.42,1.21,3.025,1.5125,0.605,0.605,0.605,0.605,0.3025,0.605,0.605
16,TCL,73.8,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2020,2.952,2.952,2.952,1.476,1.476,1.476,2.952,4.797,4.797,1.845,0.9225,0.9225,1.476,1.476,0.738,3.69,7.38,7.38,4.428,0.738,0.738,1.476,2.952,1.476,3.69,1.845,0.738,0.738,0.738,0.738,0.369,0.738,0.738
17,TCL,73.6,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2021,2.944,2.944,2.944,1.472,1.472,1.472,2.944,4.784,4.784,1.84,0.92,0.92,1.472,1.472,0.736,3.68,7.36,7.36,4.416,0.736,0.736,1.472,2.944,1.472,3.68,1.84,0.736,0.736,0.736,0.736,0.368,0.736,0.736
18,TCL,68.483333,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2022,2.73933332,2.73933332,2.73933332,1.36966666,1.36966666,1.36966666,2.73933332,4.451416645,4.451416645,1.712083325,0.856041663,0.856041663,1.36966666,1.36966666,0.68483333,3.42416665,6.8483333,6.8483333,4.10899998,0.68483333,0.68483333,1.36966666,2.73933332,1.36966666,3.42416665,1.712083325,0.68483333,0.68483333,0.68483333,0.68483333,0.342416665,0.68483333,0.68483333
19,TCL,79.733333,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2023,3.18933332,3.18933332,3.18933332,1.59466666,1.59466666,1.59466666,3.18933332,5.182666645,5.182666645,1.993333325,0.996666663,0.996666663,1.59466666,1.59466666,0.79733333,3.98666665,7.9733333,7.9733333,4.78399998,0.79733333,0.79733333,1.59466666,3.18933332,1.59466666,3.98666665,1.993333325,0.79733333,0.79733333,0.79733333,0.79733333,0.398666665,0.79733333,0.79733333
20,Microsoft,91,USA,Information Technology,"Electronic Equipment, Instruments & Components",System Software,,2020,3.64,3.64,3.64,1.82,1.82,1.82,3.64,5.915,5.915,2.275,1.1375,1.1375,1.82,1.82,0.91,4.55,9.1,9.1,5.46,0.91,0.91,1.82,3.64,1.82,4.55,2.275,0.91,0.91,0.91,0.91,0.455,0.91,0.91
