Title,Description,URL,Provider,Date Published
<b>AUO</b> and SAS team up to power Taiwan&#39;s solar market surge,"AUO and Sino-American Silicon Products (SAS) have collaborated to launch large-format, double-glass, bifacial solar modules with high-efficiency output, successfully securing the Voluntary Product Certification (VPC) for performance.",https://www.digitimes.com/news/a20241008PD214/auo-sas-solar-taiwan-launch.html,Digi Times,2024-10-09T06:12:00.0000000Z
"<b>AUO</b> eyes US and EU for solar expansion, power plant investment to remain domestic","The drop of Taiwan&#39;s solar field development volume in 2024 has sent ripples into AUO&#39;s expected installation volume of 2025 and 2026. However such outlook did not stop the firm&#39;s energy division to follow in the footstep of its display business ,",https://www.digitimes.com/news/a20241007PD215/taiwan-auo-solar-development-business.html,Digi Times,2024-10-08T02:19:00.0000000Z
Breaking News: Avocor Acquired by <b>AUO</b>,"In an exclusive interview, Avocor CEO Scott Hix discusses the genesis of the acquisition and what it means for its customers.",https://www.avnetwork.com/news/breaking-news-avocor-acquired-by-dollar807-billion-auo,AV Network,2001-01-01T00:00:00.0000000Z
Why Avocor’s acquisition by <b>AUO</b> Corporation is so unusual,"AUO Corporation’s acquisition of Avocor, whose completion was announced today, is very unusual. That’s according to Scott Hix, the Avocor CEO who has taken on a new role as general manager of education and enterprise at AUO’s solutions division, AUO Display Plus (ADP).",https://www.avinteractive.com/news/business/why-avocors-acquisition-by-auo-corporation-is-so-unusual-25-09-2024/,avinteractive.com,2024-09-25T15:32:00.0000000Z
<b>AUO</b> Display Plus Acquires Avocor,AUO Display Plus Avocor acquisition will accelerate Avocor&#39;s growth by integrating AUO&#39;s expertise in display tech and global resources.,https://www.commercialintegrator.com/news/auo-display-plus-acquires-avocor/137165/,Commercial Integrator,2024-09-25T14:06:00.0000000Z
<b>AUO</b> Corp.,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/TW/XTAI/2409,Wall Street Journal,2024-10-07T00:00:00.0000000Z
<b>AUO</b> Corporation (AUOTY),"<b>AUO</b> is at the forefront with its advanced Micro LED display technology, integrating the entire supply chain to establish a globally leading force to bring Micro LED to the market. Showcasing its ...",https://finance.yahoo.com/quote/AUOTY/news/,Yahoo Finance,2024-10-04T00:00:00.0000000Z
<b>AUO</b> Corp. ADR,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/AUOTY,Wall Street Journal,2024-10-07T00:00:00.0000000Z
Portland startup Avocor acquired by global giant,"For Avocor, a Wilsonville-based global company of 57 people, we are now part of one of the largest display companies globally.”",https://www.bizjournals.com/portland/inno/stories/news/2024/09/25/avocor-sold-auo-display-plus.html,The Business Journals,2024-09-25T18:55:00.0000000Z
Commercial property sales jump 176% last quarter,"Commercial property transactions last quarter more than doubled to NT$56.7 billion (US$1.78 billion) from three months earlier, driven by strong demand from local tech firms to expand their capacity, data released by property consultancy Savills Taiwan (第一太平戴維斯) on Tuesday showed.",https://www.taipeitimes.com/News/biz/archives/2024/10/03/2003824696,The Taipei Times,2024-10-03T01:40:00.0000000Z
Schuylerville man arrested for DWI in Halfmoon,"The Saratoga County Sheriff&#39;s Office arrested Aaron R. Carden, 32, of Schuylerville for a DWI early Thursday morning. Carden is accused of operating a motor vehicle while intoxicated, and also operating a motor vehicle with a suspended or revoked license at a time when he was intoxicated,",https://wnyt.com/top-stories/schuylerville-man-arrested-for-dwi-in-halfmoon/,WNYT NewsChannel 13,2024-10-05T21:21:00.0000000Z
Taiwan Excellence Showcases 10 Premiere Taiwanese Brands at Automotive USA 2024,"To attend the Executive Forum, Automotive USA 2024 attendees and media are encouraged to RSVP in advance. The Taiwan Excellence Pavilion will be open to media and show attendees from 8 a.m. to 5 p.m. on October 22 and 23 in Booth No. 23 in the Atrium at Huntington Place in Detroit.",https://finance.yahoo.com/news/taiwan-excellence-showcases-10-premiere-141700660.html,YAHOO!Finance,2024-10-07T14:17:00.0000000Z
NEUPC framework appoints GVAV as top-ranked integrator,"GVAV has previously been awarded top ranking for the Advanced Procurement for Universities and Colleges framework, the NHS Shared Business Services and the North West University Purchasing Consortium and Crescent Purchasing Consortium&#39;s AV solutions and supply framework.",https://www.avinteractive.com/territories-news/uki/neupc-framework-appoints-gvav-as-top-ranked-integrator-03-10-2024/,avinteractive.com,2024-10-03T14:19:00.0000000Z
Taiwan Excellence Pavilion Comes to Automotive USA 2024 at Huntington Place,The Taiwan Excellence Pavilion will introduce 10 leading Taiwanese brands to attendees of Automotive USA 2024 on Oct. 22-23 at Huntington Place in Detroit.,https://www.dbusiness.com/daily-news/taiwan-excellence-pavilion-comes-to-automotive-usa-2024-at-huntington-place/,DBusiness Magazine,2024-10-08T19:29:00.0000000Z
Outbound investments soar 201% in first eight months,"thanks to investments by Formosa Plastics Corp (台塑), Formosa Heavy Industry Corp (台朔重工), Hon Hai Precision Industry Co (鴻海精密), <b>AUO</b> Corp (友達光電) and Asia Cement Corp (亞洲水泥), it said. Foreign direct investment approved by ...",https://www.taipeitimes.com/News/biz/archives/2024/09/18/2003823936,The Taipei Times,2024-09-18T00:00:00.0000000Z
Letter: Include Taiwan in the UN system,"Taiwanese companies like Foxconn and <b>AUO</b> have also made major investments in Michigan. And this June, U.S. Rep. Bill Huizenga proposed a House Resolution urging the International Olympic Committee ...",https://www.detroitnews.com/story/opinion/letters/2024/09/10/letter-include-taiwan-in-the-un-system/75160794007/,Detroit News,2024-09-11T00:10:00.0000000Z
Pro AV Newsmakers: HP Acquires of Vyopta and More Partnerships to Know,"K-array, Bose Professional, and more make Pro AV headlines.",https://www.avnetwork.com/news/pro-av-newsmakers-Oct,AV Network,2024-10-07T10:38:00.0000000Z
Give Your Rising Stars the Tools to Lead,"As a trade association whose primary mission is to help integration companies be successful, NSCA must call out the industry on something. Generally speaking, the companies in our industry don’t do a spectacular job of identifying and implementing ...",https://www.commercialintegrator.com/insights/give-your-rising-stars-the-tools-to-lead/137328/,Commercial Integrator,2024-10-01T00:00:00.0000000Z
China’s foldable phones herald conquest of OLED screen market,"Part of the driving force behind the rapid rise of the Chinese OLED display industry is Beijing’s push to localize tech supply chains. Huawei uses OLEDs in the majority of its devices, including the Mate XT, which sources say contains screens mainly from BOE.",https://kr-asia.com/chinas-foldable-phones-herald-conquest-of-oled-screen-market,kr-asia,2024-10-08T00:30:00.0000000Z
MicroLED has momentum despite Apple withdrawal,"With the closure of Osram’s microLED fab and Apple’s exit, the industry faces a familiar dilemma: mass production will require significant investment to drive prices down and make the technology viable. However, Apple is unlikely to reenter the microLED space unless third-party solutions meet its high standards.",https://compoundsemiconductor.net/article/120283/MicroLED_has_momentum_despite_Apple_withdrawal,Compoundsemiconductor.net,2024-10-08T09:57:00.0000000Z
SEQ’s top 16 foodie hotspots worth queuing for revealed,"In fact, the venue has so far out done the hopes that owner Vince Mōefa’<b>auo</b> had for it - there are now plans in place to permanently move into the larger Mr Duncan’s space next door ...",https://www.couriermail.com.au/lifestyle/seqs-top-16-foodie-hotspots-worth-queuing-for-revealed/news-story/525966e2bb809c30fde15a552950f5de,The Courier-Mail,2024-09-10T06:52:00.0000000Z
