Title,Description,URL,Provider,Date Published
<b>Baidu</b>&#39;s robotaxi unit is exploring expansion into global markets in the &#39;near future&#39;,"Chinese tech company Baidu&#39;s robotaxi unit Apollo Go is in talks to expand overseas in the near future, according to a source familiar with the situation.",https://www.msn.com/en-us/money/companies/baidu-s-robotaxi-unit-is-exploring-expansion-into-global-markets-in-the-near-future/ar-AA1rVCmx,MSN,2024-10-09T03:32:00.0000000Z
"<b>Baidu, Inc</b>.","<b>Baidu</b> is the largest Internet search engine in China. The company&#39;s strength lies in its domestic market share, controlling 70% of Chinese online searches. The company is one of China&#39;s three ...",https://asia.nikkei.com/Companies/Baidu-Inc,Nikkei Asia,2015-11-25T10:13:00.0000000Z
<b>Baidu</b> launches Sora-like text-to-video feature on Xiling platform,Baidu says the latest update will allow Xiling users to generate 3D digital humans and video content in minutes using simple text commands.,https://kr-asia.com/baidu-launches-sora-like-text-to-video-feature-on-xiling-platform,kr-asia,2024-09-27T08:30:00.0000000Z
<b>Baidu</b>: Latest News and Updates | South China Morning Post,"Chinese stocks are on a tear, and prominent figures including billionaire investor David Tepper and Goldman Sachs’ Scott Rubner are all in.",https://www.scmp.com/topics/baidu,scmp.com,2024-09-26T10:18:00.0000000Z
BIDU-SW Announces Mgmt Rotation w/ Rong Luo Becoming Executive VP in Charge of <b>Baidu</b> Mobile Ecosystem Group,"BIDU-SW (09888.HK) announced certain management rotation. Rong Luo will be serving as Executive Vice President in charge of the Baidu Mobile Ecosystem Group (MEG), and no longer serve as Chief Financial Officer,",http://www.aastocks.com/en/mobile/news.aspx?newsid=NOW.1386771&newssource=AAFN,阿思達克財經網,2024-10-08T07:50:00.0000000Z
"Why PDD Holdings, <b>Baidu</b>, and Yum China Stocks Keep Going Up","The rally in Chinese stocks entered its second week Wednesday morning, with shares of Temu owner PDD Holdings ( PDD 3.75%) rising 6% through 10:10 a.m. ET. This was followed by internet search giant Baidu ( BIDU 2.37%), which gained 3.9%, and Pizza Hut and KFC operator Yum China Holdings ( YUMC 4.08%) bringing up the rear with a gain of 3.6%.",https://www.fool.com/investing/2024/10/02/why-pdd-baidu-and-yum-china-stocks-keep-going-up/,The Motley Fool,2024-10-02T15:25:00.0000000Z
<b>Baidu</b> AI Cloud Presents AIHC Platform Fully Upgraded to Ver. 4.0,BIDU-SW (09888.HK)(BIDU.US)&#39;s Baidu AI Cloud announced at the &quot;2024 Baidu Cloud Intelligence Conference&quot; that it will comprehensively upgrade the AI Heterogeneous Compute (AIHC) platform to Version 4.,http://www.aastocks.com/en/mobile/news.aspx?newsid=NOW.1383678&newssource=AAFN,阿思達克財經網,2024-09-25T00:50:00.0000000Z
<b>Baidu Inc ADR BIDU</b>,We sell different types of products and services to both investment professionals and individual investors. These products and services are usually sold through license agreements or subscriptions ...,https://www.morningstar.com/stocks/xnas/bidu/valuation,Morningstar,2024-10-04T00:00:00.0000000Z
"<b>Baidu, Inc. ADS (BIDU</b>) Earnings",Nasdaq provides visual representation of analyst expected earnings growth. Read our earnings report guide before you consider the forecast information when making investment decisions. Visit the ...,https://www.nasdaq.com/market-activity/stocks/bidu/earnings,Nasdaq,2012-08-23T20:30:00.0000000Z
"<b>Baidu, Inc. ADS (BIDU</b>) Dividend History",The Dividend History page provides a single page to review all of the aggregated Dividend payment information. Visit our Dividend Calendar: Please note that the dividend history for Nasdaq stocks ...,https://www.nasdaq.com/market-activity/stocks/bidu/dividend-history,Nasdaq,2024-07-21T00:00:00.0000000Z
"<b>Baidu</b> to add 3,000 new jobs for fresh graduates, mostly AI-related positions","China’s search engine giant <b>Baidu</b> is looking for more than 3,000 fresh graduates to join sectors ranging from LLM algorithm development and engineering to product operations, in a sign that ERNIE Bot creator’s is continuing to bet on artificial ...",https://technode.com/2024/09/23/baidu-to-add-3000-new-jobs-for-fresh-graduates-mostly-ai-related-positions/,TechNode,2024-09-23T00:01:00.0000000Z
<b>Baidu</b> Inc Sponsored ADR Class A,"<b>Baidu</b>, Inc. engages in the provision of internet search and online marketing solutions. The firm’s products and services include <b>Baidu</b> App, <b>Baidu</b> Search, <b>Baidu</b> Feed, Haokan, Quanmin, <b>Baidu</b> Post ...",https://edition.cnn.com/markets/stocks/BIDU,CNN,2023-08-15T15:18:00.0000000Z
