Title,Description,URL,Provider,Date Published
<b>Broadcom</b> Debuts New 50G PON Chips: What To Know,"Broadcom Inc. (NASDAQ:AVGO) announced on Monday the general availability of the BCM68660 and BCM55050 silicon 50G PON Optical Line Terminal-Optical Network Unit (OLT-ONU) devices. What To Know: Broadcom describes its BCM68660 and BCM55050 as 50G PON Optical Line Terminal-Optical Network Unit (OLT-ONU) devices with an embedded neural processing unit (NPU),",https://www.msn.com/en-us/money/other/broadcom-debuts-new-50g-pon-chips-what-to-know/ar-AA1rUrcG,MSN,2024-10-08T17:53:00.0000000Z
<b>Broadcom</b> Delivers On AI Infrastructure Vision with Industry-Leading Solutions at 2024 OCP Global Summit,"Open Ecosystem, Scalability, and Power Efficiency are Key to Equipping Partners with State-of-the-Art AI TechnologyPALO ALTO, Calif., Oct. 08, 2024 (GLOBE NEWSWIRE) --  (NASDAQ: AVGO) today announced that momentum continues to build in support of its vision of enabling AI infrastructure through a combination of open standards,",https://sg.finance.yahoo.com/news/broadcom-delivers-ai-infrastructure-vision-130000686.html,Yahoo Finance,2024-10-08T15:35:00.0000000Z
"Despite All The Love And Respect For <b>Broadcom</b>, I Put It On Hold","Broadcom&#39;s ability to capitalize on the AI revolution is often neglected as the Company doesn&#39;t focus on GPUs as, for example, NVIDIA does. Explore more details here.",https://seekingalpha.com/article/4725392-despite-all-the-love-and-respect-for-broadcom-i-put-it-on-hold,Seeking Alpha,2024-10-07T12:28:00.0000000Z
<b>Broadcom</b> debuts new 50G PON chips for internet provider networks,"The BCM55050, Broadcom’s other new chip, features a simple design. It combines a dual-core CPU with a number of specialized compute modules, most notably a 50G network processor optimized to manage data traffic. Internet providers can deploy it together with the BCM68660 in their networks.",https://siliconangle.com/2024/10/07/broadcom-debuts-new-50g-pon-chips-internet-provider-networks/,SiliconANGLE,2024-10-07T21:16:00.0000000Z
Better AI Chipmaker Stock: <b>Broadcom</b> vs. Qualcomm,"Founded in 1993, The Motley Fool is a financial services company dedicated to making the world smarter, happier, and richer. The Motley Fool reaches millions of people every month through our premium investing solutions, free guidance and market analysis on Fool.com, top-rated podcasts, and non-profit The Motley Fool Foundation.",https://www.fool.com/investing/2024/10/02/better-ai-chipmaker-stock-broadcom-vs-qualcomm/,The Motley Fool,2024-10-02T22:00:00.0000000Z
"Nvidia, AMD Lead The Pack, <b>Broadcom</b> Stable, Intel Falters: Analyst&#39;s Latest Take","KeyBanc analyst John Vinh shared mixed quarterly supply chain findings for the semiconductor sector. The analyst revised several company estimates and price targets. Though most end markets were weak in analog,",https://finance.yahoo.com/news/nvidia-amd-lead-pack-broadcom-171340473.html,YAHOO!Finance,2024-10-08T17:27:00.0000000Z
<b>Broadcom</b> Unveils Industry-First 50G PON OLT-ONU Devices with AI-Enabled Edge Processing,"Broadcom announced the general availability of the BCM68660 and BCM55050, the industry’s first merchant silicon 50G PON Optical Line Terminal-Optical Network Unit (OLT-ONU) devices with an embedded neural processing unit (NPU).",https://www.thefastmode.com/technology-solutions/37588-broadcom-unveils-industry-first-50g-pon-olt-onu-devices-with-ai-enabled-edge-processing,Deep,2024-10-08T02:27:00.0000000Z
<b>Broadcom</b> to develop high-speed cable internet chips with Charter and Comcast,"Broadcom, Charter and Commvault plan to use the upcoming version of DOCSIS to develop several new chips. Some of the chips will be geared towards powering modems. Others will be optimized for use in related network equipment such as signal amplifiers, devices that help improve the reliability of internet connections.",https://siliconangle.com/2024/09/25/broadcom-develop-high-speed-cable-internet-chips-charter-comcast/,SiliconANGLE,2024-09-25T22:01:00.0000000Z
"<b>Broadcom</b> Also Eyed Intel, Harris-Trump Debate, More","Bloomberg News Now is a comprehensive audio report on today&#39;s top stories. Listen for the latest news, whenever you want it, covering global business stories around the world.",https://www.bloomberg.com/news/audio/2024-09-21/broadcom-also-eyed-intel-harris-trump-debate-more,Bloomberg L.P.,2024-09-21T17:59:00.0000000Z
<b>Broadcom</b> promised to reform VMware so it enables better hybrid clouds. Will it deliver?,IBM cited changes <b>Broadcom</b> brought to the virtualization giant as a reason for abandoning the VMware on x86 arrangement that has been the de facto datacenter standard since the mid-2000s. Since <b>Broadcom</b> finalized its acquisition of VMware in November 2023 ...,https://www.theregister.com/2024/08/26/vmware_explore_preview/,theregister,2024-08-26T06:03:00.0000000Z
