Title,Description,URL,Provider,Date Published
<b>Canon</b> PowerShot V10 Vlog Camera Earns Recognition at the International Design Excellence Awards,"The camera won a Silver IDEA award from the Industrial Designers Society of America PowerShot V10 Vlog camera The PowerShot V10 Vlog camera earned a Silver Award at the International Design Excellence Awards (IDEA) 2024,",https://sg.finance.yahoo.com/news/canon-powershot-v10-vlog-camera-132000247.html,Yahoo Finance,2024-09-25T13:20:00.0000000Z
<b>Canon</b> Cameras,"<b>Canon</b> Inc. is a Japanese multinational corporation specializing in the manufacture of imaging and optical products, including cameras, camcorders, photocopiers, steppers, computer printers and medical equipment. It&#39;s headquartered in Ota, Tokyo ...",https://www.gadgets360.com/cameras/canon-cameras,gadgets360,2024-10-05T00:00:00.0000000Z
<b>Canon</b>&#39;s Clean Earth Crew Supports Restoration Effort at Bethpage State Park,Canon&#39;s Clean Earth Crew Supports Restoration Effort at Bethpage State Park,https://www.manilatimes.net/2024/10/02/tmt-newswire/globenewswire/canons-clean-earth-crew-supports-restoration-effort-at-bethpage-state-park/1978173,manilatimes,2024-10-02T13:50:00.0000000Z
<b>Canon</b> Promo Codes for October 2024,Does <b>Canon</b> offer free shipping? <b>Canon</b> only provides free shipping on select products. You can check which products qualify on their website. Shipping charges start at $5.99 on orders up to $39.99 ...,https://www.techradar.com/coupons/canon,TechRadar,2024-10-05T16:33:00.0000000Z
<b>Canon</b> Promo Codes • October 2024,"More information Imaging power on the go with free <b>Canon</b> Apps Experience the power of imaging on the go with free <b>Canon</b> apps. Enhance your camera, streamline printing, and simplify scanning with ...",https://time.com/coupons/canon,Time,2024-05-30T21:51:00.0000000Z
<b>Canon</b> Promo Codes,"90 years ago, <b>Canon</b> made the Kwanon, a prototype for Japan&#39;s first-ever 35 mm camera with a focal-plane-based shutter. In the near-century since, <b>Canon</b> has cemented itself as a premier camera ...",https://www.wired.com/coupons/canon,Wired,2024-09-20T00:00:00.0000000Z
<b>Canon</b> Promo Code &amp; Coupons,Are there any new <b>Canon</b> promo codes for October 2024? Yes! Choose among 12 <b>Canon</b> coupons and promo codes to save up to $650 on your online order. Our <b>Canon</b> coupons and free shipping codes apply to ...,https://www.latimes.com/coupon-codes/canon,Los Angeles Times,2023-01-08T02:49:00.0000000Z
<b>Canon</b> Cameras,"<b>Canon</b> cameras help you to record life&#39;s special moments. Rapid shutter speed and image stabilisation make it easy to capture spontaneous shots, while vibrant colour capture creates photos you’ll be proud to frame. Take spectacular panoramas of your next ...",https://www.johnlewis.com/browse/electricals/cameras-camcorders/cameras/canon/_/N-ak0Z1z141kj,John Lewis,2022-05-10T23:53:00.0000000Z
"Lens Reviews, Camera Reviews, Photography News, Forum, Photo Gallery",Here are 4 reasons for using a telephoto lens for wildlife and a few tips on how &amp; what to capture.,https://www.ephotozine.com/,ePHOTOzine,2024-10-07T10:10:00.0000000Z
<b>Canon</b> Deals &amp; Coupons,"Get up to 55% off when you shop the <b>Canon</b> Direct Store and save on cameras, printer ink, toner and anything else you need for professional-quality photos.",https://www.techbargains.com/stores/canon,TechBargains,2023-11-24T10:38:00.0000000Z
<b>Canon</b> City adopts ordinance prohibiting ‘Jake Brakes’,"A live TV news station covering breaking news and traffic for Colorado Springs, Pueblo, and Southern Colorado with a strong investigative team",https://krdo.com/news/2024/10/03/canon-city-adopts-ordinance-prohibiting-jake-brakes/,KRDO,2024-10-03T21:53:00.0000000Z
Metabones <b>Canon</b> EF to Sony E CINE eND Smart Adapter First Look,"At IBC 2024 in Amsterdam, Metabones was showing its new <b>Canon</b> EF to Sony E CINE eND Smart Adapter. The Metabones <b>Canon</b> EF to Sony E CINE eND Smart Adapter controls the exposure with an electronically controlled neutral density (ND) filter. The Metabones EF ...",https://www.newsshooter.com/2024/09/13/metabones-canon-ef-to-sony-e-cine-end-smart-adapter-first-look/,News Shooter,2024-09-13T00:00:00.0000000Z
"Cañon City, CO Weather Conditions",Thank you for reporting this station. We will review the data in question. You are about to report this weather station for bad data. Please select the information that is incorrect.,https://www.wunderground.com/weather/us/co/canon-city/81212,Weather Underground,2024-09-28T22:41:00.0000000Z
"<b>Best beginner cameras</b> 2024: Models from <b>Canon</b>, Sony, Nikon and more","Below, you&#39;ll find models from leading brands such as Sony, <b>Canon</b> and Nikon. We&#39;ve considered ease of use, features and of course price points, so there should be an option for every taste and ...",https://www.space.com/best-beginner-cameras,Space.com,2024-09-23T12:12:00.0000000Z
Best cameras for photos and videos 2024: From beginner to pro models,"This guide to the very best cameras on the market includes both mirrorless and DSLR models from leading brands including Nikon, Sony and <b>Canon</b>. Each camera has been extensively tested by our ...",https://www.space.com/best-cameras,Space.com,2024-09-25T14:15:00.0000000Z
"Best camera deals: Save on DSLR, action cameras, point-and-shoot",KODAK PIXPRO AZ405-BK (body only) — Nikon D7500 (body only) — Nikon D7500 with 18-140mm lens — <b>Canon</b> – EOS 5D Mark IV DSLR Camera (Body Only) — Amazon has officially announced the dates ...,https://www.digitaltrends.com/photography/best-camera-deals/,Digital Trends,2024-09-26T00:01:00.0000000Z
Book Review: Brathwaite flexes his writing chops and expands Black literary <b>canon</b> with debut ‘Rage’,"Copyright 2024 The Associated Press. All Rights Reserved. This cover image released by Tiny Reparations shows “Rage: On Being Queer, Black, Brilliant...and ...",https://apnews.com/article/rage-lester-fabian-brathwaite-book-review-68e18bd6ef4302557a032c271d68322f,Associated Press,2024-09-10T13:13:00.0000000Z
<b>Cade Canon Ball</b>,"<b>Cade Canon Ball</b> was born in South Lake Tahoe, CA &amp; loves outdoor sports such as snowboarding, skateboarding, rock-climbing. Cade started in local theater &amp; quickly booked the role of Michael Banks in Disney&#39;s Broadway Production of Mary Poppins. Cade&#39;s ...",https://www.imdb.com/name/nm3322658/,imdb.com,2018-02-03T11:04:00.0000000Z
Cañon City haunted house raising money for youth sports,"A live TV news station covering breaking news and traffic for Colorado Springs, Pueblo, and Southern Colorado with a strong investigative team",https://krdo.com/news/2024/10/08/canon-city-haunted-house-raising-money-for-youth-sports/,KRDO,2024-10-08T22:03:00.0000000Z
"The best Prime Day camera deals are live: save up to $1,000 on Nikon, <b>Canon</b> and Sony","Today&#39;s camera deals ahead of Prime Day include some of our absolute favorites, including the Sony Alpha a7 IV for $2,299 (was $2,499), the Nikon Z8 for $3,496.95 (was $3,999), and the Canon EOS R5 for $2,899 (was $3,399) - exceptional camera bodies at their lowest ever price.",https://www.techradar.com/cameras/mirrorless-cameras/the-best-prime-day-camera-deals-are-live-save-up-to-usd1-000-on-nikon-canon-and-sony,TechRadar,2024-10-08T11:15:00.0000000Z
"Fremont Search and Rescue, Cañon City Noon Lions team up for trivia fundraiser","Fremont County has a variety of staple events that residents look forward to throughout the year, one of which is Fremont Search and Rescue’s annual trivia fundraiser. However, this year,",https://www.msn.com/en-us/news/other/fremont-search-and-rescue-ca%C3%B1on-city-noon-lions-team-up-for-trivia-fundraiser/ar-AA1rUNjk,Daily Record on MSN.com,2024-10-09T03:08:00.0000000Z
<b>Canon</b> and Amazon File a Joint Trademark Infringement Lawsuit in the U.S. Against Counterfeit Toner Cartridge Sellers,"Canon Inc. and Canon U.S.A., Inc. together with Amazon.com, Inc., and Amazon.com Services LLC jointly filed a lawsuit in the United States District Court for the Western District of Washington against 18 selling accounts which sold toner cartridges in the Amazon store in the U.",https://finance.yahoo.com/news/canon-amazon-file-joint-trademark-150300168.html,YAHOO!Finance,2024-10-02T15:09:00.0000000Z
