Title,Description,URL,Provider,Date Published
<b>Capgemini</b> SE: Neutralization of the 2024 ESOP dilutive impact,"Victoire GruxTel.: +33 6 04 52 16 55victoire.grux@capgemini.com Investor relations:Vincent Biraud Tel.: +33 1 47 54 50 87vincent.biraud@capgemini.com Capgemini’s eleventh Employee Share Ownership Plan:share buyback to neutralize dilution Paris,",https://uk.finance.yahoo.com/news/capgemini-se-neutralization-2024-esop-154500453.html,Yahoo Finance,2024-10-08T11:45:00.0000000Z
<b>Capgemini SE ADR</b>,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/CGEMY,Wall Street Journal,2024-09-19T00:00:00.0000000Z
<b>Capgemini Invent</b>,"<b>Capgemini Invent</b> is <b>Capgemini</b> Group’s innovation, design, and transformation powerhouse, accelerating ideas into prototypes and scalable real-world solutions that help our clients get the future they want. Disruption is everywhere, intensifying the need ...",https://www.consultancy.uk/firms/capgemini-invent,Consultancy,2023-03-22T14:38:00.0000000Z
"Hacker claims to have stolen 20GB data hoard from <b>Capgemini</b>, and is threatening to leak it all","A cybercriminal claims to have stolen 20 gigabytes of sensitive data from the French tech and consulting giant, <b>Capgemini</b> - but the company is refusing to comment so far The hacker, alias “grep ...",https://www.techradar.com/pro/security/hacker-claims-to-have-stolen-20gb-data-hoard-from-capgemini-and-is-threatening-to-leak-it-all,TechRadar,2024-09-18T09:06:00.0000000Z
<b>Spring Boot - Capgemini</b>,<b>Spring Boot Capgemini</b> includes a number of Spring Boot Starters that we have found useful whilst building real world Spring Boot applications at <b>Capgemini</b>. Some of the Starters are integrations to technologies not currently provided out-of-the-box by ...,https://github.com/Capgemini/spring-boot-capgemini,GitHub,2015-06-10T16:16:00.0000000Z
<b>Capgemini Automotive</b>,At <b>Capgemini</b> we believe we have a role to play in inventing the future of the mobility industry. We partner with our industry-leading clients to enable the success of their business transformation ...,https://www.linkedin.com/showcase/capgemini-automotive,LinkedIn,2021-12-20T09:58:00.0000000Z
<b>Capgemini Telecommunications</b>,"At <b>Capgemini</b>, we see networks as both the backbone of operations and the digital foundation from which innovation flourishes. It is at this intersection where we meet clients, helping them conquer ...",https://www.linkedin.com/showcase/capgemini-telecommunications,LinkedIn,2020-08-04T17:07:00.0000000Z
Orano’s Back End of the Future Program First Engineering Partnerships Signed,"Orano today signed the first four five-year engineering partnerships as part of its Back End of the Future program. The signing ceremony took place on Tuesday 8 October at the Orano La Hague site in the presence of Corinne Spilios,",https://finance.yahoo.com/news/orano-back-end-future-program-164300868.html,YAHOO!Finance,2024-10-08T16:50:00.0000000Z
How Cloudflare is democratising cybersecurity,"To recall, Cloudflare launched its free tier at the same time the company launched—fourteen years ago, on September 27, 2010.",https://www.cloudcomputing-news.net/news/how-cloudflare-is-democratising-cybersecurity/,Cloud Computing,2024-10-01T10:47:00.0000000Z
Regulation a key driver of sustainability for Australian organisations – <b>Capgemini</b>,"Six out of ten executives are concerned that their organisation’s sustainability efforts might appear insincere to the public, up from only 11% in 2023",https://finance.yahoo.com/news/regulation-key-driver-sustainability-australian-041507699.html,YAHOO!Finance,2024-10-02T04:15:00.0000000Z
Global Government Tech Centre Established in Berlin to Accelerate Digital Transformation,The World Economic Forum and GovTech Campus Deutschland opened the Global Government Technology Centre (GGTC) in Berlin.,https://www.crowdfundinsider.com/2024/10/230766-global-government-tech-centre-established-in-berlin-to-accelerate-digital-transformation/,Crowdfund Insider,2024-10-02T18:58:00.0000000Z
Undeclared pools in France uncovered by AI technology,"The software, developed by Google and French consulting firm <b>Capgemini</b>, spotted the pools on aerial images of nine French regions during a trial in October 2021. The regions of Alpes-Maritimes ...",https://www.bbc.com/news/world-europe-62717599,BBC,2022-08-29T00:00:00.0000000Z
