Title,Description,URL,Provider,Date Published
<b>Cognizant</b> and Aston Martin Aramco Formula One® Team celebrate partnership with a visit to Chennai by two-time world champion Fernando Alonso,Cognizant and Aston Martin Aramco Formula One® Team today celebrated the success of their innovative three-year partnership at a special event held at Cognizant&#39;s MEPZ campus in Chennai. Aston Martin Aramco driver and two-time Formula One® World Champion Fernando Alonso attended the event alongside Cognizant&#39;s leadership team and hundreds of associates.,https://sg.finance.yahoo.com/news/cognizant-aston-martin-aramco-formula-141300895.html,Yahoo Finance,2024-09-23T10:13:00.0000000Z
<b>Cognizant</b> Layoffs,"Global hiring decline in 2023 impacted major IT companies like <b>Cognizant</b> and Capgemini. Indian IT firms also faced headcount reductions. Everest Group attributed layoffs to Covid over-hiring, while Gen AI influenced hiring decisions. Why <b>Cognizant</b>’s Rs 2 ...",https://economictimes.indiatimes.com/news/cognizant-layoffs,Indiatimes,2019-11-08T19:37:00.0000000Z
"H-1B visa: Company supplying thousands of tech workers to Silicon Valley discriminated against non-Indians, jury finds","The H-1B has become a political flashpoint in the U.S. Critics point to abuses including replacement of U.S. workers by visa holders, while the tech industry lobbies to boost the annual cap on new",https://www.msn.com/en-us/news/us/h-1b-visa-company-supplying-thousands-of-tech-workers-to-silicon-valley-discriminated-against-non-indians-jury-finds/ar-AA1rRrjN,Tribune News Service on MSN.com,2024-10-08T06:25:00.0000000Z
<b>Cognizant Technology Solutions Corporation (CTSH</b>),Key Insights The projected fair value for <b>Cognizant</b> Technology Solutions is US$143 based on 2 Stage Free Cash Flow to... <b>Cognizant</b> (NASDAQ:CTSH) today announced it has been named to Fortune&#39;s 2024 ...,https://finance.yahoo.com/quote/CTSH/news/,Yahoo Finance,2024-10-04T00:00:00.0000000Z
<b>Cognizant</b> Technology Solutions Corp Class A,We sell different types of products and services to both investment professionals and individual investors. These products and services are usually sold through license agreements or subscriptions ...,https://www.morningstar.com/stocks/xnas/ctsh/chart,Morningstar,2024-10-04T00:00:00.0000000Z
<b>Cognizant Technology Solutions Corp</b> Class A CTSH,We sell different types of products and services to both investment professionals and individual investors. These products and services are usually sold through license agreements or subscriptions ...,https://www.morningstar.com/stocks/xnas/ctsh/quote,Morningstar,2024-10-04T13:00:00.0000000Z
<b>Cognizant</b> Technology Solutions Corporation Class A,"<b>Cognizant</b> Technology Solutions Corp. engages in providing information technology, consulting, and business process outsourcing services. Its services include application services, artificial ...",https://www.cnn.com/markets/stocks/CTSH,CNN,2023-10-25T12:15:00.0000000Z
<b>Cognizant Technology Solutions Corp</b>.,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/CTSH,Wall Street Journal,2020-08-02T10:58:00.0000000Z
HMRC agency signs £185m deal to tackle legacy tech,The Valuation Office Agency has awarded a contract to IT services firm Cognizant to help support a major transformation programme to modernise systems that are up to three decades old The HMRC arm’s-l,https://www.publictechnology.net/2024/10/08/business-and-industry/hmrc-agency-signs-185m-deal-to-tackle-legacy-tech/,Public Technology,2024-10-08T10:10:00.0000000Z
<b>Cognizant</b> announces plans to establish techfin centre at GIFT City,"Global tech firm Cognizant on Monday announced its plans to establish a &#39;techfin centre&#39; at Gujarat International Finance Tec-City (GIFT City), Gandhinagar. The new facility, set to launch in February 2025,",https://www.theweek.in/wire-updates/business/2024/09/30/dcm76-biz-cognizant-gift-city.html,The Week,2024-09-30T12:28:00.0000000Z
