Title,Description,URL,Provider,Date Published
"<b>Compal Electronics, Inc</b>.","<b>Compal Electronics</b> is a leading Taiwanese computer maker, with assets totaling over $11 billion. It manufactures notebooks, mobile devices and liquid crystal display products. The company supplies ...",https://asia.nikkei.com/Companies/Compal-Electronics-Inc,Nikkei Asia,2017-08-14T12:47:00.0000000Z
<b>Compal Electronics</b>,"<b>Compal Electronics</b> was founded in 1984 and operates in Taipei, Taiwan. The company engages in the sector &#39;Computers &amp; Peripheral Equipment&#39; (ISIC: 2620). The computer and electronic manufacturing ...",https://www.statista.com/companies/o/25105236/compal-electronics,Statista,2023-01-01T21:47:00.0000000Z
<b>Compal Electronics</b> Inc 2324,We sell different types of products and services to both investment professionals and individual investors. These products and services are usually sold through license agreements or subscriptions ...,https://www.morningstar.com/stocks/xtai/2324/sustainability,Morningstar,2024-09-20T00:00:00.0000000Z
World&#39;s first open-source 6G core network developed in Taiwan,"Jyh-Cheng Chen, chair professor at the Department of Computer Science and dean of the College of Computer Science at National Yang Ming Chiao Tung University (NYCU), has led an academic team in developing &quot;free5GC,",https://www.digitimes.com/news/a20240920PD220/6g-taiwan-data-development.html,Digi Times,2024-09-24T04:00:00.0000000Z
<b>Compal Electronics Inc</b>.,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/TW/2324,Wall Street Journal,2024-10-01T00:00:00.0000000Z
<b>Compal Electronics</b> Inc,"<b>Compal Electronics</b> Inc is a Taiwan-based original design manufacturer that produces notebook computers, monitors, and televisions for equipment manufacturers. The firm&#39;s operations are organized in two reportable segment Information technology products and ...",https://www.morningstar.com.au/investments/security/lse/ceir,morningstar.com.au,2024-09-08T23:59:00.0000000Z
<b>Compal Electronics</b> Inc ADR,We sell different types of products and services to both investment professionals and individual investors. These products and services are usually sold through license agreements or subscriptions ...,https://www.morningstar.com/stocks/xlon/ceia/dividends,Morningstar,2024-09-27T00:00:00.0000000Z
"Half Of Apple’s Supply Chained To COVID-Infected China Region; Dell, Lenovo, HP Also Impacted","The impacted companies on Apple’s supplier list include AAC Technologies, Panasonic, Japan Display, Pegatron, Quanta Computers, <b>Compal Electronics</b>, Unimicron, Nan Ya Printed Circuit, Auras ...",https://www.crn.com/news/components-peripherals/half-of-apple-s-supply-chained-to-covid-infected-china-region-dell-lenovo-hp-also-impacted,CRN,2022-04-21T13:47:00.0000000Z
<b>Lenovo Forms Joint Venture With Compal</b>,"Sep 27, 2011 TAIPEI, Taiwan (AP) -- Taiwan&#39;s leading contract PC maker, <b>Compal Electronics</b>, says it will establish a joint venture with China&#39;s top computer firm Lenovo Group to make laptops in China. Compal said Tuesday Lenovo will acquire a 51 percent ...",https://www.manufacturing.net/industry40/news/13080575/lenovo-forms-joint-venture-with-compal,Manufacturing,2011-09-27T00:00:00.0000000Z
China lockdown: What do zero-Covid policies mean for UK prices?,"Several companies that supply components for Apple - Pegatron, Quanta Group and <b>Compal Electronics</b> - have had to close factories in the Shanghai area because of Covid lockdowns. By mid-April ...",https://www.bbc.com/news/explainers-61274640,BBC,2022-05-05T08:31:00.0000000Z
"<b>CLST</b> Catalyst Bancorp, Inc.","Catalyst Bancorp, Inc. operates as a holding company for Catalyst Bank that provides various banking services to individuals and businesses in Louisiana. The company accepts various deposit ...",https://seekingalpha.com/symbol/CLST,Seeking Alpha,2024-10-04T15:46:00.0000000Z
Lite-On Technology Corporation (2301.TW),"2377.TW Micro-Star International Co., Ltd.",https://finance.yahoo.com/quote/2301.TW/key-statistics/,Yahoo Finance,2024-10-01T13:30:00.0000000Z
Acer Incorporated (2353.TW),"2376.TW Giga-Byte Technology Co., Ltd.",https://finance.yahoo.com/quote/2353.TW/key-statistics/,Yahoo Finance,2024-10-04T13:30:00.0000000Z
