Title,Description,URL,Provider,Date Published
<b>Corning</b> Inc,"<b>Corning</b>, Inc. engages in the provision of glass for notebook computers, flat panel desktop monitors, display televisions, and other information display applications, carrier network and enterprise ...",https://www.cnn.com/markets/stocks/GLW,CNN,2024-04-06T16:36:00.0000000Z
"<b>Corning, CA 10-Day Weather Forecast</b>",Thank you for reporting this station. We will review the data in question. You are about to report this weather station for bad data. Please select the information that is incorrect.,https://www.wunderground.com/forecast/us/ca/corning,Weather Underground,2023-01-02T15:44:00.0000000Z
"<b>Best High Schools in the Corning</b>, NY Area","Schools in the <b>Corning</b> metro area use the Regents Examinations to assess students. For personalized and effective admissions consulting,consider CollegeAdvisor.com. Get one-on-one advising on your ...",https://www.usnews.com/education/best-high-schools/new-york/rankings/corning-ny-18500,U.S. News &amp; World Report,2019-06-11T19:10:00.0000000Z
<b>Corning Inc</b>.,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/GLW,Wall Street Journal,2021-10-19T02:09:00.0000000Z
Owens <b>Corning</b>,"Owens <b>Corning</b> engages in the development, manufacture, and marketing of insulation, roofing, and fiberglass composites. It operates through the following segments: Composites, Insulation ...",https://www.cnn.com/markets/stocks/OC,CNN,2024-02-19T02:49:00.0000000Z
<b>Owens Corning</b>,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/OC,Wall Street Journal,2024-10-04T00:00:00.0000000Z
"<b>Corning</b> Community College awarded $200,000 for cybersecurity workforce development","Congressman Nick Langworthy (NY-23) announced on September 30, 2024, that Corning Community College has been awarded $200,000 in federal funding to enhance its cybersecurity education and training programs.",https://www.fingerlakes1.com/2024/10/01/corning-community-college-awarded-200000-for-cybersecurity-workforce-development/,fingerlakes1,2024-10-01T09:17:00.0000000Z
Owens-<b>Corning</b> Inc OC,We sell different types of products and services to both investment professionals and individual investors. These products and services are usually sold through license agreements or subscriptions ...,https://www.morningstar.com/stocks/xnys/oc/valuation,Morningstar,2024-10-02T00:00:00.0000000Z
"<b>Corning, NY Precipitation Forecast</b>",Thank you for reporting this station. We will review the data in question. You are about to report this weather station for bad data. Please select the information that is incorrect.,https://www.wunderground.com/precipitation/us/ny/corning,Weather Underground,2022-01-12T22:32:00.0000000Z
"<b>Owens-Corning (NYSE:OC) Stock</b> Quotes, Forecast and News Summary","Natan Ponieman Owens <b>Corning</b>&#39;s Doors Segment Shines: $311M Contribution Powers 9% Revenue Growth In Q2 Owens <b>Corning</b> Inc. reported a 9% growth in Q2 net sales, but beat consensus. Composites and ...",https://www.benzinga.com/quote/OC,Benzinga.com,2024-10-05T19:47:00.0000000Z
School of champions: <b>Corning</b>&#39;s 33 state-title efforts in track &amp; field and cross country,<b>Corning</b>-Painted Post High School has led the way in state championships among schools in the Elmira-<b>Corning</b> region. The majority of titles for the school district have come from its cross country ...,https://www.stargazette.com/story/sports/high-school/2024/09/25/state-champions-from-corning-in-track-and-field-cross-country/75297471007/,Star-Gazette,2024-09-25T00:00:00.0000000Z
<b>Owens Corning</b> Inc New News,<b>Owens Corning</b> posted stronger-than-expected fourth quarter profits Wednesday and said it sees returning to a &quot;strong conversion of adjusted earnings into free cash flow&quot; over the coming year.,https://www.thestreet.com/quote/OC,TheStreet.com,2024-09-18T04:05:00.0000000Z
Program spotlight: <b>Corning</b> boys cross country team&#39;s success extends to national level,This story is part of a series that will run during the 2024-25 school year profiling the top high school sports programs in the Elmira-<b>Corning</b> region of the Southern Tier over the last 25 years ...,https://www.stargazette.com/story/sports/high-school/2024/09/25/corning-ny-high-school-boys-cross-country-program-tradition-success-titles/74704691007/,Star-Gazette,2024-09-25T00:00:00.0000000Z
<b>Owens Corning Inc Common Stock New</b> (OC) Dividend History,The Dividend History page provides a single page to review all of the aggregated Dividend payment information. Visit our Dividend Calendar: Please note that the dividend history for Nasdaq stocks ...,https://www.nasdaq.com/market-activity/stocks/oc/dividend-history,Nasdaq,2012-12-17T21:24:00.0000000Z
<b>Corning</b> man dies after motorcycle crash in Elmira Heights,"A Corning man has died following a motorcycle crash Friday night in Elmira Heights. Tyler Booth, 28, was involved in a single-vehicle accident on Oakwood Avenue, between West 16th and West 17th streets, around 10 p.m., according to police.",https://www.fingerlakes1.com/2024/10/01/corning-man-dies-after-motorcycle-crash-in-elmira-heights/,fingerlakes1,2024-10-01T09:40:00.0000000Z
Four bowlers hit new heights at Crystal Lanes. Who heated up the scoreboard in <b>Corning</b>.,"The week saw a personal best, a first-ever perfect game, the first 800 of the season, and a junior bowler setting a high standard in Corning.",https://www.the-leader.com/story/sports/2024/10/04/four-bowlers-hit-new-heights-at-crystal-lanes-in-corning-high-scores/75479490007/,The Leader,2024-10-04T08:50:00.0000000Z
