Title,Description,URL,Provider,Date Published
Stealthy Uncrewed Combat Air Vehicle To Work Alongside Future French Rafale Fighters,"France has unveiled plans to develop a new uncrewed combat air vehicle (UCAV) that will complement the forthcoming Rafale F5 crewed fighter, as part of a new-look French Air and Space Force. The industrial side of the drone program will be headed up by Dassault Aviation,",https://www.yahoo.com/news/stealthy-uncrewed-combat-air-vehicle-184645528.html,Yahoo,2024-10-08T21:01:00.0000000Z
"IAF At 92: Embodying &quot;Saksham, Sashakt, Atmanirbhar&quot; In Service To The Nation","On October 8, Prime Minister Narendra Modi extended Air Force Day greetings to the Indian Air Force and its pilots, praising their courage, professionalism, and dedication to safeguarding the nation.",https://www.oneindia.com/india/iaf-at-92-embodying-saksham-sashakt-atmanirbhar-in-service-to-the-nation-3955985.html,Oneindia,2024-10-09T04:16:00.0000000Z
<b>Dassault Systemes SE ADR</b>,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/DASTY,Wall Street Journal,2024-10-03T00:00:00.0000000Z
"<b>Dassault</b> Aviation sets up MRO hub in India to support Indian Air Force&#39;s Mirage-2000, Rafale fleet","The new entity, Dassault Aviation MRO India, aims to ensure the Mirage-2000 aircraft and 36 Rafale fighter aircraft of IAF are highly efficient and responsive",https://www.theweek.in/news/defence/2024/09/26/dassault-aviation-sets-up-mro-hub-in-india-to-support-indian-air-forces-mirage-2000-rafale-fleet.html,The Week,2024-09-26T10:28:00.0000000Z
Venezuela accuses US of ‘piracy’ after President’s <b>Dassault</b> Falcon 900EX seized,"The United States (US) has seized the Venezuelan President’s <b>Dassault</b> Falcon 900EX in the Dominican Republic and transferred the jet to Florida. In a statement on September 2, 2024, the Justice Department said that the seizure was initiated after the ...",https://www.aerotime.aero/articles/venezuela-dassalt-falcon-seized-united-states-president-maduro,AeroTime,2024-09-03T13:16:00.0000000Z
Tidco seeks agency to elevate Tancam&#39;s advanced manufacturing operations,"CHENNAI: In a bid to enhance the state’s position as a hub for advanced manufacturing, Tamil Nadu Industrial Development Corporation (Tidco) is seeking operatio",https://www.msn.com/en-in/news/India/tidco-seeks-agency-to-elevate-tancams-advanced-manufacturing-operations/ar-AA1rRxcz,The New Indian Express on MSN.com,2024-10-08T02:44:28.0000000Z
Smart City Expo 2024 keynotes will delve into the ethical development of cities,"Smart City Expo 2024 keynotes will delve into the ethical development of cities GlobeNewswire September 26, 2024 BARCELONA, Spain, Sept. 26, 2024 (GLOBE NEWSWIRE) -- Smart City Expo World Congress (SCEWC),",https://www.asiaone.com/business/smart-city-expo-2024-keynotes-will-delve-ethical-development-cities,Asia One,2024-09-26T15:34:00.0000000Z
France equips Ukraine with cutting-edge Mirage 2000 jets,"In the first quarter of 2025, Ukraine will receive, alongside more F-16 aircraft, the competitive Mirage 2000. French Defence Minister Sébastien Lecornu confirmed that they will be equipped with new air-to-air and air-to-ground weapons.",https://www.msn.com/en-ca/news/world/france-equips-ukraine-with-cutting-edge-mirage-2000-jets/ar-AA1rUHV2,Daily Wrap on MSN.com,2024-10-08T20:51:40.0000000Z
<b>Dassault</b> Systemes SA ADR (<b>DASTY</b>),*Data is provided by Barchart.com. Data reflects weightings calculated at the beginning of each month. Data is subject to change. **Green highlights the top performing ETF by % change in the past ...,https://www.nasdaq.com/market-activity/stocks/dasty,Nasdaq,2020-08-18T14:50:00.0000000Z
<b>Dassault Systemes SE</b>,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/FR/XPAR/DSY,Wall Street Journal,2021-12-01T22:29:00.0000000Z
