Title,Description,URL,Provider,Date Published
Schiphol Airport Activates <b>Ericsson</b> Private 5G Network,"Ericsson has partnered with Schiphol Airport, the world’s third busiest airport by international passenger numbers, to investigate the use cases of a cutting",https://www.thefastmode.com/technology-solutions/37617-schiphol-airport-activates-ericsson-private-5g-network,Deep,2024-10-09T02:50:00.0000000Z
Vi inches closer to 5G launch with new telecom gear contract with <b>Ericsson</b>,"As part of the contract, Ericsson will roll out energy-efficient and lightweight Ericsson Radio System products for Vi&#39;s network.",https://www.msn.com/en-in/news/other/vi-inches-closer-to-5g-launch-with-new-telecom-gear-contract-with-ericsson/ar-AA1rOWkw,RepublicWorld on MSN.com,2024-10-07T10:10:00.0000000Z
Vi-<b>Ericsson</b> tie up to source gears,Vodafone Idea (Vi) has partnered with Ericsson to source telecom equipment for the development of its 4G and 5G networks. The Sweden-based telecom ge,https://www.msn.com/en-in/money/news/vi-ericsson-tie-up-to-source-gears/ar-AA1rROtd,The New Indian Express on MSN.com,2024-10-08T05:52:00.0000000Z
Vodafone Idea inks network deal worth ₹14K cr with <b>Ericsson</b>,"Vodafone Idea (Vi) signs a ₹14,000 crore deal with Ericsson to procure 4G and 5G equipment over three years. Ericsson will supply base stations for key regions and enhance Vi&#39;s 4G and 5G services, helping the telco improve network performance and competitiveness against major rivals.",https://economictimes.indiatimes.com/industry/telecom/telecom-news/vodafone-idea-inks-network-deal-worth-14k-cr-with-ericsson/articleshow/114022727.cms,Indiatimes,2024-10-07T18:50:00.0000000Z
"<b>Ericsson</b> secures large 4G, 5G deal with Vodafone Idea","News: Ericsson will deliver 4G and 5G services in the telecom circles of Delhi, Kerala, Chhattisgarh and Rajasthan, hence growing its footprint.",https://www.voicendata.com/news/ericsson-secures-large-4g-5g-deal-with-vodafone-idea-7290466,Voicendata.com,2024-10-07T18:17:00.0000000Z
Malaysia conducts its first 5G live broadcast by RTM in collaboration with DNB and <b>Ericsson</b>,"Malaysia has successfully conducted its first 5G-powered live broadcast during National Day, collaborating with Radio Televisyen Malaysia (RTM), Digital Nasional Bhd (DNB), and technology partner Ericsson.",https://www.thestar.com.my/business/business-news/2024/10/01/malaysia-conducts-its-first-5g-live-broadcast-by-rtm-in-collaboration-with-dnb-and-ericsson,The Star,2024-10-01T07:39:00.0000000Z
<b>Ericsson</b> and SoftBank Partner to Drive AI Integration in RAN for Next-Gen Network Efficiency,Ericsson and SoftBank Corp. have partnered to explore the integration of Artificial Intelligence (AI) into Radio Access Network (RAN) infrastruct,https://news.europawire.eu/ericsson-and-softbank-partner-to-drive-ai-integration-in-ran-for-next-gen-network-efficiency/eu-press-release/2024/10/07/17/06/03/141722/,EuropaWire,2024-10-07T15:07:00.0000000Z
<b>Ericsson</b> expands Concordia partnership with 10-year agreement,"<b>Ericsson</b> and Concordia University announced an expanded partnership with a 10-year agreement focused on research and education in information and communications technology. Through the partnership, <b>Ericsson</b> and Concordia will develop educational programs ...",https://mobilesyrup.com/2024/09/24/ericsson-concordia-partnership-10-year-agreement/,MobileSyrup,2024-09-24T15:34:00.0000000Z
<b>Ericsson</b> celebrates 50 years in Athlone,"Communications technology giant <b>Ericsson</b> today (Wednesday) celebrated the 50-year anniversary of its research and development (R&amp;D) centre in Athlone. In addition to marking the anniversary, <b>Ericsson</b> announced a new partnership with Enterprise Ireland and ...",https://www.westmeathindependent.ie/2024/09/11/ericsson-celebrates-50-years-in-athlone/,Westmeath Independent,2024-09-11T15:45:00.0000000Z
<b>Ericsson American Depositary Shares (ERIC</b>) Dividend History,The Dividend History page provides a single page to review all of the aggregated Dividend payment information. Visit our Dividend Calendar: Please note that the dividend history for Nasdaq stocks ...,https://www.nasdaq.com/market-activity/stocks/eric/dividend-history,Nasdaq,2018-02-01T05:19:00.0000000Z
