Title,Description,URL,Provider,Date Published
"Tamil Nadu govt approves <b>Foxconn</b>’s iPhone display factory, tech giant to invest Rs 13,180 crore","Foxconn’s new smartphone display module assembly at Tamil Nadu, will solidify the state as a as a key player in Apple’s supply chain. The plant is set to supply other contract manufacturers like Pegatron and Tata Electronics,",https://www.firstpost.com/tech/tamil-nadu-govt-approves-foxconns-iphone-display-factory-tech-giant-to-invest-rs-13180-crore-13823577.html,Firstpost,2024-10-09T07:35:00.0000000Z
"<b>Foxconn</b> building Nvidia superchip facility in Mexico, execs say","Foxconn is building in Mexico the world&#39;s largest manufacturing facility for bundling Nvidia&#39;s GB200 superchips, a key component of the U.S. firm&#39;s next-generation Blackwell family computing platform,",https://www.msn.com/en-gb/money/technology/foxconn-building-nvidia-superchip-facility-in-mexico-execs-say/ar-AA1rTEBW,Reuters on MSN.com,2024-10-08T14:12:26.0000000Z
<b>Foxconn</b> Posts Record Q3 Revenue on Surging AI Server Demand,"“The result exceeded the company’s original expectations of significant growth,” Foxconn said in a statement on Saturday on its revenue.",https://www.industryleadersmagazine.com/foxconn-posts-record-q3-revenue-on-surging-ai-server-demand/,Leadership,2024-10-08T13:38:00.0000000Z
<b>Foxconn Technology Co. Ltd</b>.,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/TW/XTAI/2354,Wall Street Journal,2023-10-31T01:25:00.0000000Z
<b>Foxconn</b> beats estimates with record third-quarter revenue on AI demand,"&quot;The result exceeded the company&#39;s original expectations of significant growth,&quot; <b>Foxconn</b> said in a statement on Saturday. It was also ahead of a T$1.79 trillion LSEG SmartEstimate, which gives ...",https://www.reuters.com/technology/foxconn-third-quarter-revenue-jumps-20-yryr-2024-10-05/,Reuters,2024-10-05T08:19:00.0000000Z
"<b>Foxconn Ransomware Attack Reportedly Damages Servers, Backups</b>","The ransomware attack was carried out by DoppelPaymer, who’s demanding $34.7 million in Bitcoin and leaked generic <b>Foxconn</b> business documents and reports Monday, according to BleepingComputer.",https://www.crn.com/news/security/foxconn-ransomware-attack-reportedly-damages-servers-backups,CRN,2020-12-07T20:25:00.0000000Z
<b>Foxconn</b> builds world’s largest Nvidia superchip production facility in Mexico amid AI boom,Foxconn chairman Liu Young-way said the firm’s manufacturing capabilities include ‘technologies necessary to complement the GB200 server’s infrastructure’.,https://www.msn.com/en-xl/news/other/foxconn-builds-world-s-largest-nvidia-superchip-production-facility-in-mexico-amid-ai-boom/ar-AA1rSBJg,South China Morning Post on MSN.com,2024-10-08T17:22:00.0000000Z
Taiwan&#39;s <b>Foxconn</b> says building world&#39;s largest &#39;superchip&#39; plant,"Taiwanese tech giant Foxconn said on Tuesday it is building the world&#39;s largest production plant for US hardware leader Nvidia&#39;s GB200 &quot;superchips&quot; that power artificial intelligence servers.&quot;We&#39;re building the largest GB200 production facility on the planet,",https://www.msn.com/en-us/money/other/taiwans-foxconn-says-building-worlds-largest-superchip-plant/ar-AA1rSaOh,AFP on MSN.com,2024-10-08T04:27:04.0000000Z
"<b>Foxconn</b> building the world&#39;s largest chip fab facility in Mexico, dedicated to NVIDIA GB200 AI Chip","Foxconn, widely known for assembling Apple’s iPhones, is now positioning itself as a major player in the AI and server markets. Foxconn Chairman Young Liu stated that the company’s supply chain is ful",https://www.firstpost.com/tech/foxconn-building-the-worlds-largest-chip-fab-facility-in-mexico-dedicated-to-nvidia-gb200-ai-chip-13823167.html,Firstpost,2024-10-08T07:52:00.0000000Z
<b>Foxconn</b> beats estimates with record third-quarter revenue on AI demand,"Taiwan&#39;s <b>Foxconn</b>, the world&#39;s largest contract electronics maker, beat expectations to post its highest-ever revenue for the third quarter on strong demand for artificial intelligence (AI) servers. Revenue for Apple&#39;s biggest iPhone assembler jumped 20.2% ...",https://www.tbsnews.net/world/global-economy/foxconn-beats-estimates-record-third-quarter-revenue-ai-demand-959421,tbsnews,2024-10-06T12:58:00.0000000Z
<b>Foxconn</b> to Build World’s Largest Nvidia Superchip Facility in Mexico,"Foxconn, a major global electronics manufacturer, has announced plans to construct a huge facility in Mexico to produce Nvidia&#39;s GB200 Superchips.",https://www.techopedia.com/news/foxconn-to-build-worlds-largest-nvidia-superchip-facility-in-mexico,Techopedia,2024-10-08T11:57:00.0000000Z
<b>Foxconn</b> to build Taiwan’s fastest AI supercomputer with Nvidia Blackwell,Nvidia and Foxconn are building Taiwan’s largest supercomputer using Nvidia Blackwell chips.,https://venturebeat.com/ai/foxconn-to-build-taiwans-fastest-ai-supercomputer-with-nvidia-blackwell/,VentureBeat,2024-10-08T12:00:00.0000000Z
<b>Foxconn</b> building world&#39;s largest Nvidia superchip factory,"Foxconn is building the world&#39;s largest manufacturing facility making the Nvidia GB200 chip to help meet &quot;awfully huge&quot; demand for the AI darling&#39;s Blackwell platform, a senior executive at the Taiwanese company said on Tuesday.",https://www.msn.com/en-us/money/other/foxconn-building-worlds-largest-nvidia-superchip-factory/ar-AA1rRGvO,Reuters on MSN.com,2024-10-08T14:50:00.0000000Z
<b>Foxconn</b>: Apple supplier drops out of $20bn India factory plan,Apple supplier <b>Foxconn</b> has pulled out of a $19.5bn (£15.2bn) deal with Indian mining giant Vedanta to build a chip making plant in the country. The move comes less than a year after the companies ...,https://www.bbc.com/news/business-66160997,BBC,2023-07-11T08:57:00.0000000Z
<b>Foxconn</b> to build Nvidia&#39;s largest &#39;superchip&#39; plant,"Taiwanese tech giant Foxconn said Tuesday it was building the world&#39;s largest production facility for US hardware leader Nvidia&#39;s GB200 &quot;superchips&quot; powering artificial intelligence (AI) servers. Foxconn,",https://www.msn.com/en-ph/news/money/foxconn-to-build-nvidia-s-largest-superchip-plant/ar-AA1rU9PC,MSN,2024-10-08T16:38:00.0000000Z
Produce AI using AI: <b>Foxconn</b> partners with Nvidia to unveil smart factory platform,"Foxconn is redefining smart manufacturing and aiming for a future where AI produces AI. Foxconn&#39;s two-day Hon Hai Tech Day (HHTD24) event began on October 8, during which it unveiled its smart factory platform for the first time.",https://www.digitimes.com/news/a20241009PD213/foxconn-ai-smart-factory-smart-manufacturing-robotics-nvidia.html,Digi Times,2024-10-09T03:51:00.0000000Z
"iPhone manufacturer <b>Foxconn</b> unveils the Foxtron Models C, D and U","It’s been a few years since we’ve heard any mutterings about Foxtron – the car brand birthed from the makers of the iPhone, Taiwanese conglomerate Foxconn (aka Hon Hai Technology). At Hon Hai Tech Day 2024, the newbie car maker revealed some new electrified models.",https://www.msn.com/en-gb/cars/news/iphone-manufacturer-foxconn-unveils-the-foxtron-models-c-d-and-u/ar-AA1rU8Of,Top Gear on MSN.com,2024-10-08T15:52:00.0000000Z
<b>Foxconn</b> Says Building World&#39;s Largest Manufacturing Facility for Nvidia GB200 in Mexico,"Foxconn, the world&#39;s largest contract electronics manufacturer and known as Apple&#39;s biggest iPhone assembler, has been benefiting from the artificial intelligence boom as it assembles servers used to process AI work.",https://www.news18.com/business/foxconn-says-building-worlds-largest-manufacturing-facility-for-nvidia-gb200-in-mexico-9078402.html,CNN-News18,2024-10-08T08:27:00.0000000Z
iPhone maker <b>Foxconn</b> says building world&#39;s largest &#39;superchip&#39; plant,Taiwanese tech giant Foxconn said on Tuesday it is building the world&#39;s largest production plant for US hardware leader Nvidia&#39;s GB200 &quot;superchips&quot; that power artificial intelligence servers.,https://tech.hindustantimes.com/tech/news/iphone-maker-foxconn-says-building-worlds-largest-superchip-plant-71728376993319.html,Hindustan Times Tech,2024-10-08T20:36:00.0000000Z
Apple iPhone Maker <b>Foxconn</b>’s Latest EV Is A Minivan Designed By Pininfarina,"Felix Kilbertus, Pininfarina’s Chief Creative Officer, revealed that the EV was designed “from the inside out”, with the goal of “maximizing interior space while maintaining a sleek, aerodynamic exterior”. The designer described the Foxtron Model D as a “significant evolution from traditional SUVs”, highlighting the spaciousness of its cabin.",https://www.msn.com/en-us/autos/other/foxtron-model-d-is-a-pininfarina-designed-electric-minivan-with-integrated-iphones/ar-AA1rTF69,Carscoops on MSN.com,2024-10-09T01:58:00.0000000Z
Apple supplier <b>Foxconn</b> and Nvidia team up to deploy Taiwan&#39;s fastest AI supercomputer,Nvidia has confirmed it will be working with mega electronics contractor Foxconn to construct Taiwan&#39;s most powerful AI supercomputer.,https://www.msn.com/en-us/news/technology/apple-supplier-foxconn-and-nvidia-team-up-to-deploy-taiwans-fastest-ai-supercomputer/ar-AA1rTXb0,The Register on MSN.com,2024-10-08T16:13:00.0000000Z
<b>Foxconn</b> unveils Pininfarina-designed Model D hybrid lifestyle MUV,"The Model D is 5.1 metres long and has a wheelbase of 3.2 metres, providing a spacious and comfortable seating space.",https://www.autocarpro.in/news-international/foxconn-unveils-pininfarina-designed-model-d-hybrid-lifestyle-muv-122975,Autocar Pro,2024-10-08T13:05:00.0000000Z
<b>Foxconn</b> beats estimates with record third-quarter revenue on AI demand,"Taiwan&#39;s <b>Foxconn</b>, the world&#39;s largest contract electronics maker, beat expectations to post its highest-ever revenue for the third quarter on strong demand for artificial intelligence (AI ...",https://www.thedailystar.net/business/news/foxconn-beats-estimates-record-third-quarter-revenue-ai-demand-3720831,The Daily Star,2024-10-06T11:13:00.0000000Z
"Tamil Nadu cabinet approves <b>Foxconn</b>&#39;s Rs 13,180-crore display module assembly unit","Foxconn&#39;s investment was the single largest investment among 13 others that were approved by the Cabinet on Tuesday. The cumulative investment of the 14 projects came up to Rs 38,698.80 crore. This marked the first meeting since the elevation of Udhayanidhi Stalin as deputy Chief Minister of the state.",https://economictimes.indiatimes.com/tech/technology/tamil-nadu-cabinet-approves-foxconns-rs-13180-crore-display-module-assembly-unit/articleshow/114048860.cms,Indiatimes,2024-10-08T12:32:00.0000000Z
<b>Foxconn</b> Orders Blackwell-Powered 90 AI Exaflops Supercomputer,"Nvidia and  Taiwanese electronics manufacturer Foxconn are building what the companies said is Taiwan’s largest supercomputer. The system, to be housed at the Hon Hai Kaohsiung Super Computing Center,",https://insidehpc.com/2024/10/foxconn-orders-blackwell-powered-90-ai-exaflops-supercomputer/,insideHPC,2024-10-08T08:04:00.0000000Z
"<b>Foxconn</b> says execs from Nvidia, Google, BMW will speak at its annual forum","The executives will speak on topics including artificial intelligence, electric vehicles and digital heath management, <b>Foxconn</b> spokesman James Wu told reporters. However, he declined to confirm if ...",https://www.reuters.com/technology/foxconn-says-execs-nvidia-google-bmw-will-speak-its-annual-forum-2024-10-01/,Reuters,2024-10-01T09:12:00.0000000Z
<b>Foxconn</b> explores $1 billion investment in Tamil Nadu for display assembly unit: Report,"Apple supplier <b>Foxconn</b> is exploring setting up an assembling unit for smartphone display modules with an investment of $1 billion in Tamil Nadu, The Economic Times reported on September 25.",https://www.moneycontrol.com/news/business/companies/foxconn-explores-1-billion-investment-in-tamil-nadu-for-display-assembly-unit-report-12829023.html,moneycontrol.com,2024-09-25T15:03:00.0000000Z
iPhone Maker <b>Foxconn</b> And HCL&#39;s Plant To Come Up Near Jewar Airport,"In a significant development, a joint venture (JV) between Taiwan&#39;s <b>Foxconn</b> and India&#39;s HCL Group has acquired around 30 acres of land near the upcoming Jewar airport in Noida, Uttar Pradesh, the media has reported. The land, allocated by the Yamuna ...",https://news.abplive.com/technology/gadgets/iphone-maker-foxconn-and-hcl-s-plant-to-come-up-near-jewar-airport-1717160,abp LIVE,2024-09-14T03:12:00.0000000Z
Apple iPhone Maker <b>Foxconn</b> To Lease 900 Apartments In BCD Group&#39;s Bengaluru Township: Report,"Real estate giant BCD Group is reportedly set to lease 900 apartments to <b>Foxconn</b>, a manufacturing partner of Apple, for a three-year term in a township project situated in Hoskote, Bengaluru. As reported by HT.com, the residential units will house <b>Foxconn</b> ...",https://www.news18.com/business/apple-iphone-maker-foxconn-900-apartments-bcd-group-bengaluru-township-9047412.html,CNN-News18,2024-09-11T23:34:00.0000000Z
"Apple&#39;s contract manufacturer <b>Foxconn</b> posts record 3rd quarter revenue on AI server demand, not iPhones","<b>Foxconn</b>&#39;s record 3rd quarter revenue was from strong AI server demand from its cloud and networking division, while consumer electronics saw flat performance Taiwan&#39;s <b>Foxconn</b>, the world&#39;s largest ...",https://www.hindustantimes.com/business/apples-contract-manufacturer-foxconn-posts-record-3rd-quarter-revenue-on-ai-server-demand-not-iphones-101728117240992.html,Hindustan Times,2024-10-05T19:47:00.0000000Z
<b>Foxconn</b> beats estimates with record third-quarter revenue on AI demand,"Taiwan’s <b>Foxconn</b>, the world’s largest contract electronics maker, beat expectations to post its highest-ever revenue for the third quarter on strong demand for artificial intelligence (AI) servers. Revenue for Apple’s biggest iPhone assembler jumped ...",https://www.cnbctv18.com/market/foxconn-beats-estimates-record-third-quarter-revenue-artificial-intelligence-demand-19487972.htm,cnbctv18,2024-10-06T20:00:00.0000000Z
<b>Foxconn</b> unveils Pininfarina-designed electric MPV,"The Model D is 5.1 metres long and has a wheelbase of 3.2 metres, providing a spacious and comfortable seating space.",https://www.autocarpro.in/news-international/foxconn-unveils-pininfarina-designed-electric-mpv-122975,Autocar Pro,2024-10-08T13:53:00.0000000Z
"Protests erupt at <b>Foxconn</b>&#39;s iPhone factory in China over working conditions, pay",The biggest stories of the day delivered to your inbox.,https://mashable.com/article/foxconn-apple-iphone-protests-covid-working-conditions,Mashable,2022-11-23T00:00:00.0000000Z
<b>Foxconn</b> builds Mexico plant for Nvidia as Chinese decoupling continues,Foxconn will build Nvidia GB200 NVL72 machines based on GB200 in Mexico to meet the &#39;crazy&#39; demand for AI servers.,https://finance.yahoo.com/news/foxconn-builds-mexico-plant-nvidia-172105384.html,YAHOO!Finance,2024-10-09T07:00:00.0000000Z
Apple Supplier <b>Foxconn</b> Excludes Married Women From Jobs At iPhone Plant In Tamil Nadu: Report,<b>Foxconn</b> has been alleged of following discriminatory hiring practices and excluding married women from jobs at its iPhone assembly facility in Tamil Nadu’s Sriperumbudur Reuters has interviewed ...,https://inc42.com/buzz/apple-supplier-foxconn-excludes-married-women-from-jobs-at-iphone-plant-in-tamil-nadu-report/,inc42,2024-06-26T00:00:00.0000000Z
State-funded hostel for female <b>Foxconn</b> workers marks new era in India’s industrial housing,"By the end of 2024, these buildings will house 18,720 women working at the biggest Indian factory of Taiwanese iPhone contract manufacturer Hon Hai Technology Group, better known as <b>Foxconn</b>.",https://www.straitstimes.com/asia/south-asia/state-funded-hostel-for-female-foxconn-workers-marks-new-era-in-india-s-industrial-housing,The Straits Times,2024-09-12T13:41:00.0000000Z
