Title,Description,URL,Provider,Date Published
<b>GigaDevice Releasing RISC-V MCUs And Development Boards</b>,Probably not too many people have heard of Chinese manufacturer <b>GigaDevice</b> who so far has mostly been known as a NOR Flash memory manufacturer. Their GD32 range of MCUs is however STM32-compatible ...,https://hackaday.com/2019/08/27/gigadevice-releasing-risc-v-mcus-and-development-boards/,Hackaday,2019-08-27T01:43:00.0000000Z
<b>GigaDevice</b> Semiconductor Inc. A,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/CN/XSHG/603986,Wall Street Journal,2024-09-30T00:00:00.0000000Z
Apple Vision Pro&#39;s high-cost components revealed: SK Hynix powers RI chip,"Apple&#39;s mixed reality (MR) headset, the Vision Pro, is known to feature two key chips—the M2 for handling most computations and the R1 for reducing latency and processing sensor data. The memory integrated with the R1 chip plays a crucial role in enhancing processing speed.",https://www.digitimes.com/news/a20241004PD218/apple-vision-pro-apple-headset-m2-mr-sk-hynix.html,Digi Times,2024-10-08T03:09:00.0000000Z
gd32f30x firmware library with gcc and makefile support,"This is pre-converted gd32f30x firmware library with gcc and makefile support from <b>GigaDevice</b> official &#39;GD32F30x_Firmware_Library_V2.1.5.rar&#39;. For more information about how to use this library, refer to this tutorial. change &#39;Firmware/Ld/Link.ld&#39; to set ...",https://github.com/cjacker/gd32f30x_firmware_library_gcc_makefile,GitHub,2023-03-21T02:30:00.0000000Z
zephyrproject-rtos/hal_<b>gigadevice</b>,The hal_<b>gigadevice</b> is a set of both standard firmware library and ARM CMSIS configurations for <b>GigaDevice</b> MCUs. The HAL is organized following the directory structure detailed below. The gd32 standard peripheral API define all information to access ...,https://github.com/zephyrproject-rtos/hal_gigadevice,GitHub,2023-06-21T04:33:00.0000000Z
MCU-PLUS-SDK-AM243X: Flash-driver sometimes reads garbage when using OSPI-PHY-mode with <b>Gigadevice</b>-Flash,The correct flash is identified by its id on startup and the matching configurations are then loaded. So currently there can be an ISSI or an <b>Gigadevice</b> (GD25LX256E)-Flash. The ISSI-Flashes work with PHY-mode but the <b>Gigadevice</b>-Flashes do not properly.,https://e2e.ti.com/support/microcontrollers/arm-based-microcontrollers-group/arm-based-microcontrollers/f/arm-based-microcontrollers-forum/1208875/mcu-plus-sdk-am243x-flash-driver-sometimes-reads-garbage-when-using-ospi-phy-mode-with-gigadevice-flash,Texas Instruments,2023-03-22T16:59:00.0000000Z
AM625: SPI NAND support,"On the other hand, QE bit is used for 4S mode in serial NAND device vendors, i.e. <b>Gigadevice</b>, Toshiba/Kioxia, Macronix, Longsys… One of option we&#39;re exploring is configuring BOOTMODE pin to start with 1S-1S-1S for ROM to load &quot;tiboot3.bin&quot; from Serial ...",https://e2e.ti.com/support/processors-group/processors/f/processors-forum/1360674/am625-spi-nand-support,Texas Instruments,2024-05-14T01:07:00.0000000Z
Huawei LiteOS: A Heavyweight in IoT Connectivity,"Huawei LiteOS already supports six of the top ten MCU manufacturers (NXP, ST, Microchip, TI, SiliconLab, and ADI); two of the top three Chinese MCU manufacturers (<b>GigaDevice</b> and MindMotion); more than 40 industry-standard MCU hardware development boards ...",https://www.huawei.com/en/huaweitech/publication/84/lite-os-smart-iot,Huawei,2018-02-13T10:00:00.0000000Z
Decoding China’s Escalation of the Chip War,"One Chinese media platform, Ijiwei, reported that the decision will greatly benefit Chinese memory makers that directly compete with Micron, such as Ingenic, CXMT, YMTC, and <b>GigaDevice</b>.",https://thediplomat.com/2023/05/decoding-chinas-escalation-of-the-chip-war/,The Diplomat,2023-05-23T00:00:00.0000000Z
US squeezes China&#39;s biggest chip-maker SMIC,"In addition to Huawei, SMIC&#39;s clients include lesser-known Chinese chip designers including <b>Gigadevice</b> and Unisoc, as well as international companies including Qualcomm and Broadcom. However ...",https://www.bbc.com/news/technology-54324973,BBC,2020-09-28T00:00:00.0000000Z
