Title,Description,URL,Provider,Date Published
"<b>Infineon</b> EZ-USB FX20 programmable USB controller supports up to 20Gbps speeds, features LVDS interface",The EZ-USB FX20 is a programmable USB controller supporting speedy transfers via USB 20Gbps and LVDS interfaces. It is the latest addition to Infineon’s,https://www.cnx-software.com/2024/10/08/infineon-ez-usb-fx20-programmable-usb-controller-supports-up-to-20gbps-speeds-features-lvds-interface/,CNX Software,2024-10-08T02:00:00.0000000Z
"Be financially self-reliant, Zahid tells govt agencies","Government agencies must stop being too reliant on government allocations and learn to achieve financial independence, says Datuk Seri Dr Ahmad Zahid Hamidi. Read full story",https://www.msn.com/en-my/news/national/be-financially-self-reliant-zahid-tells-govt-agencies/ar-AA1rVKRI,The Star Online on MSN.com,2024-10-09T03:56:00.0000000Z
Xylon&#39;s Updated logiHSSL IP Core Seamlessly Connects <b>Infineon</b> AURIX Microcontrollers with AMD Adaptive SoCs and FPGAs,"The updated logiHSSL IP Core introduces a &quot;reduced IP configuration,&quot; supporting one HSSL target device and one streaming data channel. Based on Xylon&#39;s experience, this configuration meets the needs of the vast majority of logiHSSL IP users.",https://www.design-reuse.com/news/56886/xylon-slave-hssl-controller-ip-core.html,Design-Reuse,2024-10-07T14:49:00.0000000Z
<b>Infineon Technologies AG ADR</b>,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/IFNNY,Wall Street Journal,2024-10-04T00:00:00.0000000Z
"Cooperation between Malaysia, Asean countries vital to maintain flow of skilled talents, says HR Minister","Cooperation between Malaysia and other Asean countries is crucial to attract, develop, and sustain the flow of highly skilled and dynamic talents, says Steven Sim.",https://www.thestar.com.my/news/nation/2024/10/04/cooperation-between-malaysia-asean-countries-vital-to-maintain-flow-of-skilled-talents-says-hr-minister,The Star,2024-10-04T14:48:00.0000000Z
Strong growth forecast for MPI on EV and chip demand,"BIMB Research has resumed coverage on Malaysian Pacific Industries Bhd (MPI) with a “buy” call, expressing optimism about MPI’s future earnings prospects, citing strong demand for electric vehicles (EVs) and the expansion of data centres and Industry 4.",https://www.thestar.com.my/business/business-news/2024/10/04/strong-growth-forecast-for-mpi-on-ev-and-chip-demand,The Star,2024-10-03T21:57:00.0000000Z
"Malaysia Semiconductor Recruitment Day 2024 Kicks Off: Over 2,000 Graduates Ready to Power the Nation’s Semiconductor Future","With 25 prominent companies participating and more than 2,000 graduates registered, the recruitment day is designed to connect job seekers with top industry players. Key companies present include NXP,",https://www.malaysiakini.com/announcement/721559,Malaysiakini,2024-10-04T18:50:00.0000000Z
Gadget designers get chunky option as USB 20 Gbps controller arrives,"Infineon is rolling out its next generation of USB controller designed specifically for peripherals. Simply named the EZ-PD FX20, it will support 20 Gbps Type-C devices, including the latest USB4 standard – though USB 3.2 and Thunderbolt 3 are also supported.",https://www.theregister.com/2024/10/02/infineon_unveils_first_usb_20gbps/,theregister,2024-10-02T16:08:00.0000000Z
Class D Audio Amplifiers Business Report 2024-2030: Growing Adoption of Compact and Portable Devices Strengthens Business Case,The &quot;Class D Audio Amplifiers - Global Strategic Business Report&quot; report has been added to ResearchAndMarkets.com&#39;s offering.The global market for Class D Audio Amplifiers was estimated at US$2.9 Billion in 2023 and is projected to reach US$4.,https://uk.finance.yahoo.com/news/class-d-audio-amplifiers-business-154400709.html,Yahoo Finance,2024-10-08T15:53:00.0000000Z
<b>Infineon Technologies AG</b>,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/XE/IFX,Wall Street Journal,2024-05-07T18:39:00.0000000Z
