Title,Description,URL,Provider,Date Published
<b>Infosys</b> expands collaboration with Old National Bank for digital transformation,"This development deepens their existing partnership, allowing Old National Bank to utilise Infosys&#39; services, solutions, and platforms for operational transformation and process digitisation through automation and Generative AI (GenAI) technologies,",https://www.financialexpress.com/business/banking-finance-infosys-expands-collaboration-with-old-national-bank-for-digital-transformation-3634800/,The Financial Express,2024-10-08T20:15:00.0000000Z
"Stock Radar: <b>Infosys</b>, Dr Reddys, PB Fintech, Premier Energies, Phoenix Mills, Signaturegobal in focus on Wednesday","Western Carriers, GTPL Hathway, Kretto Syscon, Lotus Chocolate, Rhetan TMT, and Vivid Mercantile will release their quarterly earnings scorecard on October 9.",https://www.moneycontrol.com/news/business/markets/stock-radar-infosys-dr-reddys-pb-fintech-premier-energies-phoenix-mills-signaturegobal-in-focus-on-wednesday-12838327.html,moneycontrol.com,2024-10-08T19:21:00.0000000Z
"InStep, an internship like no other","The <b>Infosys</b> InStep internship got the exclusive recognition of being ranked the World’s best internship 5 years in a row by Vault Firsthand. What is it that separates InStep from all the other internships in the world? Well, let’s see what InStep ...",https://www.infosys.com/instep.html,Infosys,2024-10-08T11:31:00.0000000Z
<b>Infosys</b> Share Price,"<b>Infosys</b> Limited is a multinational information technology company founded in Pune on July 2, 1981, and its headquarters are located in Bangalore. This company provides services like outsourcing, business consulting and information technology. According to ...",https://www.business-standard.com/markets/infosys-ltd-share-price-2806.html,Business Standard,2024-10-08T16:02:00.0000000Z
<b>Infosys</b> Ltd.,"The Sensex fell for the sixth consecutive day, eroding investor wealth by Rs 8.9 lakh crore. Market capitalisation slumped as foreign funds withdrew, driven by global tensions and subdued earnings. Oct 07, 2024 19:14 Sensex, Nifty Close Lower: Heavy ...",https://money.rediff.com/companies/Infosys-Ltd/13020007,money.rediff,2024-10-07T21:30:00.0000000Z
<b>Infosys Cobalt</b>,"<b>Infosys Cobalt</b> is a set of services, solutions, and platforms that acts as a force multiplier for cloud-powered enterprise transformation. <b>Infosys Cobalt</b> helps businesses redesign the enterprise, from the core, and also build new cloud-first capabilities ...",https://www.infosys.com/services/cloud-cobalt/overview.html,Infosys,2020-08-30T22:35:00.0000000Z
"Stock Alert: Phoenix Mills, Signature Global, <b>Infosys</b>, Dr reddys Lab, IRFC","SAIL, Bandhan Bank, Birlasoft, Gujarat Narmada Valley Fertillisers &amp; Chemicals (GNFC), Granules India, Hindustan Copper, IDFC First Bank, Manappuram Finance, Punjab National Bank, RBL Bank",https://www.business-standard.com/markets/capital-market-news/stock-alert-phoenix-mills-signature-global-infosys-dr-reddys-lab-irfc-124100900116_1.html,Business Standard,2024-10-09T03:34:00.0000000Z
"IT Q2 FY25 Results Preview: TCS likely to clinch 1% CC revenue growth QoQ, <b>Infosys</b> may tweak guidance","Prabhudas Lilladher expects its IT coverage to post a median revenue growth of 1.6 per cent QoQ CC in Q2 vs 1.5 per cent in Q1. Likewise, operating margins are expected to witness a notable recovery of 40bps (median).",https://www.zeebiz.com/market-news/news-it-sector-q2-earnings-preview-recovery-gradual-revenue-ebit-margin-deal-wins-infosys-tcs-hcl-tech-mahindra-wipro-persistent-systems-320297,Zee Business,2024-10-08T11:45:00.0000000Z
"Leaders from BCG, <b>Infosys</b>, AARP, and more predict how AI will transform top companies in the next 12 months","Executives at BCG, Infosys, AARP, and more predict how companies will change with AI — and explain what they can do to leverage the technology.",https://www.msn.com/en-us/money/companies/leaders-from-bcg-infosys-aarp-and-more-predict-how-ai-will-transform-top-companies-in-the-next-12-months/ar-AA1rHu4H,Business Insider on MSN.com,2024-10-04T13:44:38.0000000Z
"<b>Infosys</b> partners with Swedish EV maker Polestar, to set up tech hub in Bengaluru",BENGALURU: Infosys on Wednesday announced a strategic collaboration with Swedish electric performance car brand Polestar. The IT company will establish a global,https://www.newindianexpress.com/business/2024/Sep/25/infosys-partners-with-swedish-ev-maker-polestar-to-set-up-tech-hub-in-bengaluru,The New Indian Express,2024-09-25T10:50:00.0000000Z
&#39;Why Is Indian Railways Not Keeping Its Promise?&#39;: Ex-<b>Infosys</b> CFO Mohandas Pai Questions Government Over Vande Bharat Promises,"The train services have been touted as the modern face of the country&#39;s transportation infrastructure. One of the key USPs, apart from its appearance, has been the promise of &#39;Speed&#39;. This tranche of services has been touted by the Indian Railways as path-breaking in terms of the speed at which the trains will run safely.",https://www.msn.com/en-in/news/other/why-is-indian-railways-not-keeping-its-promise-ex-infosys-cfo-mohandas-pai-questions-government-over-vande-bharat-promises/ar-AA1rMfeL,The Free Press Journal on MSN.com,2024-10-06T09:40:00.0000000Z
<b>Infosys</b> and Handelsblatt Research Institute Launch the First AI-Powered Trend Report to Drive Innovative Storytelling,Infosys and Handelsblatt Research Institute Launch the First AI-Powered Trend Report to Drive Innovative Storytelling,https://stockhouse.com/news/press-releases/2024/10/08/infosys-and-handelsblatt-research-institute-launch-the-first-ai-powered-trend,Stockhouse,2024-10-08T08:34:00.0000000Z
<b>Infosys</b> partners with US-based Sally Beauty for AI-amplified delivery,"The partnership aims to drive enterprise-scale IT transformation by leveraging Infosys Topaz. Shares of Infosys Ltd ended at ₹1,899.35, up by ₹3.35, or 0.18%, on the BSE.",https://www.cnbctv18.com/market/stocks/infosys-share-price-partners-with-sally-beauty-enterprise-scale-it-transformation-ai-hyper-automation-infosys-topaz-19483235.htm,cnbctv18,2024-09-26T14:40:00.0000000Z
<b>Infosys</b> and Polestar Open Tech Hub in Bengaluru Focusing EV Software Development and Validation,"Infosys and Polestar have entered a strategic collaboration to open a Technology Hub in Bengaluru, India. This hub will focus on electric vehicle (EV)",https://www.indianweb2.com/2024/09/infosys-and-polestar-enter-open-tech.html,indianweb2.com,2024-09-27T12:01:00.0000000Z
Create ‘digital twin’ to address Bengaluru&#39;s traffic woes: former <b>Infosys</b> CFO Mohandas Pai,"BENGALURU: Calling for the creation of a “digital twin” for Bengaluru, former Infosys CFO Mohandas Pai said through this, traffic movement in every part of the",https://www.msn.com/en-in/news/India/create-digital-twin-to-address-bengalurus-traffic-woes-former-infosys-cfo-mohandas-pai/ar-AA1rFZEh,The New Indian Express on MSN.com,2024-10-04T03:34:49.0000000Z
"Nihar Nandan Nilekani, Son of <b>Infosys</b> Co-founder Nandan Nilekani, Sells 40,000 Shares of this Domestic Appliances Company on Friday!","Nihar Nandan Nilekani, son of Infosys Ltd co-founder Nandan Nilekani, sold 40,000 shares of this Small-Cap Domestic Appliances Company Hawkins Cookers Ltd at an average price of Rs 8,650 each, amounting to a total transaction value of approximately Rs 34.",https://www.dsij.in/dsijarticledetail/nihar-nandan-nilekani-son-of-infosys-co-founder-nandan-nilekani-sells-40000-shares-of-this-domestic-appliances-company-on-friday-id002-42752,DSIJ Pvt Ltd,2024-10-06T07:37:00.0000000Z
"After Cognizant, Tech Mahindra goes after former <b>Infosys</b> top talent","In January 2023, when Ravi Kumar S. took over as chief executive officer of Cognizant, at least 10 ex-Infosys executives followed—seven joined directly from Infosys in various leadership positions, an",https://www.livemint.com/companies/infosys-cognizant-tech-mahindra-executives-mohit-joshi-salil-parekh-leadership-revenue-it-services-wipro-clients-11728380033811.html,Mint,2024-10-09T00:01:00.0000000Z
Stock to watch: <b>Infosys</b> shares in focus on expansion of partnership with Old National Bank,"Infosys has expanded its collaboration with Old National Bank to accelerate the bank&#39;s operational and technological transformation. Leveraging automation and GenAI, the partnership aims to enhance process digitization,",https://www.msn.com/en-in/money/news/stock-to-watch-infosys-shares-in-focus-on-expansion-of-partnership-with-old-national-bank/ar-AA1rVylp,The Economic Times on MSN.com,2024-10-09T02:01:01.0000000Z
"TCS, <b>Infosys</b>, Wipro, Google and Microsoft among 100 tech companies to sign Europe’s first-ever AI legal framework","Over 100 tech companies such as TCS, Infosys, and Wipro have pledged early compliance with the EU&#39;s AI rules through an AI Pact. This initiative helps",https://www.msn.com/en-in/money/other/upi-fraud-sees-big-jump-in-2024-delhi-police-shares-5-most-common-techniques-used-to-scam-people-and-tips-to-stay-safe/ar-AA1rTyB2,The Times of India on MSN.com,2024-10-08T13:13:00.0000000Z
"<b>Infosys</b> expands pact with Old National Bank to accelerate its operational, technological transformation","Infosys has expanded its four-year partnership with US-based Old National Bank to leverage services, solutions, and platforms for operations transformation and process digitisation. Infosys will help in the transformation of key business areas through automation and Generative Artificial Intelligence (Gen AI), the company said in a release.",https://www.moneycontrol.com/technology/infosys-expands-pact-with-old-national-bank-to-accelerate-its-operational-technological-transformation-article-12838285.html,moneycontrol.com,2024-10-08T16:50:00.0000000Z
"Accenture guidance boost lifts <b>Infosys</b>, Wipro; IT stocks rally up to 4%",Accenture not only exceeded market expectations for its Q4 results but also raised its revenue guidance for FY25 to a range of 3-6%.,https://www.indiatoday.in/business/story/infosys-wipro-it-stocks-rally-4-percent-accenture-fy25-guidance-boost-2607196-2024-09-27,India Today,2024-09-27T05:29:00.0000000Z
