Title,Description,URL,Provider,Date Published
<b>Innolux Corp</b>.,"<b>Innolux</b> is Taiwan&#39;s leading display panel manufacturer, with assets totaling over $15 billion. It is the world&#39;s third-largest flat-panel maker after South Korea&#39;s Samsung and LG. The company ...",https://asia.nikkei.com/Companies/Innolux-Corp2,Nikkei Asia,2020-08-17T04:49:00.0000000Z
TSMC: Still A Long-Term Buy Given Its Technological Leadership And AI Growth Story,Taiwan Semiconductor&#39;s robust AI-related growth supports high revenue growth and premium valuation multiples. Read why I rate TSM stock a Buy.,https://seekingalpha.com/article/4725222-tsmc-long-term-buy-given-its-technological-leadership-ai-growth-story,Seeking Alpha,2024-10-06T08:42:00.0000000Z
<b>Innolux Corp</b>.,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/TW/XTAI/3481,Wall Street Journal,2024-09-27T00:00:00.0000000Z
"Micro-LED Global Research Report 2024-2034 Featuring Leading Players - Sony, SAMSUNG, EPISTAR, <b>Innolux</b>, Plessey, and PlayNitride","Global Micro-LED Market Global Micro-LED Market Dublin, Oct. 07, 2024 (GLOBE NEWSWIRE) -- The &quot;Micro-LED Market - A Global and Regional Analysis: Focus on Application, End-use Industry, Resolution and Brightness,",https://finance.yahoo.com/news/micro-led-global-research-report-080500697.html,YAHOO!Finance,2024-10-07T08:05:00.0000000Z
Large-size panel makers see growth while smaller counterparts face challenges in August 2024,"Large-size panel manufacturers, including AUO and <b>Innolux</b>, saw revenue growth in August. AUO, in particular, experienced a significant year-over-year revenue increase due to its merger with BHTC.",https://www.digitimes.com/news/a20240909PD224/revenue-panel-auo-innolux-2024.html,Digi Times,2024-09-10T00:00:00.0000000Z
<b>Innolux</b> Corporation (3481.TW),Taiwan Semiconductor Manufacturing Co (NYSE:TSM) snapped <b>Innolux</b> Corp’s flat-panel display plant in Tainan for $530.6 million. Taiwan Semiconductor expects to leverage the Tainan facility for ...,https://finance.yahoo.com/quote/3481.TW/news/,Yahoo Finance,2024-09-16T00:00:00.0000000Z
Commercial property sales jump 176% last quarter,"Commercial property transactions last quarter more than doubled to NT$56.7 billion (US$1.78 billion) from three months earlier, driven by strong demand from local tech firms to expand their capacity, data released by property consultancy Savills Taiwan (第一太平戴維斯) on Tuesday showed.",https://www.taipeitimes.com/News/biz/archives/2024/10/03/2003824696,The Taipei Times,2024-10-03T01:40:00.0000000Z
<b>Nintendo Switch</b> 2: everything we know about a potential Switch successor,"According to a report by Taiwan’s Economic Daily News, a <b>Nintendo Switch</b> successor could sport mini-LED screens supplied by <b>Innolux</b>. Going back even further, Wccftech reported that a data miner ...",https://www.techradar.com/news/nintendo-switch-2,TechRadar,2024-09-12T11:47:00.0000000Z
10 Cool Tech Companies That Raised Funding In May 2024,"Investors: The round was led by TGVest Capital with participation by previous investors Pegatron Group, CDIB Capital Group and CDIB-<b>Innolux</b> II L.P. and new investors Taiwania Capital and Applied ...",https://www.crn.com/news/ai/2024/10-cool-tech-companies-that-raised-funding-in-may-2024,CRN,2024-06-11T17:15:00.0000000Z
<b>Lokki 500</b>,"The elegant <b>Innolux</b> Lokki is a pioneer among light fixtures made of plastic and is one of the best-known Finnish design classics. The design is innovative and timeless. The name Lokki comes from the Finnish word for seagull, which soar in the high ...",https://www.architonic.com/en/product/innolux-lokki-500/1266270,Architonic,2018-01-04T08:23:00.0000000Z
