Title,Description,URL,Provider,Date Published
<b>Kingdee International Software Group</b> Company Limited (0268.HK),"As global markets respond to anticipated interest rate cuts and small-cap stocks outperform their larger counterparts, the Hong Kong market has been a focal point for investors seeking high-growth opportunities. In this context, identifying strong tech ...",https://sg.finance.yahoo.com/quote/0268.HK/news/,Yahoo Finance,2024-09-20T00:00:00.0000000Z
<b>Kingdee International Software Group</b> Co Ltd,We sell different types of products and services to both investment professionals and individual investors. These products and services are usually sold through license agreements or subscriptions ...,https://www.morningstar.com/stocks/xham/kdic/financials,Morningstar,2024-10-02T00:00:00.0000000Z
<b>Kingdee International Software Group Co Ltd</b>,We sell different types of products and services to both investment professionals and individual investors. These products and services are usually sold through license agreements or subscriptions ...,https://www.morningstar.com/stocks/xhkg/00268/valuation,Morningstar,2024-09-13T00:00:00.0000000Z
<b>Kingdee International Software Group</b> Co. Ltd.,1 Day 268 -4.91% DJIA 0.45% S&amp;P 500 0.06% Technology 0.43% Stocks: Real-time U.S. stock quotes reflect trades reported through Nasdaq only; comprehensive quotes and volume reflect trading in all ...,https://www.wsj.com/market-data/quotes/HK/XHKG/268/company-people/executive-profile/227914,Wall Street Journal,2024-09-16T00:00:00.0000000Z
<b>Kingdee International Software Group</b> Co Ltd (KDIC.MU),"Enhance your stock picks with dividend metrics like per-share dividends, yield, frequency, payout ratios, and more.",https://finance.yahoo.com/quote/KDIC.MU/dividends/,Yahoo Finance,2024-09-19T17:26:00.0000000Z
<b>Kingdee International Software Group</b> Co Ltd,Click the link below to download a spreadsheet with an example Market Cap calculation for <b>Kingdee International Software Group</b> Co Ltd below: The chart above depicts the distribution of Market Cap ...,https://www.investing.com/pro/SEHK:268/explorer/marketcap,Investing,2024-09-16T00:00:00.0000000Z
<b>Kingdee International Software Group</b> Co Ltd ADR (KGDEY),"Risk Disclosure: Trading in financial instruments and/or cryptocurrencies involves high risks including the risk of losing some, or all, of your investment amount, and may not be suitable for all ...",https://www.investing.com/equities/kingdee-software-adr-commentary,Investing,2024-10-04T19:59:00.0000000Z
<b>Kingdee International Software Group</b> Co. Ltd.,Stocks: Real-time U.S. stock quotes reflect trades reported through Nasdaq only; comprehensive quotes and volume reflect trading in all markets and are delayed at least 15 minutes. International ...,https://www.barrons.com/market-data/stocks/kgdef/research-ratings,Barron&#39;s,2021-08-08T00:05:00.0000000Z
<b>Kingdee International Software Group</b> Co Ltd,Click the link below to download a spreadsheet with an example Market Cap calculation for <b>Kingdee International Software Group</b> Co Ltd below: The chart above depicts the distribution of Market Cap for companies operating in the Information Technology Sector ...,https://au.investing.com/pro/SEHK:268/explorer/marketcap,Investing,2024-08-26T21:53:00.0000000Z
<b>Kingdee International Software Group</b> Co Ltd,"Information on this site is intended for Australian users only. The content provided does not constitute investment advice, is provided solely for information purposes, is not an offer to buy or sell a security, and is not warranted to be correct, complete ...",https://www.morningstar.com.au/investments/security/hkse/00268/key-stats,morningstar.com.au,2022-12-29T21:38:00.0000000Z
<b>Kingdee International Software Group</b> Co Ltd (0268),AI-powered stock picks with a proven track record to beat the S&amp;P 500.,https://ng.investing.com/equities/kingdee-intl-cash-flow,Investing,2024-09-13T06:52:00.0000000Z
<b>Kingdee International Software Group</b> Company Limited (KGDEY),"As global markets respond to anticipated interest rate cuts and small-cap stocks outperform their larger counterparts, the Hong Kong market has been a focal point for investors seeking high-growth opportunities. In this context, identifying strong tech ...",https://uk.finance.yahoo.com/quote/KGDEY/news/?ncid=yahooproperties_stockrecom_g40boan2td8,Yahoo Finance,2024-09-13T16:01:00.0000000Z
"ZZHGF ZhongAn Online P &amp; C Insurance Co., Ltd.","ZhongAn Online P &amp; C Insurance Co., Ltd., an Internet-based Insurtech company, engages in the provision of internet insurance and insurance information technology services in the People’s ...",https://seekingalpha.com/symbol/ZZHGF,Seeking Alpha,2024-10-04T00:00:00.0000000Z
"<b>PIAIF</b> Ping An Insurance (Group) Company of China, Ltd.","Ping An Insurance (Group) Company of China, Ltd. provides financial products and services for insurance, banking, asset management, and technology businesses in the People’s Republic of China.",https://seekingalpha.com/symbol/PIAIF,Seeking Alpha,2024-10-03T12:33:00.0000000Z
HS SCHK Software &amp; Semiconductors (HSSCSS),"Risk Disclosure: Trading in financial instruments and/or cryptocurrencies involves high risks including the risk of losing some, or all, of your investment amount, and may not be suitable for all investors. Prices of cryptocurrencies are extremely volatile ...",https://in.investing.com/indices/hs-schk-software-semiconductors,Investing,2024-09-12T07:56:00.0000000Z
<b>Kingdee International Software Group</b> LEI 529900SWRZN94C5SZO63,"— Are you looking for the complete &amp; verified bond data? — We have everything you need: full data on over 700 000 bonds, stocks &amp; ETFs; powerful bond screener; over 350 pricing sources among stock exchanges &amp; OTC market; ratings &amp; financial reports ...",https://cbonds.com/company/50233/,Cbonds,2021-05-31T02:08:00.0000000Z
<b>Kingdee International Software Group</b> Co. Ltd.,1 Day 268 9.90% DJIA 0.03% S&amp;P 500 0.18% Technology -0.35%,https://www.wsj.com/market-data/quotes/HK/0268/financials/annual/balance-sheet,Wall Street Journal,2024-09-24T00:00:00.0000000Z
Analysts Have Conflicting Sentiments on These Technology Companies: Apple (AAPL) and Guidewire (GWRE),Companies in the Technology sector have received a lot of coverage today as analysts weigh in on Apple (AAPL – Research Report) and Guidewire,https://markets.businessinsider.com/news/stocks/analysts-have-conflicting-sentiments-on-these-technology-companies-apple-aapl-and-guidewire-gwre-1033823879,Business Insider,2024-10-07T05:50:00.0000000Z
<b>Kingdee International Software Group</b>,Source of information - PJSC &quot;MOEX&quot;. Further disctribution of MOEX information is prohibited without prior consent with PJSC &quot;MOEX&quot;. Source of information - PJSC &quot;MOEX&quot;. Further disctribution of MOEX information is prohibited without prior consent with ...,https://cbonds.com/stocks/US49567R1023/,Cbonds,2024-09-19T00:00:00.0000000Z
<b>Kingdee International Software Group</b> Company Limited (KGDEY),"<b>Kingdee International Software Group</b> Co., Ltd. (&quot;Kingdee International&quot;, &quot;Kingdee&quot; or the &quot;Company&quot;, together with its subsidiaries collectively referred to as the &quot;Group&quot;; Stock Code: 268.HK) is pleased to announce the audited consolidated results of the ...",https://uk.finance.yahoo.com/quote/KGDEY/press-releases/?ncid=yahooproperties_stockrecom_g40boan2td8,Yahoo Finance,2024-09-23T16:00:00.0000000Z
SEHK Growth Companies With High Insider Ownership,"The Hong Kong market has seen significant gains recently, buoyed by China&#39;s robust stimulus measures aimed at revitalizing the economy. Amid this positive backdrop, investors are increasingly looking at growth companies with high insider ownership as potential opportunities.",https://finance.yahoo.com/news/sehk-growth-companies-high-insider-230116353.html,YAHOO!Finance,2024-09-29T23:01:00.0000000Z
Economic Watch: Entrepreneurs eye opportunities in northeast China&#39;s emerging industries,"As the board chairman and CEO of <b>Kingdee International Software Group</b> Co., Ltd., a leading provider of cloud computing services for enterprises, Xu expressed his aspirations to achieve greater ...",https://www.china.org.cn/china/Off_the_Wire/2024-09/04/content_117407791.htm,China Internet Information Center,2024-09-04T15:01:00.0000000Z
Analysts Have Conflicting Sentiments on These Technology Companies: Texas Instruments (TXN) and <b>Kingdee International Software Group</b> Co (OtherKGDEF),Analysts have been eager to weigh in on the Technology sector with new ratings on Texas Instruments (TXN – Research Report) and Kingdee,https://markets.businessinsider.com/news/stocks/analysts-have-conflicting-sentiments-on-these-technology-companies-texas-instruments-txn-and-kingdee-international-software-group-co-otherkgdef-1033812851,Business Insider,2024-10-01T23:31:00.0000000Z
