Title,Description,URL,Provider,Date Published
Trent shares rally 7% to new all-time high on launching new <b>LGD</b> brand ‘Pome’,"Shares of Tata Group&#39;s Trent climbed 7.3% to hit a record high following the launch of its lab-grown diamond brand &#39;Pome&#39; in select Westside stores. Positioned as an affordable option, Pome targets broader consumer access.",https://www.msn.com/en-in/news/other/trent-shares-rally-7-to-new-all-time-high-on-launching-new-lgd-brand-pome/ar-AA1rSpC9,The Economic Times on MSN.com,2024-10-08T10:00:43.0000000Z
Diamond exports set to plummet to decade low level,"Diamond exports from India contracted by 28 per cent in FY2024, led by the worsened global macro-economic conditions and increased competition from lab-grown diamonds (LGD).",https://indianexpress.com/article/business/commodities/diamond-exports-set-to-plummet-to-decade-low-level-9590165/,The Indian Express,2024-09-26T18:51:00.0000000Z
Multibagger Tata Group Stock Up 7% As Morgan Stanley Maintains Overweight Call; Do You Own?,Shares of Trent Ltd rose 7% on Tuesday after brokerage Morgan Stanley maintained its &#39;overweight&#39; call on the Tata Group&#39;s subsidiary,https://www.news18.com/business/markets/multibagger-tata-group-stock-up-7-as-morgan-stanley-maintains-overweight-call-do-you-own-9078557.html,CNN-News18,2024-10-08T09:57:00.0000000Z
Liberty Gold Closes TV Tower Sale Transaction,"US$3.7 Million Received at ClosingVANCOUVER, British Columbia, Oct. 07, 2024 (GLOBE NEWSWIRE) --  (TSX:LGD; OTCQX:LGDTF) (“Liberty Gold” or the “Company”) is pleased to announce it has closed the previously announced sale of its interest in the TV Tower copper gold project (“TV Tower” or the “Project”),",https://finance.yahoo.com/news/liberty-gold-closes-tv-tower-100000208.html,YAHOO!Finance,2024-10-07T10:00:00.0000000Z
TCL plans to acquire LG Display’s China operations in a strategic $1.5 billion deal,"TCL plans to acquire 80% of LG Display China and 100% of LG Display Guangzhou, boosting its LCD market share and production, expected to close by 2025.",https://www.gizmochina.com/2024/09/28/tcl-plans-acquire-lg-display-china-operations-in-a-strategic-deal/,Gizmochina,2024-09-28T11:37:00.0000000Z
Gatos Silver Reports Positive Third Quarter Exploration Results Including Mineralized Intercepts on the Central Deeps Target at Cerro Los Gatos,"VANCOUVER, British Columbia, Oct. 02, 2024 (GLOBE NEWSWIRE) --  (NYSE/TSX: GATO) (“Gatos Silver” or the “Company”) today provided an update on the drilling and exploration programs in the 70%-owned Los Gatos district (“LGD”) in Mexico.",https://finance.yahoo.com/news/gatos-silver-reports-positive-third-201500810.html,YAHOO!Finance,2024-10-02T20:21:00.0000000Z
Interim govt forms 10 teams to curb dengue outbreak in Bangladesh,The government on Monday formed 10 vigilance teams to implement the anti-mosquito campaign properly across the country in the current season to prevent the nation-wide dengue,https://www.newagebd.net/post/country/245986/bangladesh-govt-forms-10-vigilance-teams-to-curb-dengue-outbreak,New Age,2024-09-24T12:38:00.0000000Z
Most Popular Gaming Influencers in the Esports Community 2024,"In 2024, the esports community is not just about the games but about the players who elevate them to new heights. Esports influencers have carved out a niche, influencing strategies, play styles, and fan engagement.",https://www.dailyexcelsior.com/most-popular-gaming-influencers-in-the-esports-community-2024/,Daily Excelsior,2024-09-26T08:06:00.0000000Z
"Riyadh Masters 2023 – Event Info, Schedule &amp; Qualified Teams","The other Group Stage Seeds include PSG.<b>LGD</b>, Evil Geniuses, Tundra Esports, Talon Esports, Team Spirit and Shopify Rebellion. The other twelve candidates to qualify into the Play-In stage via EPT Ranking is still in progress, except for Quest Esports ...",https://www.esports.net/wiki/tournaments/riyadh-masters/,esports,2023-07-06T07:45:00.0000000Z
Gems and Jewellery Has Just 0.24% Share in FDI,"Chennai: Despite India’s gems and jewellery industry having a large domestic market and export segment, the Foreign Direct Investment (FDI) into the sector is just 0.24 per cent.According to",https://www.deccanchronicle.com/southern-states/tamil-nadu/gems-and-jewellery-has-just-024-share-in-fdi-1828083,Deccan Chronicle,2024-10-04T15:33:00.0000000Z
Signet Jewelers Readies For Rebound In Bridal Business With New Customer Engagement Strategies,Lab-grown diamonds (<b>LGD</b>) have massively disrupted the legacy diamond jewelry market in both the fashion and bridal jewelry categories. Their significantly lower price relative to the mined ...,https://www.forbes.com/sites/pamdanziger/2024/09/15/signet-jewelers-readies-for-rebound-in-bridal-business-with-new-customer-engagement-strategies/,Forbes,2024-09-15T12:53:00.0000000Z
Forecast: China to overtake Korea in OLED output,"However, if China Star ends up buying <b>LGD</b>’s LCD [fabrication plant] in China as expected, then China Star’s LCD capacity share surges to 23 per cent in 2025 and BOE’s advantage holds at just five points from 2025-2028 vs seven to eight points ...",https://advanced-television.com/2024/09/12/forecast-china-to-overtake-korea-in-oled-output/,Advanced Television,2024-09-11T23:59:00.0000000Z
Eggy Party has announced the winners for the Eggyverse Workshop Championship 2024,"The Eggyverse Workshop has concluded with over 55,000 participants and 70,000 plus maps <b>LGD</b> was crowned the winner, taking home $20,000 and many more rewards Other regional and budding creators were awarded too NetEase Games has just announced the winners ...",https://www.pocketgamer.com/eggy-party/eggyverse-workshop-2024-winners/,pocketgamer,2024-09-25T00:00:00.0000000Z
Indian diamantaires want to make lab-grown diamonds a woman’s best friend,"In 2021, the <b>LGD</b> market in India was about ₹2,200 crore ($250 million). Jewellery, as per retailers, only contributes about 2% of the pie. However, industry experts believe <b>LGD</b> jewellery will ...",https://www.businessinsider.in/business/news/indias-lab-grown-diamonds-are-adding-more-shine-to-the-worlds-diamond-market/articleshow/93458389.cms,Business Insider India,2022-08-10T01:31:00.0000000Z
"Asian Games Medallist Kiran Baliyan Fails Dope Test, Bajrang Punia Missing From Latest List Of Suspended Athletes","She tested positive for dehydrochloromethyl-testosterone (steroid) and SARMS <b>LGD</b>-4033 (ligandrol). Shalini Chaudhary, who won silver at the Federation Cup this year, also tested positive for the ...",https://sports.ndtv.com/athletics/asian-games-medallist-kiran-baliyan-fails-dope-test-bajrang-punia-missing-from-latest-list-of-suspended-athletes-6593464,NDTV,2024-09-18T21:54:00.0000000Z
Team Spirit Wins The International 12 To Become Two Time Champions,"<b>LGD</b> Gaming took third and $251,372 while Azure Ray took home $172,753 for fourth. After a disappointing event last year, The International 12 has been a massive improvement and will go down as one ...",https://www.forbes.com/sites/mikestubbs/2023/10/29/team-spirit-wins-the-international-12-to-become-two-time-champions/,Forbes,2023-10-30T00:13:00.0000000Z
Govt forms 10 teams to tackle dengue situation,Local Government Division has formed 10 teams to tackle the current seasonal dengue outbreak across Bangladesh. The decision was taken during an emergency meeting on Monday morning in the conference room of the Secretariat in Dhaka.,https://www.dhakatribune.com/bangladesh/359425/lgd-forms-10-teams-to-tackle-dengue-crisis-in,Dhaka Tribune,2024-09-23T11:03:00.0000000Z
PESO sees a brighter future for SIBOL&#39;s HoK and female MLBB roster,PHILIPPINE ESPORTS ORGANIZATION (PESO) executive director Marlon Marcelo believes that the future is bright for SIBOL’s Honor of Kings and all-female Mobile Legends: Bang Bang teams following their respective stints in the China-ASEAN Esports Competition last week.,https://www.spin.ph/esports/peso-sees-a-brighter-future-for-sibol-s-hok-and-female-mlbb-roster-a1373-20241003?ref=home_feed_1,SPIN,2024-10-03T06:45:00.0000000Z
"PESO sees promising future for SIBOL HoK, all-female MLBB after China-ASEAN tilt",Philippine Esports Organization (PESO) executive director Marlon Marcelo believes that the future is bright for SIBOL’s Honor of Kings and all-female Mobile Legends: Bang Bang teams following their respective stints in the China-ASEAN Esports Competition last week.,https://mb.com.ph/2024/10/4/peso-sees-promising-future,Manila Bulletin,2024-10-03T21:41:00.0000000Z
SC questions LG&#39;s &#39;tearing hurry&#39; in holding MCD standing committee election,The Supreme Court on Friday questioned the “tearing hurry” on the part of the lieutenant governor&#39;s office for holding the polls for the sixth member of the MCD’s standing committee and &quot;interfering&quot; with the electoral process.,https://www.theweek.in/wire-updates/national/2024/10/04/lgd29-sc-mcd-ld-poll.html,The Week,2024-10-04T10:58:00.0000000Z
"Natural diamond supply has peaked, De Beers’ Madondo says","De Beers group managed operations CEO Moses Madondo has said the supply of natural diamonds has peaked, with dwindling new discoveries on the horizon. “We must recognise that we are already past the peak for diamond supply.",https://www.miningweekly.com/article/natural-diamond-supply-has-peaked-de-beers-madondo-says-2024-10-04,Mining Weekly,2024-10-04T09:45:00.0000000Z
Climb rank fast using these 3 best marksmen in Honor of Kings,"In this ONE Esports exclusive, Black Shrew Esports lists the three best marksmen to use to climb rank in Honor of Kings.",https://www.oneesports.gg/honor-of-kings/best-marksmen-in-honor-of-kings/,oneesports,2024-09-26T00:01:00.0000000Z
"New Data at AFS 2024 Demonstrates the Strength of Castle Biosciences’ TissueCypher® Test in Independently Predicting Risk of Developing Esophageal Cancer, Guiding Risk ...","and low-grade dysplasia (<b>LGD</b>)), could be combined with the patient’s TissueCypher risk score to improve the accuracy of predicting progression to high grade dysplasia (HGD) or esophageal cancer ...",https://www.businesswire.com/news/home/20240923959743/en/New-Data-at-AFS-2024-Demonstrates-the-Strength-of-Castle-Biosciences%E2%80%99-TissueCypher%C2%AE-Test-in-Independently-Predicting-Risk-of-Developing-Esophageal-Cancer-Guiding-Risk-Aligned-Management-Decisions-for-Patients-with-Barrett%E2%80%99s-Esophagus,Business Wire,2024-09-23T07:00:00.0000000Z
<b>LGD</b> forms committee to curb dengue diseases,"The committees were formed in a meeting of LGD at its conference room on controlling dengue prevalence, a press release of the LGD said. Local Government, Rural Development and Cooperative Adviser Hassan Ariff and LGD secretary Abu Hena Morshed Zaman were present.",https://www.bssnews.net/news/213072,Bangladesh Sangsbad Sangstha,2024-09-30T17:16:00.0000000Z
10 vigilance teams formed to curb dengue outbreak,"&quot;A total of 10 vigilance teams have been formed to properly implement, coordinate and closely monitor the anti-mosquito drive to combat the outbreak of dengue intensively,&quot; according to an official release here today.",https://www.bssnews.net/news-flash/211355,Bangladesh Sangsbad Sangstha,2024-09-23T11:44:00.0000000Z
