Title,Description,URL,Provider,Date Published
"Meet the Dimensity 9400, <b>MediaTek</b>’s First 3nm Mobile Chipset","Discover MediaTek&#39;s Dimensity 9400, the first 3nm chipset, promising groundbreaking efficiency, power, and AI capabilities.",https://www.gizchina.com/2024/10/09/meet-the-dimensity-9400-mediateks-first-3nm-mobile-chipset/,GizChina,2024-10-09T07:48:00.0000000Z
<b>MediaTek</b> Dimensity 9400-powered 5G smartphones to launch in Q4 2024,"MediaTek said it is working with developers to offer a unified interface between AI agents, third-party APKs, and models that efficiently run both edge AI and cloud services.",https://telecom.economictimes.indiatimes.com/news/devices/mediatek-dimensity-9400-powered-5g-smartphones-to-launch-in-q4-2024/114069260,telecom.economictimes.indiatimes,2024-10-09T06:29:00.0000000Z
"<b>MediaTek</b>’s Dimensity 9400 Stays Big, Doubles Down On AI","MediaTek&#39;s Dimensity 9400 chip has launched, bringing more speed than the last. Its features may just outsmart users.",https://www.talkandroid.com/491209-mediatek-dimensity-9400-2/,talkandroid.com,2024-10-09T06:50:00.0000000Z
<b>MediaTek</b> announces new Dimensity 9400 flagship mobile processor for edge-AI and gaming,"MediaTek Dimensity 9400 claims up to 40% power efficiency than its predecessor. It is the first mobile chipset to offer on-device LoRA training, high-quality on-device video generation, and developer",https://www.thehindu.com/sci-tech/technology/internet/mediatek-announces-new-dimensity-9400-flagship-mobile-processor-for-edge-ai-and-gaming/article68735403.ece,The Hindu,2024-10-09T06:05:00.0000000Z
<b>MediaTek</b> unveils Dimensity 9400 chip for latest AI experiences,"MediaTek on Wednesday launched Dimensity 9400, the new flagship smartphone chipset optimised for edge-AI applications, immersive gaming, incredible photography and more.",https://sambadenglish.com/miscellany/mediatek-unveils-dimensity-9400-chip-for-latest-ai-experiences-7293732,sambadenglish,2024-10-09T04:24:00.0000000Z
<b>MediaTek</b> chips are getting Gemini Nano with multimodality,Google Gemini Nano is finally making it to devices using MediaTek chips. Starting off with the Dimensity 9400.,https://www.androidheadlines.com/2024/10/mediatek-chips-gemini-nano-multimodality.html,Android,2024-10-07T17:36:00.0000000Z
"<b>MediaTek, Inc</b>.","<b>MediaTek</b> is a leading Taiwanese fabless chipmaker, which provides large-scale integration systems essential for smartphones, flat-screen TVs and other electronic devices. The company&#39;s strength is ...",https://asia.nikkei.com/Companies/MediaTek-Inc,Nikkei Asia,2017-07-27T07:17:00.0000000Z
Vivo X200 series to feature long range offline connectivity and first ever <b>MediaTek</b> Dimensity 9400 chip,"The Vivo X200 series smartphone, which will be released on Oct. 14, is expected to feature its latest kilometer-long offline communication tech, a self-developed network-free provision that enables several kilometers of free communication for two or more users of the same device.",https://technode.com/2024/10/08/vivo-x200-series-to-feature-long-range-offline-connectivity-and-first-ever-mediatek-dimensity-9400-chip/,TechNode,2024-10-08T09:42:00.0000000Z
"LG, Razer, And <b>MediaTek</b> Develop BT ULL Tech For Controllers","During the recent webOS Summit, LG showcased its BT ULL-enabled controller in comparison with a standard model. The demonstration highlighted how the ULL",https://www.lowyat.net/2024/334440/lg-razer-mediatek-develop-bt-ull/,Lowyat.net,2024-10-07T10:00:00.0000000Z
Samsung Galaxy M05 launched with <b>MediaTek</b> processor but no 5G support,"The Samsung Galaxy M05 lacks 5G support, which other brands recently began to offer in the sub-Rs 10,000 segment. Reported by: Republic Desk",https://www.republicworld.com/tech/samsung-galaxy-m05-launched-with-mediatek-processor-but-no-5g-support,RepublicWorld,2024-09-13T20:19:00.0000000Z
