Title,Description,URL,Provider,Date Published
<b>NetApp</b>’s Disruptive Vision For The Future Of Data And AI,NetApp new AI vision merges ONTAP-based products with a new disaggregated architecture and new data manipulation and management capabilities.,https://www.forbes.com/sites/stevemcdowell/2024/09/30/netapps-disruptive-vision-for-the-future-of-data-and-ai/,Forbes,2024-09-30T18:47:00.0000000Z
<b>NetApp</b> pioneers IT modernization for federal agencies through intelligent data infrastructure and cost-saving solutions,"NetApp empowers federal agencies with AI-driven intelligent data infrastructure, improving IT operations, decision-making, and reducing costs.",https://siliconangle.com/2024/09/25/intelligent-data-infrastructure-netappinsight/,SiliconANGLE,2024-09-25T16:11:00.0000000Z
<b>NetApp</b> Bolsters Backbone To Boost Intelligent Data Infrastructure,"Specifically styling itself as an (or, indeed, the) intelligent data infrastructure company, <b>NetApp</b> has announced new work in its collaboration with industry partners designed to accelerate AI ...",https://www.forbes.com/sites/adrianbridgwater/2024/09/24/netapp-bolsters-backbone-to-boost-intelligent-data-infrastructure/,Forbes,2024-09-24T15:14:00.0000000Z
<b>NetApp</b> and Domino Data Lab unlock AI with hybrid cloud,"NetApp INSIGHT, Domino Data Lab, provider of the pioneering Enterprise AI Platform trusted by the largest AI-driven companies, and NetApp, the intelligent data infrastructure company, announced",https://www.sourcesecurity.com/news/netapp-domino-data-lab-unlock-ai-co-3852-ga-co-1537871022-ga-co-1725615918-ga.1727349786.html,SourceSecurity,2024-09-26T13:16:00.0000000Z
"<b>NetApp</b>, Inc.","<b>NetApp</b>, Inc. engages in the provision of software, systems, and services to manage and share data on-premises, and private and public clouds worldwide. It operates through Hybrid Cloud and Public ...",https://www.cnn.com/markets/stocks/NTAP,CNN,2020-08-17T08:46:00.0000000Z
<b>NetApp Inc</b>.,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/NTAP,Wall Street Journal,2024-03-04T22:39:00.0000000Z
<b>NetApp</b> Inc. stock outperforms competitors on strong trading day,"Supported by world-class markets data from Dow Jones and FactSet, and partnering with Automated Insights, MarketWatch Automation brings you the latest, most pertinent content at record speed and with unparalleled accuracy. Back To Top",https://www.marketwatch.com/data-news/netapp-inc-stock-outperforms-competitors-on-strong-trading-day-bf53fdee-b3328256ddd4,MarketWatch,2024-10-07T21:06:00.0000000Z
F5 and <b>NetApp</b> Accelerate and Streamline Large Language Model AI Deployments,F5 (NASDAQ: FFIV) and NetApp (NASDAQ: NTAP) today announced an expanded collaboration to accelerate and streamline enterprise AI capabilities using secure multicloud networking solutions from F5 and NetApp’s suite of data management solutions.,https://finance.yahoo.com/news/f5-netapp-accelerate-streamline-large-123000387.html,YAHOO!Finance,2024-09-24T12:30:00.0000000Z
CBRE Wins USD 3mn Contract for <b>NetApp</b> Facilities Management in India,"CBRE has secured a USD 3 million contract for integrated facilities management of NetApp&#39;s 1.07 million square feet office assets in India, encompassing comprehensive services across multiple locations.",https://money.rediff.com/news/market/cbre-wins-usd-3mn-contract-for-netapp-facilities-management-in-india/16834120241008,money.rediff,2024-10-08T10:43:00.0000000Z
<b>NetApp</b> Expands Collaboration with Google Cloud to Provide Data Storage for Distributed Cloud Infrastructure,"SAN JOSE, Calif., Oct. 1, 2024 — <b>NetApp</b> today announced the expansion of its strategic partnership with Google Cloud with the integration of unified data storage and intelligent services into the Google Distributed Cloud architecture. This integration ...",https://www.datanami.com/this-just-in/netapp-expands-collaboration-with-google-cloud-to-provide-data-storage-for-distributed-cloud-infrastructure/,datanami.com,2024-10-01T00:00:00.0000000Z
