Title,Description,URL,Provider,Date Published
<b>Nokia</b> launches new industrial applications to improve worker safety and enhance operational efficiency,Nokia launches new industrial applications to improve worker safety and enhance operational efficiency,https://www.manilatimes.net/2024/10/09/tmt-newswire/globenewswire/nokia-launches-new-industrial-applications-to-improve-worker-safety-and-enhance-operational-efficiency/1981552,manilatimes,2024-10-09T07:17:00.0000000Z
"Airtel, <b>Nokia</b> Kickstart &#39;Green 5G&#39; Initiative for Mobile Network","Bharti Airtel and Nokia have announced a groundbreaking collaboration on “Green 5G”, an initiative aimed at introducing energy-efficient solutions and",https://www.thefastmode.com/technology-solutions/37622-airtel-nokia-kickstart-green-5g-initiative-for-mobile-network,Deep,2024-10-09T02:49:00.0000000Z
Airtel-<b>Nokia</b> &#39;Green 5G&#39; initiative to cut carbon emissions by 1.4 lakh metric tonnes of CO2 annually,"The project will focus on enhancing energy efficiency across Airtel&#39;s extensive 4G/5G Radio Access Network (RAN) by leveraging technologies like artificial intelligence and machine learning, as well as a suite of advanced software features and innovative solutions,",https://www.msn.com/en-in/money/news/airtel-nokia-green-5g-initiative-to-cut-carbon-emissions-by-14-lakh-metric-tonnes/ar-AA1rSAwy,Republic Business on MSN.com,2024-10-08T09:28:00.0000000Z
Airtel India and <b>Nokia</b> Launch Green 5G Initiative,"Airtel and Nokia collaborate on Green 5G, aiming to cut carbon emissions by 143,413 metric tons through energy-efficient mobile networks",https://www.deccanchronicle.com/business/in-other-news/airtel-india-and-nokia-launch-green-5g-initiative-1829019,Deccan Chronicle,2024-10-08T13:55:00.0000000Z
"Airtel and <b>Nokia</b> partner to cut mobile network emissions, shares trade flat","Bharti Airtel and Nokia collaborate on &quot;Green 5G&quot; to reduce carbon emissions, enhancing energy efficiency with AI/ML technologies.",https://www.thehindubusinessline.com/markets/stock-markets/airtel-and-nokia-partner-to-cut-mobile-network-emissions-shares-trade-flat/article68731850.ece,Business Line,2024-10-08T10:19:00.0000000Z
Bharti Airtel to take <b>Nokia</b>&#39;s help to reduce network carbon emissions under Green 5G initiative,"This ambitious project aims to improve energy efficiency across Airtel&#39;s extensive 4G/5G Radio Access Network by using AI/ML technologies, advanced software features, and innovative solutions.",https://www.moneycontrol.com/news/business/bharti-airtel-to-take-nokias-help-to-reduce-network-carbon-emissions-under-green-5g-initiative-12837924.html,moneycontrol.com,2024-10-08T07:15:00.0000000Z
"“We’re the best kept secret in data centre and cloud,” says <b>Nokia</b> at Connected Britain","At this year’s Connected Britain, we caught up with Nokia’s Head of Cloud Infrastructure Business, Europe, Paul Alexander to discuss how AI is driving investment in the cloud and data centre sectors, how security requirements are evolving, and how regulators are doing their best to keep up!",https://totaltele.com/were-the-best-kept-secret-in-data-centre-and-cloud-says-nokia-at-connected-britain/,Total Telecom,2024-10-08T15:07:00.0000000Z
<b>Nokia</b> G42 5G,"20,000. Here are the best deals on smartphones under Rs. 20,000 during the Amazon Great Indian Festival sale. <b>Nokia</b> G42 5G mobile was launched on 11th September 2023. The phone comes with a 90 Hz refresh rate 6.56-inch touchscreen display offering a ...",https://www.gadgets360.com/nokia-g42-5g-price-in-india-118414,gadgets360,2023-09-11T00:00:00.0000000Z
<b>Nokia</b> and Centranet trial brings 50G PON speeds to tribal nation in rural Oklahoma,Press ReleaseNokia and Centranet trial brings 50G PON speeds to tribal nation in rural OklahomaDemonstration of Nokia 50G PON solution enables,https://markets.businessinsider.com/news/stocks/nokia-and-centranet-trial-brings-50g-pon-speeds-to-tribal-nation-in-rural-oklahoma-1033828986,Business Insider,2024-10-08T16:32:00.0000000Z
<b>Nokia</b> 235 4G (2024),Body Dimensions 127.3 x 54.2 x 11.6 mm (5.01 x 2.13 x 0.46 in),https://www.gsmarena.com/nokia_235_4g_(2024)-12967.php,GSM Arena,2024-05-02T15:18:00.0000000Z
