Title,Description,URL,Provider,Date Published
iPhone 17: Big leaks about the display technology,"Just after the launch of the iPhone 16 series, experts already started to speculate about the next year&#39;s variant from Apple. Said to be named the iPhone 17 Air, the device is said to feature advanced display technology which has never been seen before.",https://www.indiatvnews.com/technology/news/iphone-17-big-leaks-about-the-display-technology-revealed-2024-10-08-956139,India TV,2024-10-08T13:34:00.0000000Z
iPhone 17 Air to feature new OLED screens made by <b>Novatek</b>,Apple could be sourcing a new type of OLED display for its rumored iPhone 17 Air from a Taiwanese company called Novatek.,https://www.msn.com/en-us/news/technology/iphone-17-air-to-feature-new-oled-screens-made-by-novatek/ar-AA1rMWvN,Android Headlines on MSN.com,2024-10-06T17:40:00.0000000Z
iPhone 17 Slim: Key details and will it become the most expensive iPhone of 2025?,"Aside from this, considering it is expected to be a premium offering in the lineup, we can expect Apple to bundle advanced AI features and top-end internals. Having said that, 2025 looks to be an interesting year for the Cupertino tech giant, with the iPhone SE 4, a new Apple Watch Ultra, and more planned.",https://tech.hindustantimes.com/mobile/news/iphone-17-slim-key-details-and-will-it-become-the-most-expensive-iphone-of-2025-71728374520370.html,Hindustan Times Tech,2024-10-08T19:53:00.0000000Z
iPhone 17 Air tipped to feature new OLED display technology- All details,"iPhone 17 Air may come with a new OLED display technology, with production starting in the second quarter of 2025.",https://www.msn.com/en-in/news/other/iphone-17-air-tipped-to-feature-new-oled-display-technology-all-details/ar-AA1rO4KP,Hindustan Times Tech on MSN.com,2024-10-07T16:26:00.0000000Z
"iPhone 17 Slim leaks, said to cost more than iPhone 17 Pro Max","Apple is tipped to introduce a new model next year, called iPhone 17 Slim. Now, this smartphone has been in leaks for months now, but a fresh report suggests that it will have a new type of OLED display and will be costlier than the iPhone 17 Pro Max.",https://www.indiatoday.in/technology/news/story/iphone-17-slim-leaks-said-to-cost-more-than-iphone-17-pro-max-2612515-2024-10-07,India Today,2024-10-07T08:25:00.0000000Z
This Technology Could Pave the Way for the &#39;iPhone 17 Air&#39; Next Year,Taiwanese company Novatek has announced plans to begin mass production of OLED displays with TDDI (touch and display driver integration),https://www.macrumors.com/2024/10/04/oled-tddi-iphones-rumor/,MacRumors,2024-10-04T14:53:00.0000000Z
<b>Novatek Microelectronics</b> Corp. (3034.TW),"As of 12:03 PM GMT+8. Market Open. Japan’s stock markets have shown mixed performance recently, with the Nikkei 225 Index gaining 0.5% while the broader TOPIX Index declined by 1.0%. Amid this ...",https://finance.yahoo.com/quote/3034.TW/news/,Yahoo Finance,2024-09-27T00:00:00.0000000Z
Apple’s iPhone 17 Air is one step closer to becoming a reality,A new display technology could be responsible for making the upcoming iPhone 17 Air truly thin. Here&#39;s what we know about it so far.,https://bgr.com/tech/apples-iphone-17-air-is-one-step-closer-to-becoming-a-reality/,BGR,2024-10-04T18:06:00.0000000Z
<b>Novatek Microelectronics Corp</b>.,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/TW/3034,Wall Street Journal,2024-09-20T00:00:00.0000000Z
iPhone 17 Air to Feature New OLED Technology: Details Leaked,"Phone 17 Air may feature advanced OLED display technology, making it slimmer and lighter. Production is set to start in mid-2025.",https://www.thehansindia.com/tech/iphone-17-air-to-feature-new-oled-technology-details-leaked-912672,The Hans India,2024-10-07T14:34:00.0000000Z
<b>Novatek</b> Adopts CEVA&#39;s Latest Sensor Hub DSP for New Multi-sensor IP Camera SoC,"ROCKVILLE, MD - December 5, 2022 – CEVA, Inc. (NASDAQ: CEVA), the leading licensor of wireless connectivity and smart sensing technologies and co-creation solutions today announced that <b>Novatek</b> Microelelctonics Corp, a leading fabless chip design company ...",https://www.design-reuse.com/news/53125/novatek-ceva-sensor-hub-dsp-multi-sensor-ip-camera-soc.html,Design-Reuse,2022-12-05T12:07:00.0000000Z
"India Refuses to Buy LNG From Sanctioned Russian Arctic LNG 2 Project, Oil Secretary says","India&#39;s Oil Secretary Pankaj Jain confirmed that the country will not buy LNG from the Arctic LNG 2 project, impacted by Western sanctions.",https://united24media.com/latest-news/india-refuses-to-buy-lng-from-sanctioned-russian-arctic-lng-2-project-oil-secretary-says-2636,united24media,2024-09-27T10:00:00.0000000Z
Russia gas output slumping below pre-war level,"That leaves Russian gas output close to the government’s 10% annual growth target, as the Kremlin seeks to bolster revenues to fund its war in Ukraine. But that’s still below production in 2021, the last year before the invasion.",https://www.stripes.com/theaters/europe/2024-10-02/russia-gas-output-pre-war-level-15380942.html,Stars and Stripes,2024-10-02T15:00:00.0000000Z
A former Norwegian tanker now smuggles Russian LNG across the Arctic,"The 277 meter long Everest Energy is one of the carriers that take part in Russia’s covert efforts to ship liquified natural gas from the sanctions-ridden Arctic LNG 2 project. Along with a fleet of at least seven vessels, the Everest Energy is involved ...",https://www.thebarentsobserver.com/en/2024/09/former-norwegian-tanker-now-smuggles-russian-lng-across-arctic,thebarentsobserver.com,2024-09-08T23:59:00.0000000Z
Russia Lifts Gas Output But 2024 Flow Seen Below Pre-War Level,"Russian natural gas output rose almost 9% during the first nine months of this year, putting it on track to meet a government target but still far short of levels before the invasion of Ukraine.",https://www.bnnbloomberg.ca/investing/2024/10/02/russia-lifts-gas-output-but-2024-flow-seen-below-pre-war-level/,bnnbloomberg,2024-10-02T14:02:00.0000000Z
"India Will Not Buy From Russia&#39;s Sanctioned Arctic LNG 2 Project, Oil Secretary Says","India Will Not Buy From Russia&#39;s Sanctioned Arctic LNG 2 Project, Oil Secretary Says NEW DELHI (Reuters) - India will not buy liquefied natural gas (LNG) produced from Russia&#39;s Arctic LNG 2 ...",https://www.usnews.com/news/world/articles/2024-09-27/india-will-not-buy-from-russias-sanctioned-arctic-lng-2-project-oil-secretary-says,U.S. News &amp; World Report,2024-09-27T00:00:00.0000000Z
<b>Novatek</b> PAO,"Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day. Reuters provides business, financial ...",https://www.reuters.com/company/novatek-pao/,Reuters,2024-08-30T00:00:00.0000000Z
Will not buy oil from Russia&#39;s sanctioned Arctic LNG 2 project: Oil Secy,"India will not buy liquefied natural gas (LNG) produced from Russia&#39;s Arctic LNG 2 project, which is sanctioned by Western countries, Oil Secretary Pankaj Jain said on Friday. &quot;We will not buy (supply from) Arctic LNG 2.",https://www.msn.com/en-in/money/markets/will-not-buy-oil-from-russia-s-sanctioned-arctic-lng-2-project-oil-secy/ar-AA1rjqMb,MSN,2024-09-27T10:41:00.0000000Z
iPhone 17 Slim will use a new thinner OLED display from a lesser-known Taiwanese brand,The iPhone 17 Slim could feature a thinner OLED display thanks to a new touch and display driver integration (TDDI) technology.,https://www.gizmochina.com/2024/10/05/iphone-17-slim-will-use-a-new-thinner-oled-display-from-a-lesser-known-taiwanese-brand/,Gizmochina,2024-10-05T01:45:00.0000000Z
"iPhone 17 Slim reportedly in development, could feature a new display technology: All the details","iPhone 17 Slim reportedly in development, could feature a new display technology: All the detailsApple is tipped to launch a new variant in its iPhone 17 series named the iPhone 17 Slim next year. It is expected to come with a new type of OLED display, which will help in maintaining a thin profile.",https://www.moneycontrol.com/technology/iphone-17-slim-reportedly-in-development-could-feature-a-new-display-technology-all-the-details-liveblog-12838305.html,moneycontrol.com,2024-10-08T17:05:00.0000000Z
India will not buy from Russia&#39;s sanctioned Arctic LNG 2 project,"India will not buy liquefied natural gas (LNG) produced from Russia&#39;s Arctic LNG 2 project, which is sanctioned by Western countries, Oil Secretary Pankaj Jain said on Friday.",http://gasprocessingnews.com/news/2024/09/india-will-not-buy-from-russias-sanctioned-arctic-lng-2-project/,gasprocessingnews,2024-09-27T17:15:00.0000000Z
Russia&#39;s <b>Novatek</b> launches new condensate unit at Ust-Luga complex,Russian energy company Novatek has launched the new processing unit at its gas condensate complex at the Baltic Sea port of Ust-Luga in the last third of the August.,https://www.hydrocarbonprocessing.com/news/2024/09/russias-novatek-launches-new-condensate-unit-at-ust-luga-complex/,Hydrocarbon Processing,2024-09-25T15:50:00.0000000Z
India Snubs Gas Purchases From Russia&#39;s Sanctioned Project,"It is noted that the project run by Russia&#39;s Novatek is subject to international sanctions over the war of aggression Russia is waging against Ukraine. The U.S. slapped sanctions on hundreds of entities and individuals for supporting Russia&#39;s war, including companies backing the development of Arctic LNG 2 project and its LNG shipments.",https://menafn.com/1108722353/India-Snubs-Gas-Purchases-From-Russias-Sanctioned-Project,Mena FN,2024-09-27T10:24:00.0000000Z
The Mumbai Apartment Behind Russian Efforts to Break US Gas Sanctions,"Both view China, the world’s biggest buyer, as a key client. After Western engineers pulled out in the wake of the Ukraine invasion, <b>Novatek</b> PJSC — the private company that owns 60% of the venture that manages Arctic LNG 2 — had to complete the ...",https://www.bnnbloomberg.ca/investing/2024/09/19/the-shadow-fleet-transporting-sanctioned-gas-for-russia/,bnnbloomberg,2024-09-19T00:00:00.0000000Z
Tanker ships condensate from Russia&#39;s Arctic LNG 2 to port of Vitino,A tanker has begun making shipments of gas condensate to the Arctic port of Vitino from the Arctic LNG 2 project.,http://gasprocessingnews.com/news/2024/09/tanker-ships-condensate-from-russias-arctic-lng-2-to-port-of-vitino/,gasprocessingnews,2024-09-26T15:50:00.0000000Z
UK Bars Five More LNG Ships Linked to Russia,"PAO <b>Novatek</b>’s Arctic LNG 2, located in the Gydan Peninsula, is planned to produce 19.8 million metric tons per annum (MMtpa), or 535,000 barrels of oil equivalent per day, according to ...",https://www.rigzone.com/news/uk_bars_five_more_lng_ships_linked_to_russia-27-sep-2024-178237-article/,Rigzone,2024-09-27T13:28:00.0000000Z
Ukraine drones hit St Petersburg gas terminal in Russia,"Regarding the explosion near St Petersburg, regional governor Alexander Drozdenko said a &quot;high alert regime&quot; was in place after the incident at the terminal of gas producer <b>Novatek</b>, in Ust-Luga on ...",https://www.bbc.com/news/world-europe-68046347,BBC,2024-01-21T00:00:00.0000000Z
iPhone 17 Air to feature ultra-thin display technology from <b>Novatek</b>: What we know so far,"Apple may be gearing up for another significant leap in smartphone design with the anticipated iPhone 17 Air, which may feature an ultra-thin display developed in collaboration with Novatek. This model is expected to replace the Plus variant in Apple’s lineup,",https://www.financialexpress.com/life/technology-iphone-17-air-to-feature-ultra-thin-display-technology-from-novatek-what-we-know-so-far-3632949/,The Financial Express,2024-10-07T11:15:00.0000000Z
The iPhone 17 Air could be first in line for this cutting-edge display technology,"If the leaks to date are to be believed, the iPhone 16 Plus will be replaced by the iPhone 17 Air, and the latest rumor coming out of Apple&#39;s supply chain is that the 2025 flagship phone will have an upgraded display attached.",https://www.msn.com/en-us/news/other/the-iphone-17-air-could-be-first-in-line-for-this-cutting-edge-display-technology/ar-AA1rKuvX,TechRadar on MSN.com,2024-10-05T14:30:26.0000000Z
India will not buy from Russia&#39;s sanctioned Arctic LNG 2 project: Oil secretary Pankaj Jain,"India will not purchase liquefied natural gas from Russia&#39;s Arctic LNG 2 project, which is under Western sanctions due to the conflict in Ukraine. Oil Secretary Pankaj Jain confirmed that India avoids any sanctioned commodities.",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-will-not-buy-from-russias-sanctioned-arctic-lng-2-project-oil-secretary-pankaj-jain/articleshow/113731006.cms,Indiatimes,2024-09-27T07:42:00.0000000Z
The Indian Apartment Behind Russian Efforts to Break US Gas Sanctions,"Both view China, the world’s biggest buyer, as a key client. After Western engineers pulled out in the wake of the Ukraine invasion, <b>Novatek</b> PJSC — the private company that owns 60% of the venture that manages Arctic LNG 2 — had to complete the build ...",https://uk.finance.yahoo.com/news/shadow-fleet-transporting-sanctioned-gas-030127349.html,Yahoo Finance,2024-09-19T00:28:00.0000000Z
"Apple iPhone 17 Slim Rumors Point to Sleek Design, New Display and Premium Pricing",Leaks suggest that Apple’s upcoming iPhone 17 Slim could feature a new OLED display technology for a thinner profile and might come with a higher price tag than the iPhone 17 Pro Max. Here’s what we know so far.,https://www.gizbot.com/mobile/news/iphone-17-slim-leaks-point-to-new-oled-display-higher-price-103315.html,GIZBOT,2024-10-07T11:31:00.0000000Z
iPhone 17 Air May Feature an Ultra-Thin Display From <b>Novatek</b>: Report,"As per a report by Digitimes, Taiwan&#39;s leading display driver IC (DDI) manufacturer, Novatek, has announced plans to start mass production of its OLED TDDI technology display in the second quarter of next year. Apple is believed to be one of the early adopters of this display technology.",https://www.gadgets360.com/mobiles/news/iphone-17-air-novatek-display-oled-tddi-apple-report-6734857,gadgets360,2024-10-07T09:41:00.0000000Z
Weekly news roundup: Samsung delays fabs construction amid semiconductor slowdown,"Micron is capitalizing on the growing demand for AI-driven data centers, projecting the high-bandwidth memory (HBM) market to surpass $25 billion by 2025. The company reported a 93% year-on-year revenue jump in Q4 FY2024, driven by strong DRAM and HBM sales.",https://www.digitimes.com/news/a20241006VL200/digitimes-asia-samsung-hbm-intel-packaging.html,Digi Times,2024-10-07T01:36:00.0000000Z
Apple&#39;s upcoming iPhone 17 Slim could feature a new display technology,"Apple&#39;s rumored iPhone 17 &#39;Slim&#39; is expected to feature a new TDDI OLED technology developed by Novatek, which could lead to an exceptionally thin des",https://timesofindia.indiatimes.com/technology/tech-news/apples-upcoming-iphone-17-slim-could-feature-a-new-display-technology/articleshow/113980466.cms,Indiatimes,2024-10-06T06:45:00.0000000Z
Dynagas LNG: Speculative LNG Idea With A Robust Balance Sheet And Impressive Backlog; Rating Unchanged,"Investors are intrigued by Dynagas&#39; common shares and preferred units, despite risks like aging fleets and Russian sanctions. Read more on DLNG stock here.",https://seekingalpha.com/article/4725541-dynagas-lng-speculative-lng-idea-with-a-robust-balance-sheet-and-impressive-backlog-rating-unchanged,Seeking Alpha,2024-10-08T08:49:00.0000000Z
India not to buy LNG from Russia Arctic 2 project: Secretary,"India has decided not to purchase liquefied natural gas (LNG) from Russia’s Arctic LNG 2 project, which is under Western sanctions, said petroleum an",https://www.newindianexpress.com/business/2024/Sep/28/india-not-to-buy-lng-from-russia-arctic-2-project-secretary,The New Indian Express,2024-09-27T21:26:00.0000000Z
Delhi Customs Seize 26 iPhone 16 Pro Max From Passenger At Airport,"As many as 26 recently-launched iPhone 16 Pro Max have been seized by the customs officials from a woman passenger at the international airport here, officials said.",https://www.ndtv.com/delhi-news/delhi-customs-officials-seize-26-iphone-16-pro-max-from-passenger-at-airport-6697791,NDTV,2024-10-02T05:06:00.0000000Z
iPhone 17 Air — new report says it will launch in 2025 with breakthrough OLED display,"The report comes from the Asian paper DigiTimes, shared by MacRumors, which claims that the new TDDI displays will start production in the second quarter of 2025. According to the report, Apple is &quot;expected&quot; to be one of Novatek&#39;s first customers.",https://www.msn.com/en-us/news/other/iphone-17-air-new-report-says-it-will-launch-in-2025-with-breakthrough-oled-display/ar-AA1rIw3B,Tom&#39;s Guide on MSN.com,2024-10-04T17:47:36.0000000Z
Tech Shares May Boost Taiwan Stock Market,The Taiwan stock market has alternated between positive and negative finishes through the last four trading days since the end of the,https://markets.businessinsider.com/news/stocks/tech-shares-may-boost-taiwan-stock-market-1033829484,Business Insider,2024-10-09T00:16:00.0000000Z
Sanctioned Russian tanker heading to new LNG facility to pick up load,"The vessel was placed under sanctions earlier this year, and the entire Arctic LNG 2 facility was reportedly placed under US sanctions last year. Multiple media outlets have reported both the ...",https://finance.yahoo.com/news/sanctioned-russian-tanker-heading-lng-105654858.html,Yahoo Finance,2024-09-06T06:56:00.0000000Z
