Title,Description,URL,Provider,Date Published
<b>Oracle</b> investment to boost digital economy,United States-based Oracle Corp’s investment of over US$6.5bil (RM27bil) in Malaysia is expected to nurture the country’s next-generation digital talent and strengthen its digital economy.,https://www.thestar.com.my/business/business-news/2024/10/03/oracle-investment-to-boost-digital-economy,The Star,2024-10-02T20:35:00.0000000Z
<b>Oracle</b> to invest more than US$6.5bil in AI and cloud computing in Malaysia,Oracle today announced that it plans to invest more than US$6.5 billion (US$1 = RM4.15) to open a public cloud region in Malaysia to meet the rapidly growing demand for its artificial intelligence (AI) and cloud services here.,https://www.thestar.com.my/business/business-news/2024/10/02/oracle-to-invest-more-than-us65bil-in-ai-and-cloud-computing-in-malaysia,The Star,2024-10-02T01:26:00.0000000Z
"APRO <b>Oracle</b> raises $3M in seed round led by Polychain Capital, Franklin Templeton, and ABCDE Capital","APRO Oracle, the leading oracle in the Bitcoin ecosystem and one of the fastest-growing projects in the Web3 industry, is thrilled to announce the successful completion of a $3 million seed funding ro",https://cointelegraph.com/press-releases/apro-oracle-secures-3m-seed-funding-to-pioneer-new-standards-for-decentralized-oracles,CoinTelegraph,2024-10-07T15:29:00.0000000Z
"<b>Oracle</b> to invest over US$6.5 bln in AI, cloud computing in Malaysia",Oracle today announced that it plans to invest more than US$6.5 billion (US$1 = RM4.15) to open a public cloud region in Malaysia to meet the rapidly growing demand for its artificial intelligence (AI) and cloud services here.,https://www.theborneopost.com/2024/10/02/oracle-to-invest-over-us6-5-bln-in-ai-cloud-computing-in-malaysia/,The Borneo Post,2024-10-02T02:57:00.0000000Z
Hitachi Becomes First <b>Oracle</b> Partner in Japan to Win Regional Best in Class Award in the Customer Success Category in the 2024 <b>Oracle</b> Partner Awards,"Hitachi, Ltd. won the Regional Best in Class Award(1) in the Customer Success category at the &quot;2024 Oracle Partner Awards(2)&quot;, becoming the first company from Japan(3) to win this accolade. This award is given to the best-of-the-best vendor within Oracle&#39;s global partner ecosystem,",https://www.asiaone.com/business/hitachi-becomes-first-oracle-partner-japan-win-regional-best-class-award-customer-success,Asia One,2024-09-27T05:18:00.0000000Z
<b>Oracle</b> Financial Services Software <b>Share Price</b>,"<b>Oracle</b> Financial Services Software Ltd., incorporated in the year 1989, is a Large Cap company (having a market cap of Rs 94,959.86 Crore) operating in IT Software sector. <b>Oracle</b> Financial Services Software Ltd. key Products/Revenue Segments include ...",https://economictimes.indiatimes.com/oracle-financial-services-software-ltd/stocks/companyid-3160.cms,Indiatimes,2024-10-04T00:00:00.0000000Z
"Lauding move, PM Anwar says <b>Oracle</b>’s RM27b investment a vote of global tech companies’ confidence in Malaysia",Prime Minister Datuk Seri Anwar Ibrahim said Oracle’s investment decision reflects the confidence and commitment of global technology companies,https://www.malaymail.com/news/malaysia/2024/10/02/lauding-move-pm-anwar-says-oracles-rm27b-investment-a-vote-of-global-tech-companies-confidence-in-malaysia/152369,malaymail,2024-10-02T07:56:00.0000000Z
<b>Oracle</b> to set up cloud region in Malaysia through a USD6.5 billion investment,Oracle is the latest tech giant that going to construct multi-billion ringgit AI and cloud infrastructure in Malaysia.,https://soyacincau.com/2024/10/02/oracle-cloud-region-malaysia-multi-billion-investment/,SoyaCincau,2024-10-02T06:48:00.0000000Z
"<b>Oracle</b> buries the hatchet with AWS, bringing its database to the world’s top cloud platform","<b>Oracle</b> Corp. dropped a bombshell today with the news that it has put aside its longstanding differences with Amazon Web Services Inc., forming a “strategic partnership” with its former enemy ...",https://siliconangle.com/2024/09/09/oracle-buries-hatchet-aws-bringing-database-worlds-top-cloud-platform/,SiliconANGLE,2024-09-10T01:53:00.0000000Z
<b>Oracle</b> Corporation,"<b>Oracle</b> Corp. engages in the provision of products and services that address aspects of corporate information technology environments, including applications and infrastructure technologies.",https://www.cnn.com/markets/stocks/ORCL,CNN,2023-09-27T03:37:00.0000000Z
