Title,Description,URL,Provider,Date Published
<b>Pegatron Corp</b>.,"<b>Pegatron</b> is the second-largest contract electronics manufacturer in Taiwan, after Hon Hai Precision Industry, better known as Foxconn Technology Group. <b>Pegatron</b>&#39;s total assets exceed $14 billion.",https://asia.nikkei.com/Companies/Pegatron-Corp,Nikkei Asia,2017-09-13T13:08:00.0000000Z
Apple Aims to Open Four New Retail Stores in India By Late 2025,Apple is working to open four new retail locations in India by the end of 2025 but will that help cut down on the number of new iPhones being smuggled into the country?,https://www.mactrast.com/2024/10/apple-aims-to-open-four-new-retail-stores-in-india-by-late-2025/,Mactrast,2024-10-08T12:25:00.0000000Z
<b>Pegatron Corp</b>.,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/TW/XTAI/4938,Wall Street Journal,2024-05-14T22:09:00.0000000Z
Work to resume at India iPhone plant after factory fire,MUMBAI: An Indian factory producing iPhone components was resuming work on Thursday (Oct 3) after a fire that halted production -- the third blaze to disrupt Apple&#39;s local supply chain since the start of last year.,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/10/03/work-to-resume-at-india-iphone-plant-after-factory-fire,The Star,2024-10-03T10:24:00.0000000Z
iPhone manufacturer <b>Pegatron</b> starts business operations in India,"<b>Pegatron</b> has appointed BSR &amp; Co as statutory auditors for the first year of operations ending March 31, 2021 while Akhilesh Bansal and Chui Tan Lin, chief operating officer of <b>Pegatron</b> Corp Taiwan, have been appointed directors of the India subsidiary ...",https://economictimes.indiatimes.com/tech/hardware/iphone-manufacturer-pegatron-starts-business-ops-in-india/articleshow/78094280.cms,Indiatimes,2020-09-14T02:12:00.0000000Z
"IndoSpace plans to raise investment up to Rs 4,500 Cr in logistics, warehouse parks in TN","The investment is expected to create over 8,000 new jobs, besides accelerating economic growth and enhancing the state&#39;s industrial infrastructure, the company said.",https://yourstory.com/2024/10/indospace-raise-investment-rs-4500-crore-logistics-warehouse-parks-tamil-nadu,Your Story,2024-10-08T08:26:00.0000000Z
"Apple to open four new stores in India, manufacture all iPhone 16 Series models locally","Apple is expanding its India presence by opening new stores in four major cities. Additionally, the company is manufacturing its latest and premium models in the country for the first time.",https://www.indiatvnews.com/technology/news/apple-to-open-four-new-stores-in-india-manufacture-all-iphone-16-series-models-locally-2024-10-04-955440,India TV,2024-10-04T07:02:00.0000000Z
Apple plans to open four new stores in India,"Apple is manufacturing the entire iPhone 16 lineup, including the iPhone 16 Pro and iPhone 16 Pro Max in India.",https://www.msn.com/en-us/money/technology/apple-plans-to-open-four-new-stores-in-india/ar-AA1rIGmr,GlobalData on MSN.com,2024-10-04T16:07:18.0000000Z
Factbox-Past disruptions at Apple facilities in India,"A fire at a major Tata Electronics plant manufacturing components for Apple iPhones in southern India halted production on Saturday, the latest in a series of incidents disrupting Apple&#39;s facilities in the region.",https://sg.finance.yahoo.com/news/factbox-past-disruptions-apple-facilities-114909215.html,Yahoo Finance,2024-09-28T07:49:00.0000000Z
"Apple Plans Expanding iPhone Stores In India , iPhone 16 Manufacturing To Begin","Apple is gearing up to expand its retail presence with plans to open more stores across India, following the success of its initial stores in Mumbai and Delhi, which debuted in April 2023. In the latest development on the iPhone 16 series launch that includes four models – the iPhone 16, iPhone 16 Plus, iPhone 16 Pro, and iPhone 16 Pro Max.",https://www.newsx.com/tech-and-auto/apple-plans-expanding-iphone-stores-in-india-iphone-16-manufacturing-to-begin/,NewsX,2024-10-04T06:42:00.0000000Z
"Vietnamese authorities say Typhoon Yagi has killed at least 4, injured dozens","Haiphong is an industrial hub, home to large factories, including EV maker VinFast and Apple supplier <b>Pegatron</b>. The typhoon has also triggered power outages in large parts of Quang Ninh and Thai ...",https://www.detroitnews.com/story/news/world/2024/09/07/vietnamese-officials-say-typhoon-yagi-has-killed-at-least-4-injured-dozens/75119881007/,Detroit News,2024-09-07T00:00:00.0000000Z
"At least 4 dead after Typhoon Yagi makes landfall in Vietnam, prompting evacuations and airport closures","Haiphong is an industrial hub, home to large factories, including EV maker VinFast and Apple supplier <b>Pegatron</b>. The typhoon has also triggered power outages in large parts of Quang Ninh and Thai ...",https://www.cbsnews.com/news/typhoon-yagi-landfall-vietnam-evacuations-closures/,CBS News,2024-09-07T12:41:00.0000000Z
Apple Made Another Strategic Expansion in India: An Emerging Threat to Android’s Market Dominance,The skyrocketing demand for iPhones in India has prompted Apple to open four new retail stores while also manufacturing 16 Pro models.,https://dazeinfo.com/2024/10/04/apples-strategic-expansion-in-india-making-iphones-no-more-a-premium-dream-for-indian-consumers/,Dazeinfo,2024-10-04T11:23:00.0000000Z
"Typhoon Yagi has killed at least 4 and injured 78 others, Vietnamese authorities say","Haiphong is an industrial hub, home to large factories, including EV maker VinFast and Apple supplier <b>Pegatron</b>. The typhoon has also triggered power outages in large parts of Quang Ninh and Thai ...",https://www.washingtontimes.com/news/2024/sep/7/typhoon-yagi-has-killed-at-least-4-and-injured-78-/,Washington Times,2024-09-07T00:00:00.0000000Z
"IT Minister Ashwini Vaishnaw Makes Bold Statement on iPhone India Launch, Highlights &#39;Make in India&#39; Success&quot;","Tata Electronics, which runs two plants for Apple, is the biggest job creator in the Apple ecosystem, along with Foxconn and <b>Pegatron</b>. As tech giants like Apple continue to shift iPhone manufacturing to India amid political stability and friendly ...",https://zeenews.india.com/technology/iphone-16-series-india-launch-it-minister-ashwini-vaishnaw-makes-bold-statement-make-in-india-success-2791289.html,India.com,2024-09-11T02:55:00.0000000Z
Typhoon Yagi makes landfall in northern Vietnam. Authorities shutter airports and order evacuations.,"Haiphong is an industrial hub, home to large factories, including EV maker VinFast and Apple supplier <b>Pegatron</b>. The typhoon has also triggered power outages in large parts of Quang Ninh and Thai ...",https://www.bostonglobe.com/2024/09/07/world/typhoon-yagi-vietnam/,The Boston Globe,2024-09-07T07:20:00.0000000Z
iPhone 16 now Made in India: A major milestone in global launch,New Delhi: Union Electronics and IT Minister Ashwini Vaishnaw on Tuesday said Apple’s latest iPhone 16 is being produced and launched globally from the Indian manufacturing plants. The ‘Make ...,https://www.thehansindia.com/news/national/iphone-16-now-made-in-india-a-major-milestone-in-global-launch-905851,The Hans India,2024-09-11T01:38:00.0000000Z
iPhone 16 being launched globally from Indian factories: Vaishnaw,"Tata Electronics, which runs two plants for Apple, is the biggest job creator in the Apple ecosystem, along with Foxconn and <b>Pegatron</b>. As tech giants like Apple continue to shift iPhone manufacturing to India amid political stability and friendly ...",https://sambadenglish.com/national-international-news/india/iphone-16-being-launched-globally-from-indian-factories-vaishnaw-7058919,sambadenglish,2024-09-10T23:08:00.0000000Z
Indian Authorities Investigating Fire at iPhone Parts Factory,"Authorities in Tamil Nadu are investigating a fire that broke out on September 28th at a former Pegatron factory that supplies iPhone components in Hosur, India.",https://www.mactrast.com/2024/09/indian-authorities-investigating-fire-at-iphone-parts-factory/,Mactrast,2024-09-30T12:57:00.0000000Z
Electronic manufacturer Jabil to invest Rs 2000 crore in Tamil Nadu,"With this investment, Tamil Nadu will now host all major Apple suppliers, including Foxconn, <b>Pegatron</b>, Tata Electronics, and Jabil. Other notable Apple suppliers operating in Tamil Nadu include ...",https://www.newindianexpress.com/business/2024/Sep/10/electronic-manufacturer-jabil-to-invest-rs-2000-crore-in-tamil-nadu,The New Indian Express,2024-09-10T08:58:00.0000000Z
"Apple may need to turn to China after Indian Tata plant fire, sources say","Apple has been diversifying beyond China but last year separate fire incidents in India caused suppliers Foxlink and <b>Pegatron</b> to briefly halt operations, with authorities finding much of the fire ...",https://www.thestar.com.my/aseanplus/aseanplus-news/2024/10/02/apple-may-need-to-turn-to-china-after-indian-tata-plant-fire-sources-say,The Star,2024-10-02T14:37:00.0000000Z
Apple hits $5 billion in iPhone exports from India due to PLI scheme,"Tata Electronics, which runs two plants for Apple, is the biggest job creator in the Apple ecosystem, along with Foxconn and <b>Pegatron</b>.",https://telanganatoday.com/apple-hits-5-billion-in-iphone-exports-from-india-due-to-pli-scheme,Telangana Today,2024-09-11T13:12:00.0000000Z
"Apple plans 4 more retail stores in India, officially begins making iPhone 16 Pro, Pro Max","Analysts suggested that Apple&#39;s retail expansion was prompted by the success of its two stores in Delhi and Mumbai, which significantly contributed to the company&#39;s overall sales in the country",https://www.moneycontrol.com/technology/mc-exclusive-apple-plans-4-more-retail-stores-in-india-officially-begins-making-iphone-16-pro-pro-max-article-12835184.html,moneycontrol.com,2024-10-04T03:11:00.0000000Z
Taiwan Excellence Showcases 10 Premiere Taiwanese Brands at Automotive USA 2024,"To attend the Executive Forum, Automotive USA 2024 attendees and media are encouraged to RSVP in advance. The Taiwan Excellence Pavilion will be open to media and show attendees from 8 a.m. to 5 p.m. on October 22 and 23 in Booth No. 23 in the Atrium at Huntington Place in Detroit.",https://finance.yahoo.com/news/taiwan-excellence-showcases-10-premiere-141700660.html,YAHOO!Finance,2024-10-07T14:17:00.0000000Z
"IndoSpace Set To Boost Tamil Nadu’s Manufacturing Hub With Rs 4,500 Crore Investment","IndoSpace emphasized that its new parks will support thriving sectors such as automobiles and electronics, paving the way for job creation and economic growth.",https://www.news18.com/auto/indospace-set-to-boost-tamil-nadus-manufacturing-hub-with-rs-4500-crore-investment-9078224.html,CNN-News18,2024-10-08T06:53:00.0000000Z
Apple&#39;s new stores in these 4 cities? iPhone-maker shares update,"The company plans to introduce four additional stores in India, with new locations planned for Bengaluru, Pune, and Delhi-NCR, as well as another outlet in Mumbai. This expansion reflects Apple&#39;s commitment to tapping into the Indian market and enhancing customer engagement across the country.",https://www.msn.com/en-in/money/news/apple-s-new-stores-in-these-4-cities-iphone-maker-shares-update/ar-AA1rGQdA,MSN,2024-10-04T09:50:00.0000000Z
Tata Plant Fire Accident Is China&#39;s Opportunity in Disguise?,"A recent fire mishap at Tata Group&#39;s Apple iPhone component plant in Hosur, Tamil Nadu, and that too when festive season is very close has mushroomed",https://www.indianweb2.com/2024/10/tata-plant-fire-accident-is-chinas.html,indianweb2.com,2024-10-04T08:53:00.0000000Z
"After Delhi, Mumbai, Apple to open 4 more retail stores in India","Apple is set to expand its presence in India by opening four more retail stores, following the success of its Delhi and Mumbai outlets. Additionally, the company is now manufacturing the entire iPhone 16 lineup in India,",https://www.msn.com/en-in/money/news/after-delhi-mumbai-apple-to-open-4-more-retail-stores-in-india/ar-AA1rFYfa,India Today on MSN.com,2024-10-04T04:18:55.0000000Z
"Apple seeks more Indian partners, Flextronics, Jabil, Aequs plan to boost local production: Report","Apple’s existing supply chain in India has yielded results, with its three iPhone assembly vendors—Tata Electronics, <b>Pegatron</b>, and Foxconn—achieving local value addition of 12-14 percent ...",https://www.moneycontrol.com/news/business/apple-seeks-more-indian-partners-flextronics-jabil-aequs-plan-to-boost-local-production-report-12817212.html,moneycontrol.com,2024-09-09T13:21:00.0000000Z
"IndoSpace to invest ₹4,500 crore in logistics and warehouse parks in Tamil Nadu","IndoSpace to invest ₹4,500 crore in new logistics parks in Tamil Nadu, creating 8,000 jobs, supporting manufacturing growth.",https://www.thehindu.com/news/national/tamil-nadu/indospace-to-invest-4500-crore-in-logistics-and-warehouse-parks-in-tamil-nadu/article68733496.ece,The Hindu,2024-10-08T17:06:00.0000000Z
Apple plans to open 4 new retail stores in India,Apple’s retail expansion plan is believed to have been prompted by the success of its retail outlets in Delhi and Mumbai,https://www.arabianbusiness.com/industries/retail/apple-plans-to-open-4-new-retail-stores-in-india,Arabian Business,2024-10-04T09:06:00.0000000Z
‘Deep energy saving’ to be discussed at climate meeting,"A plan to promote “deep energy saving” and set up an open platform to encourage dialogue on energy policies would be the focus of the second meeting of the National Climate Change Strategy Committee at the end of this month, Presidential Office Deputy Secretary-General Xavier Chang (張惇涵) told an online program on Wednesday.",https://www.taipeitimes.com/News/taiwan/archives/2024/10/05/2003824821,The Taipei Times,2024-10-04T16:00:00.0000000Z
"Tamil Nadu govt approves Foxconn’s iPhone display factory, tech giant to invest Rs 13,180 crore","Foxconn’s new smartphone display module assembly at Tamil Nadu, will solidify the state as a as a key player in Apple’s supply chain. The plant is set to supply other contract manufacturers like Pegatron and Tata Electronics,",https://www.firstpost.com/tech/tamil-nadu-govt-approves-foxconns-iphone-display-factory-tech-giant-to-invest-rs-13180-crore-13823577.html,Firstpost,2024-10-09T07:35:00.0000000Z
Typhoon Yagi leaves at least 4 dead and scores injured in Vietnam,"Haiphong is an industrial hub, home to large factories, including EV maker VinFast and Apple supplier <b>Pegatron</b>. The typhoon has also triggered power outages in large parts of Quang Ninh and Thai Binh provinces. Earlier, the government issued several alerts ...",https://www.scrippsnews.com/world/asia/typhoon-yagi-leaves-at-least-4-dead-and-scores-injured-in-vietnam,scrippsnews,2024-09-07T08:31:00.0000000Z
Apple may need to turn to China after Indian Tata plant fire: Report,"Extensive damage from a fire at Tata Group’s Apple iPhone component plant in southern India could hamper production ahead of a festive season sales surge, an industry watcher and a source said, forcing the U.S. firm’s suppliers to arrange critical ...",https://indianexpress.com/article/technology/tech-news-technology/apple-may-need-to-turn-to-china-after-indian-tata-plant-fire-report-9598398/,The Indian Express,2024-10-02T00:04:00.0000000Z
"Tamil Nadu cabinet approves Foxconn&#39;s Rs 13,180-crore display module assembly unit","Foxconn&#39;s investment was the single largest investment among 13 others that were approved by the Cabinet on Tuesday. The cumulative investment of the 14 projects came up to Rs 38,698.80 crore. This marked the first meeting since the elevation of Udhayanidhi Stalin as deputy Chief Minister of the state.",https://economictimes.indiatimes.com/tech/technology/tamil-nadu-cabinet-approves-foxconns-rs-13180-crore-display-module-assembly-unit/articleshow/114048860.cms,Indiatimes,2024-10-08T12:32:00.0000000Z
Vietnamese authorities say Typhoon Yagi has killed at least 4 and injured 78 others,"Haiphong is an industrial hub, home to large factories, including EV maker VinFast and Apple supplier <b>Pegatron</b>.The typhoon has also triggered power outages in large parts of Quang Ninh and Thai ...",https://www.kmbc.com/article/vietnamese-authorities-say-typhoon-yagi-has-killed-at-least-4-and-injured-78-others/62093001,KMBC Kansas City,2024-09-07T15:15:00.0000000Z
"Foxconn Moves Forward With Smartphone Display Module Assembly As Tamil Nadu Approves Rs 13,000 Crore Investment Plan","A subsidiary of Foxconn, Yuzhan Technology (India) is set to invest in Tamil Nadu as the M K Stalin-led cabinet approved an investment of Rs 13,180 crore. The investment is anticipated to create 14,000 jobs.",https://swarajyamag.com/news-brief/foxconn-moves-forward-with-smartphone-display-module-assembly-as-tamil-nadu-approves-rs-13000-crore-investment-plan,Swarajya,2024-10-09T04:52:00.0000000Z
Apple Plans to Open Four New Stores in India by the End of 2025 | Will It Cut Down on iPhone Smuggling?,"Apple plans to open four new retail stores in India by the end of 2025, joining the Cupertino firm’s existing stores in Delhi and Mumbai.",https://www.idropnews.com/news/apple-plans-to-open-four-new-stores-in-india-by-the-end-of-2025-will-it-cut-down-on-iphone-smuggling/225975/,iDrop News,2024-10-07T23:57:00.0000000Z
"Taiwan has AI advantage, <b>Pegatron</b> chairman says","AI will be immersed in people’s daily life as the Internet has become in the past 30 years, Pegatron Corp (和碩) chairman Tung Tzu-hsien (童子賢) said at the Taiwan AI Academy Annual Conference.",https://www.taipeitimes.com/News/front/archives/2024/09/28/2003824468,The Taipei Times,2024-09-27T16:49:00.0000000Z
Apple reportedly plans to open four new stores in these Indian cities,"Apple plans to expand its retail presence in India with four more stores in Bengaluru, Pune, Delhi-NCR, and Mumbai. The iPhone 16 series, including Pr",https://www.msn.com/en-in/money/other/upi-fraud-sees-big-jump-in-2024-delhi-police-shares-5-most-common-techniques-used-to-scam-people-and-tips-to-stay-safe/ar-AA1rTyB2,The Times of India on MSN.com,2024-10-08T13:13:00.0000000Z
"Apple may need to turn to China after Indian Tata plant fire, sources say","Extensive damage from a fire at Tata Group&#39;s Apple iPhone component plant in southern India could hamper production ahead of a festive season sales surge, an industry watcher and a source said, forcing the U.",https://www.reuters.com/technology/apple-may-need-turn-china-after-indian-tata-plant-fire-sources-say-2024-10-01/,Reuters,2024-10-01T11:59:00.0000000Z
Apple Said to Face Possibility of Relying on China After Tata Plant Fire,"Tata&#39;s fire-hit plant employed 20,000 workers Fire incidents previously caused Foxlink, <b>Pegatron</b> to halt operations Foxlink and <b>Pegatron</b> are both Apple suppliers",https://www.gadgets360.com/mobiles/news/apple-china-fire-indian-tata-plant-6693251,gadgets360,2024-10-02T01:41:00.0000000Z
Apple iPhone 16 being launched globally from Indian factories: Ashwini Vaishnaw,"Tata Electronics, which runs two plants for Apple, is the biggest job creator in the Apple ecosystem, along with Foxconn and <b>Pegatron</b>. As tech giants like Apple continue to shift iPhone ...",https://www.thestatesman.com/technology/apple-iphone-16-being-launched-globally-from-indian-factories-ashwini-vaishnaw-1503341893.html,The Statesman,2024-09-11T14:45:00.0000000Z
Jabil to set up Rs 2K cr electronics unit in TN,"This comes as the American technology giant ramps up production in India through its largest vendors — Foxconn, <b>Pegatron</b>, Tata Electronics, and Wistron — to increase capacity. The current ...",https://www.rediff.com/business/report/jabil-to-set-up-rs-2k-cr-electronics-unit-in-tn/20240911.htm,rediff.com,2024-09-11T20:42:00.0000000Z
Foxconn explores investing $1 Bn to set up smartphone display assembly plant in Tamil Nadu,"This plant, the first of its sort built by Foxconn in India, would mainly support Apple’s iPhone manufacturing with the possibility of supplying <b>Pegatron</b> and Tata Electronics as well. This breakthrough represents a critical turning point in India’s ...",https://techstory.in/foxconn-explores-investing-1-bn-to-set-up-smartphone-display-assembly-plant-in-tamil-nadu/,tech,2024-09-26T00:01:00.0000000Z
