Title,Description,URL,Provider,Date Published
<b>SAP</b> upgrades its Joule AI assistant and developer tools with new automation features,"The software maker said today that it’s extending Joule to cover 80% of the most popular business tasks that customers perform with its applications. As part of the push to make the assistant more useful, SAP is expanding it with new AI agents. Those are specialized machine learning tools that are each optimized for a narrow range of tasks.",https://siliconangle.com/2024/10/08/sap-upgrades-joule-ai-assistant-developer-tools-new-automation-features/,SiliconANGLE,2024-10-09T01:04:00.0000000Z
<b>SAP</b> staff morale sapped by restructure,Company morale at Germany-based software company SAP has reportedly plummeted since it announced a restructuring plan earlier this year.,https://www.mobileworldlive.com/ai-cloud/sap-staff-morale-sapped-by-restructure/,Mobile World Live,2024-09-27T09:24:00.0000000Z
<b>SAP</b> Consulting Services,"Achieve more with a trusted <b>SAP</b> transformation and innovation partner. Work with a global team of <b>SAP</b> experts. Drive agility, resilience and sustainable business outcomes. As an <b>SAP</b> Global Strategic Services Partner (GSSP) and the first GSSP to go live on ...",https://www.hcltech.com/digital-business/sap,HCL Technologies,2023-12-11T23:30:00.0000000Z
TechEd 2024: <b>SAP</b> supercharges Copilot Joule,"SAP’s generative AI business assistant receives new capabilities, including collaborative AI agents, writes JASON BANNIER.",https://www.msn.com/en-us/money/technology/teched-2024-sap-supercharges-copilot-joule/ar-AA1rV5Wi,Gadget on MSN.com,2024-10-08T23:01:00.0000000Z
Gainsight and <b>SAP</b> Form Strategic Partnership to Increase Retention and Revenue Growth for <b>SAP</b> Customers,"SAN FRANCISCO, Sept. 24, 2024 (GLOBE NEWSWIRE) -- Gainsight, the world’s leading customer success platform, today announced a strategic partnership with <b>SAP</b>, delivering a powerful integration between Gainsight CS and <b>SAP</b> Sales Cloud. The integration will ...",https://finance.yahoo.com/news/gainsight-sap-form-strategic-partnership-130000289.html,Yahoo Finance,2024-09-24T09:01:00.0000000Z
<b>SAP</b> SE Sponsored ADR,"<b>SAP</b> SE engages in the provision of enterprise application software and software-related services. It operates through the following segments: Applications, Technology, and Support; Qualtrics ...",https://edition.cnn.com/markets/stocks/SAP,CNN,2023-12-12T17:10:00.0000000Z
<b>sap</b> se - <b>SAP</b>,"<b>SAP</b> has unveiled plans for a company-wide restructuring, saying about 8,000 positions would be affected. It is also boosting its AI efforts. IBM CEO Arvind Krishna and <b>SAP</b> SE CEO Christian Klein ...",https://www.foxbusiness.com/quote?stockTicker=sap,Fox Business,2024-10-01T11:45:00.0000000Z
<b>SAP SE</b>,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/XE/SAP,Wall Street Journal,2024-10-04T00:00:00.0000000Z
<b>SAP SE ADR</b>,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/SAP,Wall Street Journal,2023-04-21T17:02:00.0000000Z
"Looking to revolutionise higher education in Pakistan with <b>SAP</b> ERP: HEC, TMC collaborate for digital transformation","TMC Pvt Ltd, the nation’s leading SAP partner, has been selected to lead the Higher Education Commission (HEC)",https://www.brecorder.com/news/40324749/looking-to-revolutionise-higher-education-in-pakistan-with-sap-erp-hec-tmc-collaborate-for-digital-transformation,Business Recorder,2024-09-30T12:50:00.0000000Z
PTA Launches <b>SAP</b> Business One to Drive Digital Transformation,"The Pakistan Telecommunication Authority (PTA), with the services from ABACUS Consulting, has successfully implemented SAP Business One, marking a",https://propakistani.pk/2024/09/30/pta-launches-sap-business-one-to-drive-digital-transformation/,ProPakistani,2024-09-30T13:08:00.0000000Z
"US investigates tech firms <b>SAP</b>, Carahsoft for potential price-fixing, Bloomberg News reports","The U.S. is investigating several companies, including German software developer SAP SE and Carahsoft Technology, for potentially conspiring to overcharge government agencies over the course of a decade,",https://wsau.com/2024/09/25/us-investigates-tech-firms-sap-carahsoft-for-potential-price-fixing-bloomberg-news-reports/,WSAY,2024-09-25T10:13:00.0000000Z
