Title,Description,URL,Provider,Date Published
<b>SMIC</b> SG Hldgs Pte Ltd.DL-Med.-Term Nts 2024(24/29) Bond,The <b>SMIC</b> SG Holdings Pte.Ltd.-Bond has a maturity date of 7/24/2029 and offers a coupon of 5.3750%. The payment of the coupon will take place 2.0 times per biannual on the 24.01.. The <b>SMIC</b> SG ...,https://markets.businessinsider.com/bonds/smic_sg_hldgs_ptedl-med-term_nts_202424-29-bond-2029-xs2862924532,Business Insider,2024-09-27T00:00:00.0000000Z
Semiconductor Manufacturing International Corporation (<b>SMIC</b>),"<b>SMIC</b> accounted for 6 per cent of global chip foundry sales in the first quarter, behind industry leader TSMC’s 62 per cent share and Samsung’s 13 per cent share. Huawei’s latest high-end ...",https://www.scmp.com/topics/semiconductor-manufacturing-international-corporation-smic,scmp.com,2024-07-03T10:26:00.0000000Z
<b>SMIC</b> promotes local suppliers,"Conglomerate SM Investments Corp. (<b>SMIC</b>) said its retail outlets and shopping malls, which record a daily foot traffic of 4 million, provide a platform to support some 900 micro, small and ...",https://businessmirror.com.ph/2024/10/03/smic-promotes-local-suppliers/,BusinessMirror,2024-10-03T00:00:00.0000000Z
"China Raises Alarm Over U.S. Policies on Semiconductor and Connected Vehicles, Citing Global Market Disruptions","China’s Minister of Commerce, Wang Wentao, voiced strong objections to the United States&#39; ongoing semiconductor policies and restrictions on Chinese-connected vehicles during a call on Tuesday with U.",https://theasialive.com/china-raises-alarm-over-u-s-policies-on-semiconductor-and-connected-vehicles-citing-global-market-disruptions/2024/10/09,theasialive,2024-10-09T04:38:00.0000000Z
<b>SMIC</b> sees better H2 performance,Philippine Equity Partners research analyst Russ Toribio in a research report said gains by SM Investments Corp. (<b>SMIC</b>) from the first half would continue “as a stronger second half lies ahead.”,https://www.philstar.com/business/2024/09/17/2385721/smic-sees-better-h2-performance,philstar.com,2024-09-17T00:00:00.0000000Z
How <b>SMIC</b> balances risk preparedness with community gains,"SM Investments Corp. (<b>SMIC</b>) is working to enhance the conglomerate’s preparedness for future risks while driving long-term benefits for communities and the environment, according to Timothy Daniels, <b>SMIC</b> consultant for investor relations and sustainability.",https://www.bworldonline.com/corporate/2024/09/24/623438/how-smic-balances-risk-preparedness-with-community-gains/,BusinessWorld,2024-09-23T16:09:00.0000000Z
<b>SMIC</b> firms bag Golden Arrow awards from ICD,"SM Investments Corp. (<b>SMIC</b>) has been awarded the prestigious 5 Golden Arrow Award by the Institute of Corporate Directors (ICD), the highest recognition given during the ASEAN Corporate Governance ...",https://businessmirror.com.ph/2024/09/26/smic-firms-bag-golden-arrow-awards-from-icd/,BusinessMirror,2024-09-26T00:01:00.0000000Z
Chinese Chip Stocks Gain $13 Billion on Talk of Beijing Stimulus,"Top Chinese chipmaker Semiconductor Manufacturing International Corp. led a $13 billion sector rally, after investors bet that Beijing will declare more policy or financial support for an industry central to its geopolitical ambitions.",https://finance.yahoo.com/news/chinese-chip-stocks-gain-13-042240933.html,YAHOO!Finance,2024-10-07T04:22:00.0000000Z
The Chinese Chipmaker at the Heart of the U.S.-China Tech War,"Efforts by the Beijing-backed Semiconductor Manufacturing International Corporation, or <b>SMIC</b>, to break through innovation barriers have landed it in a geopolitical tech battle. By Ana Swanson John ...",https://www.nytimes.com/2024/09/16/technology/smic-china-us-trade-war.html,The New York Times,2024-09-16T00:00:00.0000000Z
"China’s chip capabilities just three years behind TSMC, teardown shows",The Kirin 9010—the newest phone’s chip—was designed by Huawei subsidiary HiSilicon and mass produced by major Chinese contract chipmaker Semiconductor Manufacturing International Corporation (<b>SMIC</b>). The 2021 phone’s Kirin 9000 chip was also ...,https://kr-asia.com/chinas-chip-capabilities-just-three-years-behind-tsmc-teardown-shows,kr-asia,2024-09-14T00:00:00.0000000Z
<b>Semiconductor Manufacturing International Corp 00981</b>,We sell different types of products and services to both investment professionals and individual investors. These products and services are usually sold through license agreements or subscriptions ...,https://www.morningstar.com/stocks/XHKG/00981/quote,Morningstar,2024-10-07T00:57:00.0000000Z
<b>SMIC</b> bags highest Golden Arrow award,"SM Investments Corporation was awarded the prestigious 5 Golden Arrow Award by the Institute of Corporate Directors (ICD), the highest recognition given by the ASEAN Corporate Governance Scorecard (ACGS) 2024 Golden Arrow Awards.",https://www.philstar.com/the-freeman/cebu-business/2024/10/01/2389321/smic-bags-highest-golden-arrow-award,philstar.com,2024-09-30T17:27:00.0000000Z
Highest Golden Arrow for <b>SMIC</b> for corporate governance excellence,"Amando Tetangco Jr., chairman of <b>SMIC</b>, said: &quot;This recognition reflects the commitment and hard work of our entire organization. From the board, management, our leaders and teammates; everyone consistently works to ensure we continue to adopt and uphold ...",https://www.manilatimes.net/2024/09/30/supplements/special-features/highest-golden-arrow-for-smic-for-corporate-governance-excellence/1975901,manilatimes,2024-09-30T00:00:00.0000000Z
<b>SMIC EFuse IP Core</b>,"ARM offers an array of silicon proven SRAM, Register File and ROM memory compilers for all types of SoC designs ranging from performance critical to cost sensitive and low power applications. ...",https://www.design-reuse.com/smic/efuse-c-431/,Design-Reuse,2014-05-07T11:56:00.0000000Z
Apple’s China Rival Huawei Faces Production Snag With New Phone,"The problems stem from the continuing impact of a four-year-old U.S. ban on the supply of chipmaking equipment to Huawei and <b>SMIC</b>, the people said.",https://www.theinformation.com/articles/apples-china-rival-huawei-faces-production-snag-with-new-phone,The Information,2024-09-05T13:06:00.0000000Z
Chinese chipmakers gearing up for Huawei&#39;s next flagship launch despite hefty cost,"Huawei is preparing to launch its latest flagship Mate 70 series, a product bolstered by substantial government support and suppliers, particularly <b>SMIC</b>, who are reportedly sacrificing profits.",https://www.digitimes.com/news/a20240925PD205/huawei-launch-flagship-cost-chipmakers.html,Digi Times,2024-09-25T00:00:00.0000000Z
"China narrows chip gap, it&#39;s only a couple of years behind TSMC","According to research by Tokyo-based semiconductor analyst Hiroharu Shimizu, China’s Semiconductor Manufacturing International Corp. (<b>SMIC</b>) is producing 7-nanometer chips, a significant achievement.",https://www.androidheadlines.com/2024/09/china-narrows-chip-gap.html,Android,2024-09-03T00:00:00.0000000Z
Analysts expect better second half for <b>SMIC</b>,"SM Investments Corp. (<b>SMIC</b>) is expected to have a better second half as its retail business is projected to benefit from higher consumer spending, the conglomerate said on Monday, citing reports from analysts. “There was notable recovery in consumer ...",https://www.bworldonline.com/corporate/2024/09/17/621912/analysts-expect-better-second-half-for-smic/,BusinessWorld,2024-09-17T00:02:00.0000000Z
US squeezes China&#39;s biggest chip-maker <b>SMIC</b>,The letter reminds the firms they must apply for licences to ship controlled items to Shanghai-based <b>SMIC</b>. But it does not appear that Washington has decided whether or not to add the firm to a ...,https://www.bbc.com/news/technology-54324973,BBC,2020-09-28T00:00:00.0000000Z
"Cold EMR, hot EMR or ESD for large benign adenoma: not one size fits all","Despite this selection, 2.2% unrecognised <b>SMIC</b> was found, … Contributors Conception: JJ, VVdV; drafting the article: JJ, VVdV; critical revision and final approval: all authors. Funding The authors have not declared a specific grant for this research ...",https://gut.bmj.com/content/early/2024/09/17/gutjnl-2024-333490,gut.bmj,2024-09-17T00:00:00.0000000Z
Higher retail sales to fuel <b>SMIC</b> growth,"SM Investments Corporation is seen to perform better in the second half of this year as it benefits from the traditionally stronger sales for the retail business during the long Christmas season. Macquarie Capital Securities (Philippines), Head of Research ...",https://mb.com.ph/2024/9/16/higher-retail-sales-to-fuel-smic-growth,Manila Bulletin,2024-09-16T08:33:00.0000000Z
Weekly news roundup: speculation grows on HiSilicon&#39;s production capacity amid <b>SMIC</b>&#39;s evolving revenue trends,"Huawei&#39;s HiSilicon Full-Connection Conference is scheduled for September 9 in Shenzhen, just one day before Apple&#39;s annual iPhone launch event. While the timing&#39;s intent remains unclear, Huawei ...",https://www.digitimes.com/news/a20240909VL202/weekly-news-roundup-hisilicon-smic-tsmc-production-capacity-revenue.html,Digi Times,2024-09-08T23:59:00.0000000Z
"Hong Kong’s Hang Seng Index hits 32-month high as Citi, Goldman back Chinese stocks","Citigroup and Goldman Sachs have raised their targets for key benchmarks, citing Beijing&#39;s economic stimulus package and attractive valuations Hong Kong stocks extended a three-week rally to hit a 32-month high,",https://www.msn.com/en-xl/money/other/hong-kong-s-hang-seng-index-hits-32-month-high-as-citi-goldman-back-chinese-stocks/ar-AA1rNOj5,South China Morning Post on MSN.com,2024-10-07T02:55:23.0000000Z
“Whatever It Takes” Is On The Table,"Asian equities were higher, despite a stronger US dollar due to rising US Treasury yields, except for India. Mainland China remains closed for the week-long national holiday until tonight.",https://www.forbes.com/sites/brendanahern/2024/10/07/whatever-it-takes-is-on-the-table/,Forbes,2024-10-07T16:37:00.0000000Z
<b>SMIC I/O Library IP Core</b>,"Analog I/OS and power line ESD solutions All voltage domains (0.75V to 5V) Additional voltage (e.g. 12V in 28nm proven) Ultra-low leakage Low parasitic capacitance <b>SMIC</b> 0.18um Logic 1P6M Salicide 1.8V/3.3V Process.; 3.3V I/O, 1.8V Core, 5V Tolerant.;",https://www.design-reuse.com/smic/i-o-library-c-204/,Design-Reuse,2024-09-30T00:00:00.0000000Z
<b>SMIC</b> board approves property-for-share swap with subsidiary,SY family-led SM Investments Corp. (<b>SMIC</b>) said Tuesday that its board of directors had greenlit the property-for-share swap with its subsidiary Intercontinental Development Corp. (ICDC).,https://www.msn.com/en-ph/news/money/smic-board-approves-property-for-share-swap-with-subsidiary/ar-AA1p7PYM,The Manila Times on MSN.com,2024-08-20T16:31:00.0000000Z
Huawei Struggling To Make Enough Chips For Mate70,"Huawei and its local chip-making partner, Semiconductor manufacturing International Corp (<b>SMIC</b>), both sanctioned by the US, had planned to make 2.5 million chips before releasing the Mate70 for a ...",https://menafn.com/1108646529/Huawei-Struggling-To-Make-Enough-Chips-For-Mate70,Mena FN,2024-09-06T21:10:00.0000000Z
How Much Should We Worry About Huawei’s Technology?,Very unlikely. The vaunted 7 nanometer chip used by Huawei and fabricated by Semiconductor Manufacturing International Corp. (<b>SMIC</b>) is probably a statement of nationalistic bravado rather than a ...,https://www.forbes.com/sites/annestevenson-yang/2023/09/17/how-much-should-we-worry-about-huaweis-technology/,Forbes,2023-09-17T12:00:00.0000000Z
