Title,Description,URL,Provider,Date Published
<b>Supermicro</b> crams 18 GPUs into a 3U AI server that&#39;s a little slow by design,"GPU-enhanced servers can typically pack up to eight of the accelerators, but Supermicro has built a box that manages to fit 18 of them inside an air-cooled chassis that&#39;ll eat up just 3U of rack space.",https://www.msn.com/en-us/news/other/supermicro-crams-18-gpus-into-a-3u-ai-server-that-s-a-little-slow-by-design/ar-AA1rW4wA,theregister on MSN.com,2024-10-09T05:36:00.0000000Z
<b>Supermicro</b> Introduces 3U Server for Edge AI,"Supermicro announced a high-density infrastructure platform optimized for AI inferencing at the network edge. Supermicro’s system delivers up to 10 double-width GPUs in a single system capable of running in traditional air-cooled environments,",https://insidehpc.com/2024/10/supermicro-introduces-3u-server-for-edge-ai/,insideHPC,2024-10-08T20:30:00.0000000Z
<b>Supermicro</b> shares up 15% as AI servers and liquid cooling solutions deliver positive news,Super Micro Computer says sales are keeping strong despite recent headwinds. Supermicro stock rallied about 15% on Monday.,https://www.msn.com/en-us/money/other/supermicro-shares-up-15-as-ai-servers-and-liquid-cooling-solutions-deliver-positive-news/ar-AA1rQFgu,Invezz on MSN.com,2024-10-07T19:58:25.0000000Z
Fujitsu teams up with <b>Supermicro</b> on Arm-based server CPU,"A year later, Fujitsu said it would release a successor to its A64FX processor in the form of the new Arm-based datacenter chip called MONAKA by 2027. MONAKA was pitched as an energy-efficient high-performing chip for traditional HPC, in addition to AI and data analytical workloads.",https://www.theregister.com/2024/10/03/fujitsu_arm_supermicro1/,theregister,2024-10-03T15:08:00.0000000Z
Accelerated server spend pushes Q2 data centre capex up 46%,"Spending on accelerated servers for data centres grew 46%  in 2Q, says Dell’Oro, while a recovery in the general-purpose Server and Storage System markets",https://www.electronicsweekly.com/news/business/accelerated-server-spend-pushes-q2-data-centre-capex-up-46-2024-10/,Electronics Weekly,2024-10-09T05:59:00.0000000Z
Fujitsu and <b>Supermicro</b> announce strategic collaboration to develop green AI computing technology and liquid-cooled datacenter solutions,"Fujitsu Limited and Supermicro, Inc. (NASDAQ: SMCI), today announced they will collaborate to establish a long-term strategic engagement in technology and business, to develop and market a platform with Fujitsu’s future Arm-based “FUJITSU-MONAKA” processor that is designed for high-performance and energy efficiency and targeted for",https://www.msn.com/en-us/news/technology/fujitsu-and-supermicro-announce-strategic-collaboration-to-develop-green-ai-computing-technology-and-liquid-cooled-datacenter-solutions/ar-AA1rDz39,Westside Current on MSN.com,2024-10-03T00:38:00.0000000Z
Dept. of Justice investigating <b>Supermicro</b>,"Alleged ongoing accounting issues continue for Supermicro, which was temporarily delisted from Nasdaq in 2018 for failing to file financial statements, according a WSJ report.",https://www.bizjournals.com/sanjose/news/2024/09/27/dept-of-justice-investigating-supermicro.html,The Business Journals,2024-09-27T19:45:00.0000000Z
<b>Supermicro</b> Adds Intel-Based X14 Servers to Meet High-Demand AI and HPC Needs,"Supermicro, Inc., a Total IT Solution Provider for AI/ML, HPC, Cloud, Storage, and 5G/Edge, today adds new maximum",https://www.datanami.com/this-just-in/supermicro-adds-intel-based-x14-servers-to-meet-high-demand-ai-and-hpc-needs/,datanami.com,2024-09-24T00:00:00.0000000Z
"<b>Supermicro</b> Adds Intel-Based X14 Servers for AI, HPC, Cloud and Edge","Supermicro today announced GPU, multi-node and rackmount systems to the X14 portfolio, which are based on the Intel Xeon 6900 Series Processors with P-Cores (formerly code named Granite Rapids-AP). The new servers are designed to address the needs of modern data centers,",https://insidehpc.com/2024/09/supermicro-adds-intel-based-x14-servers-for-ai-hpc-cloud-and-edge/,insideHPC,2024-09-24T17:22:00.0000000Z
"Vietnam’s Party chief, State President To Lam meets leaders of Apple, Meta, <b>Supermicro</b> in US","Party General Secretary and State President To Lam urged Apple, Meta, and Supermicro to expand investment in Vietnam",https://tuoitrenews.vn/news/business/20240925/vietnams-party-chief-state-president-to-lam-meets-leaders-of-apple-meta-supermicro-in-us/82125.html,Tuoi Tre news,2024-09-25T04:29:00.0000000Z
