Title,Description,URL,Provider,Date Published
"Robust analogue AI separates music, speech and noise","TDK has created a spin-memristor for analogue neural networks, and built a network that can separate three types of sound in real-time. It has been",https://www.electronicsweekly.com/news/research-news/robust-analogue-ai-separates-music-speech-and-noise-2024-10/,Electronics Weekly,2024-10-02T11:29:00.0000000Z
"Global Industrial Power Supply Market Size Anticipated to Exceed USD 21.5 Billion by 2034, Growing at 10.1% CAGR | FMI Study","The industrial power supply market is estimated to be worth USD 8.2 billion in 2024 and is projected to be valued at USD 21.5 billion in 2034. Between 2024 and 2034, the industry is poised to rise at a CAGR of 10.",https://www.fmiblog.com/2024/10/08/global-industrial-power-supply-market-size-anticipated-to-exceed-usd-21-5-billion-by-2034-growing-at-10-1-cagr-fmi-study/,Future Market Insights,2024-10-08T14:58:00.0000000Z
StoreDot&#39;s EV Battery Customization Takes Off: 5 Major Automakers On Board,"StoreDot, the pioneer in extreme fast charging (XFC) silicon battery technology for electric vehicles (EVs), enters Q4 of 2024 with a string of key milestones and strategic partnerships highlighting the company&#39;s commercialization journey.",https://finance.yahoo.com/news/storedots-ev-battery-customization-takes-123000681.html,YAHOO!Finance,2024-10-08T12:39:00.0000000Z
Samsung&#39;s Galaxy Watches could get a massive battery life boost thanks to solid-state technology,"The maker of the Samsung Galaxy Watch 7, Samsung Galaxy Watch Ultra, and the new Samsung Galaxy Ring has reportedly developed &quot;the world&#39;s first ultra-small all-solid-state battery for wearable devices.&quot; That&#39;s according to a report from Business Korea, which says the tech has been dubbed a &quot;dream battery.&quot;",https://www.msn.com/en-us/news/other/samsung-s-galaxy-watches-could-get-a-massive-battery-life-boost-thanks-to-solid-state-technology/ar-AA1rw3TI,TechRadar on MSN.com,2024-10-01T09:16:53.0000000Z
<b>TDK Corp. ADR</b>,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/TTDKY,Wall Street Journal,2024-09-30T00:00:00.0000000Z
‘Joker 2’ Flop In 2024 Threatens Worst-Case Future For DC Studios,"With another DC movie failing at the box office, is the future of DC Studios shared cinematic world at risk? And is even Batman no longer safe from the audience backlash?",https://www.forbes.com/sites/markhughes/2024/10/08/joker-2-flop-in-2024-threatens-worst-case-future-for-dc-studios/,Forbes,2024-10-08T17:48:00.0000000Z
Joseph Bousaba announced as CEO of InvenSense and General Manager of <b>TDK</b> MEMS Sensors Business Group,"Bousaba and prior InvenSense CEO Omar Abed coordinate a smooth transition to ensure continuity for partners and employees; SAN JOSE, Calif., /PRNewswire/ -- TDK Corpo",https://www.tmcnet.com/usubmit/2024/10/03/10083498.htm,TMCnet,2024-10-03T14:11:00.0000000Z
Walker &amp; Dunlop Provides $73M Construction Loan for Florida Multifamily Complex,"Oldacre McDonald and TDK Construction secured a $72.7 construction loan for Vintage Lake Powell, a 289-unit apartment in Panama City Beach",https://commercialobserver.com/2024/10/walker-dunlop-provides-73m-construction-loan-florida-multifamily-complex/,Commercial Observer,2024-10-07T16:16:00.0000000Z
Oldacre McDonald and <b>TDK</b> Secure $72M for Panama City Beach Apartment,"Oldacre McDonald, LLC and TDK Construction, LLC have been awarded a $72 million construction loan to support the development of a mixed-use apartment complex in Panama City Beach, Florida.",https://www.globest.com/2024/10/04/oldacre-mcdonald-and-developer-in-panama-city-beach-get-72m-loan/,GlobeSt.com,2001-01-01T00:00:00.0000000Z
"GM in talks to buy EV batteries built with Chinese tech in US, source says","In GM&#39;s case, the proposed plant would be funded and operated by Japanese consumer electronic firm <b>TDK</b> Corp (6762.T), opens new tab, Bloomberg News reported, and is expected to be located in the ...",https://www.reuters.com/business/autos-transportation/gm-talks-buy-chinese-ev-batteries-built-us-bloomberg-news-reports-2024-09-12/,Reuters,2024-09-12T17:17:00.0000000Z
<b>Automotive Electronics</b>,"Bel Fuse has announced 4kW liquid-cooled dc-dc converter for low voltage accessories in hybrid and electric vehicles. Called 350DNG40-12-8, it can deliver between 10 and 15Vdc from 240 to 450Vdc at up to 93% efficiency with full galvanic isolation between ...",https://www.electronicsweekly.com/market-sectors/automotive-electronics/,Electronics Weekly,2024-10-03T00:00:00.0000000Z
GM looks to buy U.S. batteries made with tech from China&#39;s CATL,"The factory would be funded and operated by <b>TDK</b> Corp., a Japanese company that makes components for consumer electronics, said the people, who asked not to be identified discussing information ...",https://www.detroitnews.com/story/business/autos/general-motors/2024/09/13/gm-looks-to-buy-u-s-batteries-made-with-tech-from-chinas-catl/75205318007/,Detroit News,2024-09-13T00:00:00.0000000Z
<b>Hon Hai Precision Industry Co Ltd 2317</b>,We sell different types of products and services to both investment professionals and individual investors. These products and services are usually sold through license agreements or subscriptions ...,https://www.morningstar.com/stocks/XTAI/2317/quote,Morningstar,2024-10-04T00:00:00.0000000Z
CATL launches ultra-high-energy-density EV bus battery that lasts nearly 1 million miles,A third in the US could be possible with GM considering building a plant with Japan’s <b>TDK</b> that would license tech from CATL for LFP batteries.,https://electrek.co/2024/09/16/catl-launches-new-ev-battery-lasts-nearly-1-million-miles/,Electrek,2024-09-16T18:54:00.0000000Z
