Title,Description,URL,Provider,Date Published
<b>Tencent</b> Partners with Pfizer to Launch Smart Healthcare Innovation Ecosystem - Zhang Yu Highlights &quot;Dual-Engine&quot; Strategy for Healthcare Digitization,Tencent Health and Pfizer China have launched the &quot;Pfizer Smart Healthcare Innovation Ecosystem&quot; at the &quot;Tides of Qiantang&quot; Conference. This collaboration aims to drive innovation in smart healthcare solutions.,https://www.asiaone.com/business-wires/tencent-partners-pfizer-launch-smart-healthcare-innovation-ecosystem-zhang-yu,Asia One,2024-10-09T03:23:00.0000000Z
"<b>Tencent</b>, Guillemot family mulling buyout of &#39;Assassin&#39;s Creed&#39; maker Ubisoft","Guillemot Brothers and Tencent have been speaking with advisers to help bolster Ubisoft’s value, and stabilize the company, Bloomberg said, citing people familiar with the matter.",https://www.moneycontrol.com/news/world/tencent-guillemot-family-mulling-buyout-of-assassins-creed-maker-ubisoft-12835906.html,moneycontrol.com,2024-10-05T02:38:00.0000000Z
<b>Tencent Holdings Ltd 00700</b>,We sell different types of products and services to both investment professionals and individual investors. These products and services are usually sold through license agreements or subscriptions ...,https://www.morningstar.com/stocks/xhkg/00700/quote,Morningstar,2024-10-04T08:04:00.0000000Z
<b>Tencent</b> Music Entertainment Group Releases Inaugural ESG Report,"Tencent Music Entertainment Group (&quot;TME&quot;, or the &quot;Company&quot;) (NYSE: TME and HKEX: 1698), the leading online music and audio entertainment platform in China, today released its inaugural Environmental,",https://www.asiaone.com/business/tencent-music-entertainment-group-releases-inaugural-esg-report,Asia One,2024-09-27T09:01:00.0000000Z
<b>Tencent Holdings</b> Ltd.,"<b>Tencent Holdings</b> is a Chinese Internet services giant based in Shenzhen, Guangdong Province. It is the biggest rival of Alibaba Group, the country&#39;s largest e-commerce company. Baidu, Alibaba and ...",https://asia.nikkei.com/Companies/Tencent-Holdings-Ltd,Nikkei Asia,2017-07-27T07:17:00.0000000Z
<b>Tencent</b> considering Ubisoft buyout as shares plummet report claims,"As the future of Ubisoft looks ever more bleak, it&#39;s said the company is considering going private with the help of Tencent.",https://metro.co.uk/2024/10/04/tencent-considering-ubisoft-buyout-shares-plummet-report-claims-21738236/?ico=related-posts,Metro,2024-10-04T17:03:00.0000000Z
<b>Tencent</b> News,The Guillemot family and <b>Tencent</b> would likely take the company private if the deal happens. The memorandum of understanding includes the establishment of a <b>Tencent</b> Cloud training center for ...,https://cointelegraph.com/tags/tencent,CoinTelegraph,2019-10-04T00:00:00.0000000Z
"‘Assassin’s Creed’, ‘Star Wars Outlaws’ publisher Ubisoft’s shares spike by 30pc ahead of potential takeover by China’s <b>Tencent</b>",Shares of French video game publisher Ubisoft surged by around 30 per cent on yesterday after a media report suggested China’s Tencent was poised to join,https://www.malaymail.com/news/money/2024/10/05/assassins-creed-star-wars-outlaws-publisher-ubisofts-shares-spike-by-30pc-ahead-of-potential-takeover-by-chinas-tencent/152612,malaymail,2024-10-05T03:08:00.0000000Z
Ubisoft Sale Rumors: What’s Going on with Star Wars Outlaws and <b>Tencent</b>?,Rumors swirl about Ubisoft&#39;s potential buyout by Tencent after the softer-than-expected launch of Star Wars Outlaws. What does this mean for the game&#39;s future?,https://swtorstrategies.com/2024/10/ubisoft-sale-rumors-whats-going-on-with-star-wars-outlaws-and-tencent.html,swtorstrategies,2024-10-07T17:51:00.0000000Z
<b>Tencent Holdings Ltd ADR TCEHY</b>,We sell different types of products and services to both investment professionals and individual investors. These products and services are usually sold through license agreements or subscriptions ...,https://www.morningstar.com/stocks/pinx/tcehy/quote,Morningstar,2024-10-03T00:00:00.0000000Z
