Title,Description,URL,Provider,Date Published
<b>United Microelectronics</b> Corp ADR,We sell different types of products and services to both investment professionals and individual investors. These products and services are usually sold through license agreements or subscriptions ...,https://www.morningstar.com/stocks/xnys/umc/chart,Morningstar,2024-10-03T00:00:00.0000000Z
<b>United Microelectronics Corp ADR</b>,We sell different types of products and services to both investment professionals and individual investors. These products and services are usually sold through license agreements or subscriptions ...,https://www.morningstar.com/stocks/xnys/umc/valuation,Morningstar,2024-10-04T00:00:00.0000000Z
<b>United Microelectronics Corp. ADR</b>,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/UMC,Wall Street Journal,2024-06-28T03:32:00.0000000Z
<b>United Microelectronics</b> Corporation (UMC),"Sometimes, the best deals on the market offer real growth potential and a decent dividend yield. That’s because these types of securities offer a dual-factor approach to appreciating by ...",https://finance.yahoo.com/quote/UMC/latest-news/,Yahoo Finance,2024-09-12T16:00:00.0000000Z
<b>United Microelectronics</b> Corporation (NEW) Common Stock (<b>UMC</b>),*Data is provided by Barchart.com. Data reflects weightings calculated at the beginning of each month. Data is subject to change. **Green highlights the top performing ETF by % change in the past ...,https://www.nasdaq.com/market-activity/stocks/umc,Nasdaq,2023-04-12T01:58:00.0000000Z
<b>United Microelectronics Corporation (NEW) Common Stock</b> (UMC) Dividend History,The Dividend History page provides a single page to review all of the aggregated Dividend payment information. Visit our Dividend Calendar: Please note that the dividend history for Nasdaq stocks ...,https://www.nasdaq.com/market-activity/stocks/umc/dividend-history,Nasdaq,2018-02-02T14:24:00.0000000Z
"<b>United Microelectronics (NYSE:UMC) Stock</b> Quotes, Forecast and News Summary","Consumer Tech News (Sep 1-Sep 7): Elon Musk Launches Beta Version Of X TV, Alibaba Launches AI To Help American Buyers &amp; More Donald Trump misunderstood Taiwan&#39;s role in the semiconductor industry ...",https://www.benzinga.com/quote/UMC,Benzinga.com,2024-10-06T05:36:00.0000000Z
<b>United Microelectronics</b> Corp. Sponsored ADR,"<b>United Microelectronics</b> Corp. is engaged in the semiconductor foundry company which provides IC fabrication services, focusing on logic and various technologies to serve all major sectors of the ...",https://edition.cnn.com/markets/stocks/UMC,CNN,2023-12-27T22:26:00.0000000Z
<b>United Microelectronics Corp</b>.,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/TW/XTAI/2303,Wall Street Journal,2024-09-27T00:00:00.0000000Z
<b>United Microelectronics</b> Corp,"Founded in 1980, <b>United Microelectronics</b> is the world&#39;s third-largest dedicated chip foundry, with 7% market share in 2023 after TSMC and GlobalFoundries. UMC’s headquarters are in Hsinchu, Taiwan, and it operates 12 fabs in Taiwan, Mainland China ...",https://www.morningstar.com.au/investments/security/nyse/umc,morningstar.com.au,2022-10-04T05:41:00.0000000Z
<b>United Microelectronics</b> Corp. ADR,Stocks: Real-time U.S. stock quotes reflect trades reported through Nasdaq only; comprehensive quotes and volume reflect trading in all markets and are delayed at least 15 minutes. International ...,https://www.barrons.com/market-data/stocks/umc/stock-grader,Barron&#39;s,2024-06-26T19:05:00.0000000Z
<b>United Microelectronics Corp. ADR</b>,Stocks: Real-time U.S. stock quotes reflect trades reported through Nasdaq only; comprehensive quotes and volume reflect trading in all markets and are delayed at least 15 minutes. International ...,https://www.barrons.com/market-data/stocks/umc/interactive-chart,Barron&#39;s,2024-09-03T16:37:00.0000000Z
"<b>MediaTek, Inc</b>.","MediaTek was founded in 1997 by Tsai Ming-kai, who was formerly an engineer at Taiwanese chip foundry <b>United Microelectronics</b>. Tsai became chairman and CEO of the company. The chipmaker started as ...",https://asia.nikkei.com/Companies/MediaTek-Inc,Nikkei Asia,2017-07-27T07:17:00.0000000Z
"<b>United Microelectronics</b> (NYSE:UMC) Stock, Short Interest Report","Short interest in <b>United Microelectronics</b> Corp (NYSE:UMC) decreased during the last reporting period, falling from 47.42M to 45.32M. This put 1.94% of the company&#39;s publicly available shares short.",https://www.benzinga.com/quote/UMC/short-interest,Benzinga.com,2024-02-22T21:54:00.0000000Z
<b>United Microelectronics Corporation (UMC</b>),"TAIPEI, Taiwan, September 05, 2024--<b>United Microelectronics Corporation</b> (NYSE: UMC; TWSE: 2303) (&quot;UMC&quot;), today reported unaudited net sales for the month of August 2024. TAIPEI, Taiwan, August 06, 2024--<b>United Microelectronics Corporation</b> (NYSE ...",https://ca.finance.yahoo.com/quote/UMC/chart/,Yahoo Finance,2020-08-17T16:55:00.0000000Z
<b>United Microelectronics Corporation (UMC</b>),*Close price adjusted for splits.**Adjusted close price adjusted for splits and dividend and/or capital gain distributions. Loading more data...,https://ca.finance.yahoo.com/quote/UMC/history/,Yahoo Finance,2020-08-17T16:55:00.0000000Z
"Oracle owns nearly a third of Arm chip house Ampere, could take control in 2027","Oracle could choose to take control of Ampere Computing, the Arm processor designer it has backed and uses in its cloud. A proxy statement [PDF] filed on Wednesday reveals that Oracle held 29 percent stake in Ampere as of May 31, 2024, and has the option ...",https://www.theregister.com/2024/09/26/oracle_ampere_stake_cpu/,theregister,2024-09-26T23:59:00.0000000Z
Centre for Integrated Circuits and Systems,"Besides academic collaborations, CICS has also forged close partnerships with leading industry players including Mediatek, Agilent Technologies, Verigy, SiliconCore Technology, <b>United Microelectronics</b> Corporation, Infineon, Broadcom Corporation and A*STAR ...",https://www.ntu.edu.sg/cics/about-us/corporate-information,Nanyang Technological University,2021-04-10T13:31:00.0000000Z
<b>United Microelectronics Corp</b>.,"<b>United Microelectronics</b> is a Taiwanese chipmaker, with assets of around $10 billion. It sells a range of products, including CMOS wafers, memory chips and high-voltage integrated circuits.",https://asia.nikkei.com/Companies/United-Microelectronics-Corp,Nikkei Asia,2017-08-22T11:14:00.0000000Z
"Tech, non-tech sectors mixed on carbon fee scheme","Taiwan’s tech and non-tech sectors have mixed reactions to the basic carbon fee recommended by a government review committee, with major electronics companies saying they are ready while petrochemical, steel and cement suppliers urged caution.",https://www.taipeitimes.com/News/biz/archives/2024/10/09/2003824983,The Taipei Times,2024-10-08T16:32:00.0000000Z
Arizona&#39;s semiconductor industry: What to know about the booming field,"Seemingly overnight, Arizona has emerged as a big player in the rejuvenated U.S. semiconductor industry, What does that mean, and what are chips?",https://www.desmoinesregister.com/story/money/business/tech/2024/09/24/arizonas-semiconductor-industry-what-to-know-about-the-booming-field/74371215007/,Des Moines Register,2024-09-24T18:13:00.0000000Z
Semiconductors Winners And Losers As Of Q4 2024,Semiconductors&#39; main problem is that there is too much uncertainty. Find out the analysis of the semiconductor industry in Q3 2024 and predictions for Q4 2024.,https://seekingalpha.com/article/4725305-semiconductors-winners-and-losers-of-q4-2024,Seeking Alpha,2024-10-07T01:17:00.0000000Z
UMC Collaborates with Ngee Ann Polytechnic to Strengthen Semiconductor Talent Pipeline,"SINGAPORE--(BUSINESS WIRE)--<b>United Microelectronics</b> Corporation (NYSE: UMC; TWSE: 2303) (“UMC”), a leading global semiconductor foundry, today signed a Memorandum ...",https://www.businesswire.com/news/home/20241001825980/en/UMC-Collaborates-with-Ngee-Ann-Polytechnic-to-Strengthen-Semiconductor-Talent-Pipeline/,Business Wire,2024-10-01T03:38:00.0000000Z
"Cordierite Market Outlook, Advancements in Ceramics and Automotive Applications, 2024 to 2032","Cordierite, a mineral and ceramic material, is known for its excellent thermal stability, low thermal expansion, and high resistance to thermal shock. With primary components including magnesium, aluminum, and silica, cordierite finds versatile applications across industries such as automotive, electronics, catalysis, and refractories.",https://www.taiwannews.com.tw/en/news/5948013,Taiwan News,2024-10-06T23:31:00.0000000Z
UMC Reports Sales for September 2024,"United Microelectronics Corporation (NYSE: UMC; TWSE: 2303) (&quot;UMC&quot;), today reported unaudited net sales for the month of September 2024.",https://finance.yahoo.com/news/umc-reports-sales-september-2024-060000799.html,YAHOO!Finance,2024-10-07T06:01:00.0000000Z
Taiwan National Science Council believes China is 10 years behind TSMC,"When you buy through links on our articles, Future and its syndication partners may earn a commission.",https://www.yahoo.com/news/taiwan-national-science-council-believes-163850790.html,Yahoo,2024-10-02T10:05:00.0000000Z
FBFK Law Closes Acquisition Deal: IP Supplier Aragio Solutions Acquired by Faraday Technology,"After months of negotiation, Dallas-based FBFK Law announced the official acquisition of client, IP Supplier Aragio Solutions, by Fabless ASIC services and IP provider Faraday Technology. The deal team,",https://www.valdostadailytimes.com/ap/business/fbfk-law-closes-acquisition-deal-ip-supplier-aragio-solutions-acquired-by-faraday-technology/article_f77a8c3e-9c47-516b-b277-59ecd52471e7.html,The Valdosta Daily Times,2024-10-04T12:59:00.0000000Z
UMC sees 3Q24 revenue hit 7-quarter high,"Pure-play foundry United Microelectronics (UMC) saw its third-quarter revenue climb to a 7-quarter high, thanks to consistent growth in mature process utilization.",https://www.digitimes.com/news/a20241007PD230/umc-3q24-revenue-growth-utilization-rate-2024.html,Digi Times,2024-10-08T01:19:00.0000000Z
