Title,Description,URL,Provider,Date Published
‘Significant member misconduct’ causes longtime booth to sit out this year’s Fall Festival,"Many regulars of the West Side Nut Club Fall Festival have been wondering what happened to USI’s TKE booth, a longtime favorite for some at the festival. As of February 23, the University of Southern Indiana says the Tau Kappa Epsilon (TKE) Chapter was placed on suspension following an investigation into “significant member misconduct”.",https://www.msn.com/en-us/news/politics/significant-member-misconduct-causes-longtime-booth-to-sit-out-this-year-s-fall-fest/ar-AA1rUBRQ,Evansville WFIE on MSN.com,2024-10-08T23:30:00.0000000Z
<b>USI</b> offering free non-diagnostic ultrasounds to expectant mothers,"If you are an expectant mother, the University of Southern Indiana is giving you the opportunity to see your baby before they are born! The university’s Diagnostic Medical Sonography program is offering non-diagnostic ultrasounds through April of next year.",https://www.msn.com/en-us/health/other/usi-offering-free-non-diagnostic-ultrasounds-to-expectant-mothers/ar-AA1rQsKQ,Evansville WFIE on MSN.com,2024-10-07T19:19:27.0000000Z
&#39;Jo Mil Gaya <b>Usi</b> Ko Muqaddar Samajh Liya&#39;: Anil Vij Hums As He Trails In Haryana Polls - WATCH,"Senior BJP leader Anil Vij was seen singing a song, &#39;Main zindagi ka saath nibhata chala gaya&#39;, while talking to reporters during the counting of votes for the 90-member Haryana Assembly on Tuesday. Vij is trailing by a margin of 1,",https://www.msn.com/en-in/news/India/jo-mil-gaya-usi-ko-muqaddar-samajh-liya-anil-vij-hums-as-he-trails-in-haryana-polls-watch/ar-AA1rRXET,ABP Live on MSN.com,2024-10-08T05:32:25.0000000Z
"VP <b>Usi</b> Heads to Morocco for UN oceans conference, diplomatic talks","In addition to attending the UN Oceans Conference, Usi will engage in bilateral talks with Moroccan government officials to strengthen diplomatic relations between Malawi and Morocco. The discussions follow the recent opening of Malawi’s new Embassy in Rabat, Morocco.",https://www.capitalradiomalawi.com/2024/10/07/vp-usi-heads-to-morocco-for-un-oceans-conference-diplomatic-talks/,capitalradiomalawi,2024-10-07T08:58:00.0000000Z
Google announces 2 new Chromebook with AI features,"The Samsung Galaxy Chromebook Plus is priced at $699. It is designed for users who need a lightweight and portable device. Weighing just 2.58 pounds and measuring less than half an inch thick, this Chromebook is among the thinnest and lightest on the market.",https://www.msn.com/en-in/news/other/google-announces-2-new-chromebook-with-ai-features/ar-AA1rzqRC,India Today on MSN.com,2024-10-02T08:32:12.0000000Z
<b>USI</b> Motors,"[{&quot;search_type&quot;:&quot;general-inventory-search&quot;,&quot;vehicle_array&quot;:[{&quot;trim&quot;:&quot;Base 4MATIC&quot;,&quot;make&quot;:&quot;Mercedes-Benz&quot;,&quot;cat&quot;:&quot;luxurysuv_crossover&quot;,&quot;year&quot;:&quot;2020&quot;,&quot;customer_id ...",https://www.cars.com/dealers/168255/usi-motors/inventory/,Cars,2015-06-21T17:50:00.0000000Z
<b>USI Sports</b>,Two women&#39;s hoops powerhouses on <b>USI</b> basketball schedule this season Get to know <b>USI</b>&#39;s new baseball coach Chris Ramirez <b>USI</b> women&#39;s basketball to play in Puerto Rico for Thanksgiving tournament ...,https://www.courierpress.com/sports/usi-sports/,Evansville Courier &amp; Press,2019-09-20T17:28:00.0000000Z
Vp <b>Usi</b> On Renewable Energy: Calls For Urgent Action To Transform Malawi’s Energy Landscape,"Malawi breaking news publishing 24 hours a day news about Malawi, Malawi Business, Malawi Tourism, Malawi Politics, Malawi News",https://www.nyasatimes.com/vp-usi-on-renewable-energy-calls-for-urgent-action-to-transform-malawis-energy-landscape/,Malawi Nyasa Times,2024-09-27T05:14:00.0000000Z
Union of Students in Ireland Denounces Budget 2025,"The Union of Students in Ireland (USI) has denounced Budget 2025 due to the lack of financial support for third-level students. This year, €235 million has been allocated to the tertiary sector as one-off current funding.",https://universitytimes.ie/2024/10/union-of-students-in-ireland-denounces-budget-2025/,universitytimes.ie,2024-10-03T16:56:00.0000000Z
Southern Indiana’s runs trample EIU volleyball,Eastern’s volleyball team was shut out Friday afternoon by the University of Southern Indiana Screaming Eagles. The match marked the end of Eastern’s second Ohio Valley Conference series on the new season.,https://www.dailyeasternnews.com/2024/10/04/southern-indianas-runs-trample-eiu-volleyball/,The Daily Eastern News,2024-10-04T00:00:00.0000000Z
