Title,Description,URL,Provider,Date Published
<b>Wipro Ltd</b>.,"<b>Wipro</b> is India&#39;s third-largest information technology company. Like its rival Indian IT service providers, <b>Wipro</b> is a major IT business that operates around the world. The company has over 150,000 ...",https://asia.nikkei.com/Companies/Wipro-Ltd,Nikkei Asia,2017-10-06T13:04:00.0000000Z
"TCS, Infosys, <b>Wipro</b>, Google and Microsoft among 100 tech companies to sign Europe’s first-ever AI legal framework","Over 100 tech companies such as TCS, Infosys, and Wipro have pledged early compliance with the EU&#39;s AI rules through an AI Pact. This initiative helps",https://www.msn.com/en-in/money/other/upi-fraud-sees-big-jump-in-2024-delhi-police-shares-5-most-common-techniques-used-to-scam-people-and-tips-to-stay-safe/ar-AA1rTyB2,The Times of India on MSN.com,2024-10-08T13:13:00.0000000Z
"Accenture guidance boost lifts Infosys, <b>Wipro</b>; IT stocks rally up to 4%",Accenture not only exceeded market expectations for its Q4 results but also raised its revenue guidance for FY25 to a range of 3-6%.,https://www.indiatoday.in/business/story/infosys-wipro-it-stocks-rally-4-percent-accenture-fy25-guidance-boost-2607196-2024-09-27,India Today,2024-09-27T05:29:00.0000000Z
<b>Wipro</b> Ltd (<b>WIPRO</b>) Share Price,"<b>Wipro</b> Limited is among India’s leading information technology (IT) and consulting services providers. The Bengaluru based company specialises in providing information technology, consulting ...",https://www.businesstoday.in/stocks/wipro-ltd-wipro-share-price-361822,Business Today,2024-10-04T09:07:00.0000000Z
"<b>Wipro</b> (NYSE:WIT) Stock Quotes, Forecast and News Summary","<b>Wipro</b> reported Q2 results with total revenue of $2.64B (down 3.8% YoY), meeting EPS estimates and a decline in IT Services revenue.",https://www.benzinga.com/quote/WIT,Benzinga.com,2024-10-06T15:29:00.0000000Z
<b>Wipro</b> Ltd.,"<b>Wipro</b> incorporates a wholly-owned subsidiary in the US to explore new business opportunities and investments in IT consulting and services. Oct 04, 2024 18:44 Mouri Tech Files IPO to Raise Rs 1,500 Cr IT solution provider Mouri Tech plans to raise Rs 1,500 ...",https://money.rediff.com/companies/Wipro-Ltd/11060011,money.rediff,2021-10-16T17:10:00.0000000Z
IT Earnings Preview: Is the sector poised for an earnings recovery after two years of downgrades?,"Brokerages like Kotak Institutional Equities, Citi and Morgan Stanley are pricing in an increase in guidance from Infosys.",https://www.cnbctv18.com/market/earnings/it-sector-q2-earnings-preview-tcs-hcltech-wipro-tech-mah-results-infosys-guidance-19488912.htm,cnbctv18,2024-10-08T05:52:00.0000000Z
"&#39;In the US, the Indian diaspora has a political influence that far exceeds its demographic weight&#39;","COLUMN. In public life and in business, Indian immigrants have the wind in their sails, but this community also has its dark side, says Julien Bouissou, a journalist at &#39;Le Monde,&#39; in his column.",https://www.lemonde.fr/en/opinion/article/2024/10/09/in-the-us-the-indian-diaspora-has-a-political-influence-that-far-exceeds-its-demographic-weight_6728697_23.html,Le Monde.fr,2024-10-09T00:44:00.0000000Z
"IT Q2 FY25 Results Preview: TCS likely to clinch 1% CC revenue growth QoQ, Infosys may tweak guidance","Prabhudas Lilladher expects its IT coverage to post a median revenue growth of 1.6 per cent QoQ CC in Q2 vs 1.5 per cent in Q1. Likewise, operating margins are expected to witness a notable recovery of 40bps (median).",https://www.zeebiz.com/market-news/news-it-sector-q2-earnings-preview-recovery-gradual-revenue-ebit-margin-deal-wins-infosys-tcs-hcl-tech-mahindra-wipro-persistent-systems-320297,Zee Business,2024-10-08T11:45:00.0000000Z
<b>Wipro</b> Limited Common Stock (<b>WIT</b>),*Data is provided by Barchart.com. Data reflects weightings calculated at the beginning of each month. Data is subject to change. **Green highlights the top performing ETF by % change in the past ...,https://www.nasdaq.com/market-activity/stocks/wit,Nasdaq,2015-01-01T08:00:00.0000000Z
"<b>Wipro</b> Announces Salary Raises For Top Performing Employees, Effective Sep 2024: Report","<b>Wipro</b> announced a salary raise for its top performing employees starting September 2024, media reports said. The Indian IT major said that some of its employees who have fared well will receive an average salary hike of 8 per cent. Comparatively ...",https://news.abplive.com/business/wipro-announces-salary-raises-for-top-performing-employees-effective-sep-2024-report-1717946,abp LIVE,2024-09-17T16:36:00.0000000Z
Workplace mental health in India: It’s time for sane thinking,"In a rapidly transforming India, where the pace of professional life is accelerating, workplace mental health has emerged as a crucial but often overlooked concern. As organisations strive for efficiency and output, the mental well-being of employees is under increasing strain.",https://www.firstpost.com/opinion/workplace-mental-health-in-india-its-time-for-sane-thinking-13822915.html,Firstpost,2024-10-07T12:09:00.0000000Z
