Title,Description,URL,Provider,Date Published
<b>Wistron NeWeb Corp</b>.,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/TW/6285,Wall Street Journal,2024-09-02T00:00:00.0000000Z
<b>Wistron</b> Corporation (3231.TW),"3324.TWO Auras Technology Co., Ltd.",https://finance.yahoo.com/quote/3231.TW/key-statistics/,Yahoo Finance,2024-10-01T13:30:00.0000000Z
<b>Wistron Corp</b>.,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/TW/3231,Wall Street Journal,2013-11-13T03:08:00.0000000Z
Apple may rely on China after fire halts production at Indian Tata plant,"Contractors <b>Wistron</b> and Foxconn have also been hit by labour unrest in recent years. &quot;These are temporary setbacks,&quot; said Prabhu Ram, vice president at Cybermedia Research. &quot;Continued efforts to improve safety and operational standards are crucial for ...",https://www.indiatvnews.com/technology/news/apple-may-rely-on-china-after-fire-halts-production-at-indian-tata-plant-2024-10-01-954939,India TV,2024-10-01T23:50:00.0000000Z
Apple may need to turn to China after Indian Tata plant fire: Report,"The weekend blaze has caused an indefinite production halt at Tata&#39;s Hosur plant in Tamil Nadu, the only Indian supplier of iPhone back panels and some other parts",https://www.msn.com/en-us/money/other/apple-may-need-to-turn-to-china-after-indian-tata-plant-fire-sources-say/ar-AA1rwApL,Reuters on MSN.com,2024-10-01T13:06:00.0000000Z
Joby Aviation Raises $500 Million from Toyota for Flying Taxis: Startup Funding Roundup,"Joby Aviation raised $500 million from Toyota, the largest single round of funding for a flying taxi startup in years.",https://skift.com/2024/10/05/joby-aviation-raises-500-million-from-toyota-for-flying-taxis-startup-funding-roundup/,Skift,2024-10-05T22:11:00.0000000Z
"Opinion | Make in India: Not Just Talk, But PM Modi’s Work Ethic in Action","PM Modi’s Make in India embodies an inclusive work ethic that values innovation and ease of doing business, leaving no room for complacency. It is precisely this work ethic that has made India the wor",https://www.news18.com/opinion/opinion-make-in-india-not-just-talk-but-pm-modis-work-ethic-in-action-9074497.html,CNN-News18,2024-10-05T07:25:00.0000000Z
Apple’s team is at Tata Electronics’ fire-hit unit to ‘counsel and guide’,"Apple&#39;s SR team comprises three company officials. It is expected to review the situation and support its sole Indian vendor which produces enclosures for the iPhones, sources said. A government-related probe is also underway,",https://www.msn.com/en-in/money/technology/apple-s-team-is-at-tata-electronics-fire-hit-unit-to-counsel-and-guide/ar-AA1rC64y,The Economic Times on MSN.com,2024-10-03T00:44:55.0000000Z
Factbox-Past disruptions at Apple facilities in India,"A fire at a major Tata Electronics plant manufacturing components for Apple iPhones in southern India halted production on Saturday, the latest in a series of incidents disrupting Apple&#39;s facilities in the region.",https://sg.finance.yahoo.com/news/factbox-past-disruptions-apple-facilities-114909215.html,Yahoo Finance,2024-09-28T07:49:00.0000000Z
How Apple Cracked the Indian Market,"That settled, <b>Wistron</b> built the first Apple plant in Karnataka, which started off making the iPhone SE in 2017. Soon, other contract manufacturers came on board and, like others globally ...",https://www.businesstoday.in/interactive/longread/how-apple-cracked-the-indian-market-86-14-01-2022,Business Today,2022-01-14T05:09:00.0000000Z
PGA Tour back in Utah for the first time in six decades and European tour goes to site of Olympics,The PGA Tour returns to Utah for the first time since 1963 with the Black Desert Championship. Among the players with Utah connections in the field is 65-year-old Jay Don Blake.,https://apnews.com/article/pga-tour-utah-european-tour-french-open-18a9e69d55dfa33249f6229babccb995,Associated Press,2024-10-08T12:45:00.0000000Z
Samsung India strike puts spotlight on powerful Indian labour group,"Previous notable ones include worker unrests at iPhone factories of suppliers <b>Wistron</b> and Foxconn during 2021, where unpaid wages and a food poisoning incident were triggers, respectively. CITU has plans to push for more worker rights at Apple supplier ...",https://indianexpress.com/article/technology/tech-news-technology/samsung-india-strike-puts-spotlight-on-powerful-indian-labour-group-9568585/,The Indian Express,2024-09-15T15:14:00.0000000Z
