Title,Description,URL,Provider,Date Published
"<b>Yageo</b> chairman on transformation: from China+1 to China+34, leading charge in AI revolution","Yageo Chairman Pierre Chen boldly declared, &quot;Yageo is no longer the company you once knew.&quot; As the leading passive component manufacturer continues its transformation, Yageo is positioning itself to be at the forefront of all AI-related applications,",https://www.digitimes.com/news/a20240926PD232/yageo-component-passive-demand-market.html,Digi Times,2024-09-27T01:25:00.0000000Z
AI boosts <b>Yageo</b>’s revenue,"Yageo Corp (國巨), one of the world’s top three passive component suppliers, said its products have been widely used in artificial intelligence (AI) applications, including servers powered by Nvidia Corp’s AI chips, which has helped to boost its AI-related business’ revenue contribution to about 5 percent.",https://www.taipeitimes.com/News/biz/archives/2024/09/28/2003824454,The Taipei Times,2024-09-28T03:27:00.0000000Z
Passive component makers seize AI opportunities and join Nvidia GB200 supply chain,"As the fourth quarter approaches, Nvidia&#39;s GB200 is emerging as a key focus in the passive components industry. Companies are increasingly targeting the growth potential fueled by AI servers, with industry leaders like Yageo and Walsin Technology expressing optimism.",https://www.digitimes.com/news/a20240930PD217/nvidia-supply-chain-component-passive-yageo.html,Digi Times,2024-10-02T04:34:00.0000000Z
<b>Yageo Corp</b>.,"The Price to Earnings (P/E) ratio, a key valuation measure, is calculated by dividing the stock&#39;s most recent closing price by the sum of the diluted earnings per share from continuing operations ...",https://www.wsj.com/market-data/quotes/TW/XTAI/2327,Wall Street Journal,2020-06-26T13:23:00.0000000Z
<b>Yageo</b> Corporation (2327.TW),"2317.TW Hon Hai Precision Industry Co., Ltd.",https://finance.yahoo.com/quote/2327.TW/key-statistics/,Yahoo Finance,2024-09-16T13:31:00.0000000Z
<b>Yageo</b> (2327) Earnings Dates &amp; Reports,View upcoming earnings forecasts and in-depth analysis of company forecasts.,https://www.investing.com/equities/yageo-corp-earnings,Investing,2024-07-30T10:09:00.0000000Z
Commodore-Bench/DELA-EPROMMER-II,"R11 <b>Yageo</b> CFR-25JB-52-1K RES 1K OHM 1/4W 5% AXIAL 9 R2, R3, R4, R5, R6, R7, R8, R10, R12 <b>Yageo</b> CFR-25JB-52-10K RES 10K OHM 1/4W 5% AXIAL 1 R1 <b>Yageo</b> CFR-25JB-52-680K Res 680K Ohm 1/4W 5% Axial 1 CP3 Panasonic ECA1EHG101 Capacitor 100 uF 25 VDC, ECA1EHG101 ...",https://github.com/Commodore-Bench/DELA-EPROMMER-II/,GitHub,2023-01-02T20:04:00.0000000Z
"Global Resistor Shortage, Economics, And Consumer Behavior","The second method is to look at some old Mouser invoices. I’ve purchased a few reels of <b>Yageo</b> resistors in the past, and looking through my Mouser order history, I haven’t seen any change in ...",https://hackaday.com/2018/01/31/global-resistor-shortage-economics-and-consumer-behavior/,Hackaday,2018-01-31T07:04:00.0000000Z
"New metallization tech for HJT solar cells minimizes silver use, increases efficiency",The research group included scientists from German electronic components company <b>Yageo</b> Nexensos GmbH. This content is protected by copyright and may not be reused. If you want to cooperate with us ...,https://www.pv-magazine.com/2024/05/02/new-metallization-tech-for-hjt-solar-cells-minimizes-silver-use-increases-efficiency/,pv magazine International,2024-05-02T00:00:00.0000000Z
EMC Filtration Market Size To Reach USD 2.35 Billion At 5.15% CAGR By 2032 Driven By Rising Demand For Power Quality Solutions | Report By SNS Insider,"This growth is propelled by increasing regulatory standards for electromagnetic compatibility (EMC) in various industries, including automotive, tele",https://menafn.com/1108746779/EMC-Filtration-Market-Size-To-Reach-USD-235-Billion-At-515-CAGR-By-2032-Driven-By-Rising-Demand-For-Power-Quality-Solutions-Report-By-SNS-Insider,Mena FN,2024-10-04T13:02:00.0000000Z
AN-695: Using the ADN8831 TEC Controller Evaluation Board,CI5 Capacitor ceramic 1 µF 0603 X5R 6.3 V Murata GRM188R61C105KA93D 1 CD3 Capacitor ceramic 2.2 µF 0603 X5R 6.3 V Murata GRM188R60J225KE19D 1 CD10 Capacitor ceramic 4.7 nF 0603 X7R 50 V <b>Yageo</b> CC0603KRX7R9BB472 1 CD4 Capacitor ceramic 4.7 µF 0603 X5R 6.3 ...,https://www.analog.com/en/resources/app-notes/an-695.html,Analog,2023-10-24T12:45:00.0000000Z
Andy Warhol,"This major retrospective is the first Warhol exhibition at Tate Modern for almost 20 years. As well as his iconic pop images of Marilyn Monroe, Coca-Cola and Campbell’s soup cans, it includes works never seen before in the UK. Twenty-five works from his ...",https://www.tate.org.uk/whats-on/tate-modern/andy-warhol/exhibition-guide,Tate,2024-08-15T07:26:00.0000000Z
