Title,Description,URL,Provider,Date Published
<b>ZTE</b> Unveils Next-Gen AI-Powered FTTR Solutions,"ZTE, at the recent All-Optical Home Development Summit Forum, introduced the industry&#39;s first AI-enabled screen FTTR series products",https://www.thefastmode.com/technology-solutions/37476-zte-unveils-next-gen-ai-powered-fttr-solutions,Deep,2024-09-30T02:52:00.0000000Z
<b>ZTE</b> PHONES,"The company has made several Android smartphones and tablets. While the company mainly sells products under the <b>ZTE</b> brand, it is also an original equipment manufacturer (OEM). <b>ZTE</b>&#39;s latest mobile launch is the Nubia Z60S Pro. The mobile was launched in ...",https://www.gadgets360.com/mobiles/zte-phones,gadgets360,2024-10-06T00:00:00.0000000Z
<b>ZTE Corp</b>.,"<b>ZTE</b> is a major Chinese telecommunications equipment maker based in Shenzhen, Guangdong Province. It is often compared with its larger rival, Huawei Technologies. The company&#39;s three core ...",https://asia.nikkei.com/Companies/ZTE-Corp,Nikkei Asia,2015-12-24T18:11:00.0000000Z
<b>ZTE</b> Mobiles Price List,"Staying updated on the mobile price list is essential for anyone in search of the latest smartphone deals, especially when it comes to <b>ZTE</b> phones in India. <b>ZTE</b> releases new models, offering a wide range of choices to cater to different budgets and preferences.",https://www.gadgets360.com/mobiles/zte-price-list,gadgets360,2024-10-08T00:00:00.0000000Z
Sri Lanka smartphone market surges 218-pct in Q2 2024: IDC,"Sri Lanka’s market shipped 365 thousand units, with 218% YoY growth, showing a triple-digit growth trend for 5 consecutive quarters, market intelligence provider, the International Data Corporation (IDC) said.",https://www.lankabusinessonline.com/sri-lanka-smartphone-market-surges-218-pct-in-q2-2024-idc/,Lanka Business Online,2024-10-09T05:13:00.0000000Z
U Mobile and <b>ZTE</b> Partner for 5G in Rural Malaysia and Agriculture,"U Mobile partners with ZTE to boost 5G in rural Malaysia, enhancing connectivity and driving digital transformation in agriculture.",https://www.malaysianwireless.com/2024/09/u-mobile-zte-5g-rural-agriculture/,malaysianwireless.com,2024-09-30T08:08:00.0000000Z
Smart <b>ZTE</b> Blade A75 5G Review | Geek Lifestyle,"Smart Communications and global brand <b>ZTE</b> recently entered quite the surprising collaboration, and brought us the <b>ZTE</b> Blade A75 5G. This new, affordable smartphone comes in with the aim to deliver some solid 5G performance that one would otherwise find on ...",https://www.ungeek.ph/2024/09/smart-zte-blade-a75-5g-review-geek-lifestyle/,ungeek,2024-09-17T00:00:00.0000000Z
"<b>ZTE</b> Blade A35 Lite Full Specs, Features, Price In Philippines","ZTE BLADE A35 LITE - See ZTE Blade A35 Lite full specifications, features, colors, and prices in the Philippines here.",https://philnews.ph/2024/09/25/zte-blade-a35-lite-specs-features-price-philippines/,Philippine News,2024-09-25T08:17:00.0000000Z
<b>ZTE</b> <b>Mobile Price in Pakistan</b>,"The Mobile Industry has been marked as a strategic business of <b>ZTE</b>, especially <b>in Pakistan</b>. Due to the variety of inexpensive but technologically advanced devices, <b>ZTE</b> smartphones have received a great deal of attention among buyers. The <b>ZTE</b> mobile price ...",https://hamariweb.com/mobiles/zte,hamariweb,2024-10-04T00:00:00.0000000Z
Best monitor deals for October Prime Day 2024,"Amazon is featuring some fantastic sales on OLED monitors, gaming monitors, and office monitors for Prime Big Deal Days. We&#39;ve tracked the best discounts down for you.",https://www.msn.com/en-us/news/technology/best-monitor-deals-for-october-prime-day-2024/ar-AA1rTGbO,PC World on MSN.com,2024-10-08T13:37:31.0000000Z
Optical Transport Network Market In-Depth Analysis with Booming Trends Supporting Growth and Forecast 2022-2032,"An optical transport network is a collection of different elements that are collectively referred to as optical network elements. These elements are connected by optical fiber links, which facilitates multiplexing.",https://www.fmiblog.com/2024/10/07/optical-transport-network-market-in-depth-analysis-with-booming-trends-supporting-growth-and-forecast-2022-2032/,Future Market Insights,2024-10-07T11:44:00.0000000Z
<b>ZTE</b> Corporation: <b>ZTE</b> strengthens commitment to advancing a sustainable digital future for all at UN Summit of the Future,ZTE Vice President Summer Chen was invited to deliver a keynote speech at SDG Digital &quot;A Digital Future for All&quot; at United Nations HeadquartersZTE reinforces its strong commitment to advancing,https://www.finanznachrichten.de/nachrichten-2024-09/63362714-zte-corporation-zte-strengthens-commitment-to-advancing-a-sustainable-digital-future-for-all-at-un-summit-of-the-future-008.htm,Finanznachrichten,2024-09-26T04:01:00.0000000Z
Biden administration seeks ban on auto software from China,Biden administration seeks ban on auto software from China. This would effectively block the import of Chinese EVs.,https://sg.finance.yahoo.com/news/biden-administration-seeks-ban-on-auto-software-from-china-154025671.html,Yahoo Finance,2024-09-23T15:40:00.0000000Z
Pangilinan-led Smart targets broader 5G adoption with launch of low-cost 5G phone,"The company has partnered with <b>ZTE</b> Corp., a Chinese telecommunications equipment manufacturer known for its 5G technology, to offer the Smart <b>ZTE</b> Blade A75 5G, a smartphone designed to provide 5G capabilities at a lower cost. The Smart <b>ZTE</b> Blade A75 5G ...",https://www.bworldonline.com/corporate/2024/08/23/615751/pangilinan-led-smart-targets-broader-5g-adoption-with-launch-of-low-cost-5g-phone/,BusinessWorld,2024-08-22T16:07:00.0000000Z
ZTEST Electronics Inc. (<b>ZTE</b>.CN),"NORTH YORK, ON / ACCESSWIRE / September 24, 2024 / ZTEST Electronics Inc. (&quot;ZTEST&quot; or the &quot;Company&quot;) (CSE:<b>ZTE</b>) is pleased to announce that it will be presenting at the Planet MicroCap Showcase: VANCOUVER 2024, in association with Small Cap Discoveries.",https://ca.finance.yahoo.com/quote/ZTE.CN/,Yahoo Finance,2024-09-25T00:00:00.0000000Z
Report: 5G rollout slowed while MNOs await merger approval,Mobile operators around the world would like to merge four mobile networks in their respective nations into three. This would improve the business case for inve,https://advanced-television.com/2024/10/07/report-5g-rollout-slowed-while-mnos-await-merger-approval/,Advanced Television,2024-10-07T09:13:00.0000000Z
"Telecom Industry Vendor Performance Report 2024: Telco NI Vendor Revenues Down 9.7% YoY, Market Contracts Despite Huawei&#39;s Rebound",The &quot;Telecom&#39;s Biggest Vendors&quot; report has been added tAndMarkets.com&#39;s offering. The goal of this report series is to equip telecom industry decision-makers with a comprehensive view of spending trends and vendor market power in their industry.,https://sg.finance.yahoo.com/news/telecom-industry-vendor-performance-report-100200748.html,Yahoo Finance,2024-10-02T06:02:00.0000000Z
"Exclusive: Nubia V70 series surfaced, coming soon","The Nubia V70 series is a new smartphone series from ZTE. However, ZTE had previously launched two V-series smartphones, the Nubia V60 and V60 Design. The Nubia V60 and V60 Design were launched as budget smartphones with entry-level specifications. We expect the new Nubia V70 series to be a similarly budget-friendly smartphone.",https://www.gizmochina.com/2024/10/07/exclusive-nubia-v70-series-surfaced-coming-soon/,Gizmochina,2024-10-07T11:48:00.0000000Z
China property: Shanghai and Shenzhen luxury home sales soar after stimulus package,"The area is expected to serve as the new headquarters of technology and financial giants, including Oppo, <b>ZTE</b>, JD.com and Citic Group. The People’s Bank of China on Tuesday asked lenders to cut mortgage rates by half a point and cut the down payment for ...",https://www.thestar.com.my/aseanplus/aseanplus-news/2024/10/01/china-property-shanghai-and-shenzhen-luxury-home-sales-soar-after-stimulus-package,The Star,2024-10-01T14:00:00.0000000Z
